Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Ismael Quispe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,62.5,3.0,52.63,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,1,1,Peru Liga 1,3
Christofer Gonzáles,0.58,0.42,54.17,2.75,0.0,4.17,1.08,0.5,0.0,0.25,0.0,0.58,0.42,0.08,37.5,87.33,15.42,85.71,0.0,0.17,0.0,0.0,1.0,0.25,0.25,0.0,47.06,49.17,2.08,1.67,12,3,3,Peru Liga 1,3
Bruno Portugal,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,7.5,86.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,33.33,0.5,1.0,2,1,4,Peru Liga 1,3
Kevin Sandoval,0.32,0.06,48.1,3.35,0.0,0.32,0.91,0.59,0.0,0.24,0.0,0.5,0.47,0.32,27.85,80.46,9.21,48.75,0.0,0.15,0.0,0.0,0.79,0.24,0.12,0.0,31.25,48.26,1.76,0.56,34,2,3,Peru Liga 1,3
Delio Ojeda,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,25.0,76.0,0.0,37.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,46.15,0.0,4.0,1,3,2,Peru Liga 1,3
Alex Valera,0.71,0.24,38.1,3.0,0.35,0.0,0.65,0.06,0.0,0.94,0.0,0.18,0.12,0.06,24.71,70.95,7.53,55.56,0.0,0.35,0.0,0.0,0.82,0.06,0.12,0.0,50.0,41.78,0.71,1.76,17,2,4,Peru Liga 1,3
Franco Saravia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,20.75,63.25,1.0,49.14,3.38,0.75,0.13,0.0,0.38,0.0,0.0,0.0,100.0,100.0,0.63,0.0,8,1,1,Peru Liga 1,3
Víctor Cedrón,0.16,0.06,60.0,2.55,0.03,0.0,1.23,0.42,0.0,0.32,0.0,0.58,0.39,0.26,39.1,77.89,13.65,58.04,0.0,0.06,0.0,0.0,0.74,0.16,0.19,0.03,50.0,50.48,2.0,1.16,31,2,3,Peru Liga 1,3
Martín Távara,0.15,0.0,60.0,1.52,0.0,0.23,2.15,1.22,0.0,1.44,0.0,0.81,0.19,0.22,40.74,84.27,7.63,64.21,0.0,0.37,0.0,0.0,0.67,0.04,0.19,0.0,51.06,53.91,1.3,1.59,27,1,3,Peru Liga 1,3
Diego Romero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,25.2,40.48,1.8,27.88,5.6,0.0,0.2,0.0,1.0,0.2,0.4,0.0,0.0,0.0,0.0,0.2,5,1,1,Peru Liga 1,3
Edson Aubert,0.09,0.06,76.47,2.91,0.0,0.39,2.22,1.13,0.03,1.84,0.0,1.53,0.03,0.13,61.63,81.39,12.84,61.87,0.0,0.31,0.0,0.0,0.75,0.25,0.31,0.0,56.76,48.34,0.88,1.69,32,3,3,Peru Liga 1,3
Bernardo Cuesta,0.44,0.16,61.11,2.97,0.0,0.0,0.5,0.13,0.0,0.34,0.0,0.28,0.25,0.19,21.06,71.22,7.5,65.22,0.0,0.34,0.0,0.0,0.5,0.03,0.38,0.0,43.4,41.75,0.63,1.28,32,3,4,Peru Liga 1,3
