Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Josué,0.38,0.13,60.42,2.38,0.0,0.57,1.16,0.53,0.0,0.28,0.0,0.63,0.34,0.19,63.72,83.52,21.38,66.18,0.0,0.09,0.0,0.0,0.97,0.16,0.28,0.03,36.84,60.26,3.5,0.97,32,3,4,Polonia Ekstraklasa,3
Fábio Sturgeon,0.0,0.0,100.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,66.67,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,1,2,4,Polonia Ekstraklasa,3
Ivi López,0.33,0.07,59.46,3.19,0.0,0.16,0.74,0.37,0.0,0.04,0.0,0.48,0.26,0.22,30.74,78.8,13.04,65.67,0.0,0.04,0.0,0.0,0.41,0.15,0.11,0.0,39.29,48.54,0.93,0.52,27,2,4,Polonia Ekstraklasa,3
Valeriane Gvilia,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,92.86,10.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,71.43,1.0,0.0,1,2,3,Polonia Ekstraklasa,3
Damian Dąbrowski,0.13,0.0,72.0,1.44,0.0,0.63,1.53,1.13,0.0,1.16,0.0,1.19,0.03,0.09,77.31,88.8,20.84,70.08,0.0,0.25,0.0,0.0,1.13,0.19,0.13,0.0,61.29,53.57,0.47,0.78,32,3,3,Polonia Ekstraklasa,3
Joel Pereira,0.0,0.0,73.08,0.23,0.0,0.0,1.42,1.03,0.0,0.94,0.0,0.77,0.32,0.06,50.61,81.64,14.77,65.1,0.0,0.39,0.0,0.0,0.42,0.1,0.13,0.0,57.58,58.51,0.9,0.84,31,2,2,Polonia Ekstraklasa,3
Erik Janža,0.06,0.03,50.0,0.5,0.0,0.0,1.63,1.44,0.0,1.72,0.0,0.75,0.34,0.25,53.78,79.43,14.16,52.36,0.0,0.28,0.0,0.0,1.09,0.16,0.34,0.0,43.75,53.43,1.06,1.06,32,2,2,Polonia Ekstraklasa,3
Lukas Podolski,0.21,0.17,53.85,2.93,0.03,0.86,0.48,0.1,0.0,0.21,0.0,0.41,0.38,0.31,37.07,84.47,13.28,72.87,0.0,0.17,0.0,0.0,0.83,0.17,0.17,0.0,43.24,45.56,0.9,0.72,29,3,4,Polonia Ekstraklasa,3
Filip Mladenović,0.23,0.08,53.85,1.23,0.0,0.0,1.58,0.77,0.0,1.23,0.04,0.54,0.35,0.19,38.38,80.16,8.58,55.65,0.0,0.31,0.0,0.0,1.0,0.08,0.31,0.0,28.57,52.33,1.27,1.15,26,3,3,Polonia Ekstraklasa,3
Zoran Arsenić,0.0,0.13,70.83,0.55,0.0,0.0,1.32,1.65,0.0,2.68,0.0,0.32,0.03,0.03,55.32,84.66,5.26,53.23,0.0,0.48,0.0,0.0,0.48,0.13,0.26,0.0,61.85,64.07,1.58,1.03,31,2,2,Polonia Ekstraklasa,3
Damian Michalski,0.0,0.0,0.0,0.83,0.0,0.0,0.67,1.83,0.0,5.83,0.0,0.17,0.17,0.0,56.67,89.41,1.5,60.0,0.0,0.33,0.0,0.0,0.5,0.33,0.17,0.0,68.97,68.18,1.17,0.83,6,2,2,Polonia Ekstraklasa,3
Dani Pacheco,0.07,0.0,66.67,1.18,0.0,0.0,1.46,0.71,0.0,0.32,0.0,0.89,0.18,0.18,35.79,78.24,10.11,58.64,0.0,0.18,0.0,0.0,0.64,0.07,0.25,0.0,37.04,51.21,0.68,0.82,28,3,3,Polonia Ekstraklasa,3
Pedro Rebocho,0.0,0.0,56.0,0.68,0.0,0.0,1.79,0.89,0.0,0.89,0.0,0.37,0.05,0.11,56.11,88.74,17.11,73.91,0.0,0.32,0.0,0.0,0.63,0.16,0.0,0.0,40.0,58.33,0.53,0.37,19,2,2,Polonia Ekstraklasa,3
Marc Gual,0.52,0.23,51.16,3.39,0.0,0.0,0.68,0.26,0.0,0.61,0.0,0.55,0.32,0.19,19.0,69.78,5.35,37.04,0.0,0.03,0.0,0.0,1.1,0.1,0.16,0.0,17.72,38.43,0.94,0.45,31,2,4,Polonia Ekstraklasa,3
Filip Dagerstål,0.0,0.0,57.14,0.25,0.0,0.0,1.1,1.45,0.0,2.65,0.0,0.4,0.1,0.1,60.45,90.16,5.4,64.71,0.0,0.55,0.0,0.0,0.45,0.2,0.05,0.0,56.9,54.39,0.15,0.65,20,2,2,Polonia Ekstraklasa,3
Damian Kądzior,0.14,0.05,46.15,1.48,0.0,0.0,0.76,0.62,0.0,0.52,0.0,0.38,0.29,0.24,21.62,80.4,8.86,50.0,0.0,0.0,0.0,0.0,0.43,0.14,0.14,0.0,15.15,47.13,2.24,1.33,21,3,3,Polonia Ekstraklasa,3
Leonardo Rocha,0.46,0.31,50.0,3.15,0.23,0.0,0.46,0.08,0.0,0.85,0.0,0.46,0.15,0.0,14.0,48.35,4.08,30.0,0.0,0.23,0.0,0.0,0.69,0.08,0.15,0.0,47.01,45.97,2.15,1.69,13,2,4,Polonia Ekstraklasa,3
Kamil Grosicki,0.38,0.35,49.37,3.09,0.0,0.0,0.94,0.44,0.0,0.09,0.0,0.44,0.44,0.18,31.65,72.96,14.47,66.67,0.0,0.18,0.0,0.0,1.15,0.18,0.0,0.0,33.33,41.36,0.15,0.32,34,3,3,Polonia Ekstraklasa,3
Łukasz Łakomy,0.12,0.03,60.56,1.85,0.0,0.0,1.53,0.74,0.0,1.06,0.0,1.12,0.26,0.09,42.62,75.71,12.59,52.24,0.0,0.12,0.0,0.0,0.94,0.15,0.09,0.0,33.33,45.63,0.97,1.29,34,1,3,Polonia Ekstraklasa,3
Bartłomiej Pawłowski,0.31,0.22,50.0,3.09,0.06,0.39,0.31,0.16,0.0,0.56,0.0,0.59,0.28,0.13,18.72,73.79,6.0,44.64,0.0,0.06,0.0,0.0,0.97,0.28,0.06,0.0,42.11,46.78,1.88,0.91,32,3,4,Polonia Ekstraklasa,3
Daniel Bielica,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.04,0.0,1.08,0.04,0.0,0.0,0.0,30.92,62.67,0.67,34.22,3.17,0.38,0.17,0.08,0.92,0.13,0.13,0.0,100.0,100.0,0.13,0.0,24,1,1,Polonia Ekstraklasa,3
Michał Skóraś,0.28,0.03,61.11,2.34,0.0,0.0,1.19,0.72,0.0,0.22,0.0,0.78,0.19,0.09,25.41,82.29,10.38,78.33,0.0,0.19,0.0,0.0,0.41,0.16,0.19,0.0,20.59,47.13,1.84,1.5,32,1,3,Polonia Ekstraklasa,3
Dominik Furman,0.0,0.03,68.18,0.64,0.0,0.0,1.88,1.06,0.03,1.48,0.0,0.82,0.21,0.12,49.61,88.39,9.85,59.84,0.0,0.18,0.0,0.0,1.0,0.36,0.15,0.0,52.5,58.05,1.18,0.88,33,3,3,Polonia Ekstraklasa,3
Filipe Nascimento,0.23,0.0,62.5,1.77,0.0,0.0,2.23,1.23,0.0,0.85,0.0,1.23,0.23,0.15,44.23,84.7,7.0,64.29,0.0,0.08,0.0,0.0,1.15,0.15,0.62,0.0,38.46,55.17,1.62,1.23,13,2,3,Polonia Ekstraklasa,3
Maurides,0.25,0.31,53.85,2.38,0.0,0.0,0.44,0.06,0.0,1.38,0.0,0.25,0.13,0.25,17.94,59.23,4.13,80.0,0.0,0.0,0.0,0.0,1.13,0.06,0.19,0.0,59.69,57.67,1.13,0.81,16,2,4,Polonia Ekstraklasa,3
Roberto Alves,0.09,0.13,62.79,1.31,0.0,0.0,1.22,1.03,0.0,0.31,0.0,0.78,0.16,0.13,33.66,79.2,8.72,58.33,0.0,0.22,0.0,0.0,0.94,0.16,0.16,0.0,26.67,51.05,1.63,1.31,32,2,3,Polonia Ekstraklasa,3
Rafał Janicki,0.0,0.13,100.0,0.88,0.0,0.0,1.13,1.0,0.0,3.25,0.0,0.25,0.06,0.06,45.75,87.16,3.25,63.04,0.0,0.19,0.0,0.0,1.0,0.19,0.19,0.0,65.57,62.39,0.5,0.88,16,3,2,Polonia Ekstraklasa,3
Bartosz Nowak,0.32,0.16,44.44,1.42,0.06,0.0,0.58,0.45,0.0,0.1,0.0,0.61,0.32,0.13,21.74,73.74,8.74,51.06,0.0,0.03,0.0,0.0,0.35,0.03,0.1,0.0,17.86,35.29,0.52,0.55,31,2,4,Polonia Ekstraklasa,3
Said Hamulić,0.53,0.24,42.86,3.0,0.24,0.0,0.18,0.12,0.0,0.06,0.0,0.24,0.06,0.12,7.29,59.68,1.88,42.86,0.0,0.12,0.0,0.0,0.94,0.0,0.06,0.0,38.18,49.69,2.41,0.59,17,1,4,Polonia Ekstraklasa,3
Nika Kvekveskiri,0.07,0.0,75.0,1.29,0.0,0.0,0.93,0.75,0.0,0.61,0.0,0.86,0.18,0.07,48.43,89.6,11.46,71.23,0.0,0.14,0.0,0.0,0.43,0.11,0.25,0.0,59.38,51.27,0.79,0.89,28,3,3,Polonia Ekstraklasa,3
Stratos Svarnas,0.1,0.14,42.86,0.69,0.03,0.0,1.48,2.07,0.03,2.1,0.03,0.48,0.07,0.1,56.31,83.71,9.21,58.78,0.0,0.41,0.0,0.0,0.62,0.14,0.21,0.0,67.78,60.09,0.83,1.31,29,2,2,Polonia Ekstraklasa,3
Leonardo Koutris,0.13,0.0,58.82,0.63,0.0,0.0,2.56,2.44,0.0,2.31,0.0,0.81,0.06,0.0,50.31,77.14,12.5,32.53,0.0,0.31,0.0,0.0,0.94,0.19,0.13,0.0,64.29,62.11,1.31,1.13,16,2,2,Polonia Ekstraklasa,3
Sławomir Abramowicz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,21.0,46.03,0.33,17.5,3.67,0.0,0.33,0.33,1.0,0.33,0.0,0.0,100.0,100.0,0.0,0.0,3,1,1,Polonia Ekstraklasa,3
David Jablonsky,0.07,0.13,75.0,0.67,0.07,0.0,1.07,2.47,0.07,4.53,0.0,0.07,0.0,0.0,32.67,80.82,3.13,55.29,0.0,0.4,0.0,0.0,0.6,0.07,0.4,0.07,66.67,59.22,0.4,1.27,15,3,2,Polonia Ekstraklasa,3
Ronaldo Deaconu,0.07,0.0,57.14,2.11,0.0,0.0,0.59,0.37,0.0,0.44,0.0,0.67,0.48,0.07,21.26,75.78,7.37,55.37,0.0,0.07,0.0,0.0,1.04,0.15,0.07,0.0,45.95,50.0,0.89,0.59,27,2,3,Polonia Ekstraklasa,3
Patryk Dziczek,0.13,0.09,56.52,1.04,0.0,0.0,2.74,1.3,0.0,1.26,0.0,0.61,0.13,0.09,45.83,79.22,10.22,65.64,0.0,0.22,0.0,0.0,0.57,0.22,0.35,0.04,59.09,54.47,0.83,2.04,23,2,3,Polonia Ekstraklasa,3
Jesús Imaz,0.42,0.39,42.86,2.7,0.03,0.0,0.82,0.24,0.0,0.36,0.0,0.82,0.27,0.09,31.18,73.66,8.55,51.76,0.0,0.03,0.0,0.0,1.18,0.18,0.09,0.0,32.61,37.44,0.76,0.91,33,3,4,Polonia Ekstraklasa,3
Rafał Wolski,0.23,0.07,50.49,2.0,0.0,0.0,1.47,0.57,0.0,0.9,0.0,0.9,0.17,0.27,31.27,73.67,10.3,40.32,0.0,0.03,0.0,0.0,0.87,0.27,0.13,0.03,40.54,53.28,2.8,1.13,30,3,3,Polonia Ekstraklasa,3
Piotr Wlazło,0.12,0.06,73.91,1.12,0.03,0.0,1.76,0.91,0.0,2.06,0.0,0.67,0.0,0.0,40.73,76.79,6.76,56.05,0.0,0.33,0.0,0.0,0.94,0.06,0.18,0.0,63.1,63.34,1.58,1.33,33,3,3,Polonia Ekstraklasa,3
Deian Sorescu,0.18,0.09,66.67,0.73,0.0,0.0,0.64,0.91,0.0,0.45,0.0,0.36,0.18,0.0,24.45,74.72,7.64,30.77,0.0,0.0,0.0,0.0,0.27,0.09,0.09,0.0,57.89,61.43,1.73,0.82,11,2,3,Polonia Ekstraklasa,3
Matej Rodin,0.07,0.14,0.0,0.93,0.0,0.0,0.86,1.0,0.0,4.86,0.0,0.21,0.0,0.0,38.5,79.04,2.57,46.32,0.0,0.36,0.0,0.0,0.57,0.14,0.07,0.0,68.63,63.04,0.79,1.0,14,2,2,Polonia Ekstraklasa,3
Mateusz Matras,0.06,0.06,85.71,0.48,0.06,0.0,1.32,1.19,0.0,4.0,0.0,0.29,0.06,0.06,48.45,83.82,2.84,52.49,0.0,0.32,0.0,0.0,1.16,0.06,0.13,0.03,64.17,58.13,0.65,1.45,31,3,2,Polonia Ekstraklasa,3
Mario Maloča,0.04,0.0,50.0,0.27,0.0,0.0,0.88,1.54,0.04,4.19,0.0,0.12,0.0,0.0,52.0,89.5,2.15,62.3,0.0,0.35,0.0,0.0,1.19,0.08,0.12,0.04,75.41,75.45,0.54,0.31,26,3,2,Polonia Ekstraklasa,3
Davo,0.5,0.22,43.14,2.28,0.0,0.0,0.61,0.28,0.0,0.22,0.0,0.89,0.17,0.17,28.67,73.06,7.83,59.65,0.0,0.06,0.0,0.0,0.78,0.33,0.06,0.0,23.53,42.36,1.33,0.78,18,2,3,Polonia Ekstraklasa,3
Paweł Wszołek,0.21,0.15,52.5,0.74,0.12,0.0,1.06,0.62,0.03,1.06,0.0,0.24,0.35,0.21,29.03,80.95,9.97,48.78,0.0,0.18,0.0,0.0,0.71,0.18,0.09,0.0,59.78,51.82,0.5,0.91,34,3,3,Polonia Ekstraklasa,3
Michał Nalepa,0.09,0.0,100.0,0.91,0.0,0.0,1.3,1.17,0.09,4.13,0.0,0.48,0.09,0.04,52.96,87.6,3.65,54.81,0.0,0.26,0.0,0.0,1.43,0.17,0.35,0.0,64.81,58.38,0.65,1.39,23,2,2,Polonia Ekstraklasa,3
Tomáš Petrášek,0.08,0.0,100.0,0.77,0.08,0.0,0.69,0.54,0.0,2.69,0.0,0.23,0.0,0.0,30.85,79.3,1.92,47.54,0.0,0.23,0.0,0.0,0.08,0.08,0.15,0.08,77.78,70.79,0.31,0.69,13,3,2,Polonia Ekstraklasa,3
