Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Ludek Nemecek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,32.0,50.0,4.0,36.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,Republica Checa 1. Liga,3
Tomáš Fryšták,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,36.0,36.11,1.0,24.14,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,1,3,1,Republica Checa 1. Liga,3
Lukas Soukup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,32.0,3.0,29.17,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,Republica Checa 1. Liga,3
Dávid Hancko,0.0,0.0,66.67,1.0,0.0,0.0,1.33,1.67,0.0,3.67,0.0,0.33,0.33,0.0,70.0,77.62,7.67,35.9,0.0,0.67,0.0,0.0,0.33,0.33,0.0,0.0,60.0,69.57,1.67,0.33,3,2,2,Republica Checa 1. Liga,3
Ladislav Krejčí,0.68,0.05,100.0,2.0,0.16,0.0,0.58,1.26,0.05,1.79,0.0,0.21,0.05,0.11,51.05,76.08,6.0,45.71,0.0,0.37,0.0,0.0,0.79,0.11,0.26,0.0,61.7,57.52,1.26,1.21,19,1,2,Republica Checa 1. Liga,3
Petr Ševčík,0.0,0.0,37.5,0.94,0.0,0.0,1.44,0.61,0.0,0.56,0.0,0.5,0.33,0.33,47.17,84.69,16.06,68.85,0.0,0.06,0.0,0.0,0.44,0.39,0.0,0.0,42.86,61.86,1.56,0.39,18,2,3,Republica Checa 1. Liga,3
Lukáš Kalvach,0.07,0.0,62.5,0.82,0.0,0.0,1.5,1.43,0.0,0.75,0.0,0.36,0.21,0.21,50.5,79.42,11.46,50.85,0.0,0.25,0.0,0.0,1.0,0.07,0.18,0.0,66.67,58.99,1.57,1.25,28,2,3,Republica Checa 1. Liga,3
Pavol Bajza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.45,0.0,0.0,0.0,0.0,27.45,54.3,0.91,35.71,4.27,0.09,0.27,0.09,0.91,0.0,0.18,0.09,0.0,50.0,0.09,0.09,11,3,1,Republica Checa 1. Liga,3
Václav Jurečka,0.74,0.15,23.08,1.81,0.0,3.7,0.22,0.11,0.0,0.37,0.0,0.15,0.22,0.15,14.81,76.5,5.44,66.67,0.0,0.07,0.0,0.0,0.41,0.26,0.04,0.0,37.93,30.97,0.56,1.19,27,2,4,Republica Checa 1. Liga,3
Srđan Plavšić,0.21,0.04,54.39,1.83,0.0,0.0,1.46,0.46,0.0,0.38,0.0,0.38,0.42,0.21,28.96,67.63,10.25,47.5,0.0,0.08,0.0,0.0,1.04,0.04,0.13,0.0,33.33,52.59,2.46,0.88,24,2,3,Republica Checa 1. Liga,3
