Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Andrei Vlad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.33,69.86,1.0,35.29,4.67,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.0,100.0,0.33,0.0,3,1,1,Rumania Superliga,3
Florin Tănase,0.5,0.0,66.67,2.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,46.5,73.12,15.5,55.56,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,100.0,68.42,2.0,0.5,2,2,3,Rumania Superliga,3
Omar Govea,0.1,0.0,47.83,1.4,0.0,0.0,2.0,0.8,0.0,0.2,0.0,0.2,0.2,0.1,53.7,87.52,15.3,76.0,0.0,0.1,0.0,0.0,0.5,0.3,0.2,0.0,64.29,57.73,1.6,1.1,10,2,3,Rumania Superliga,3
Ionut Andres,0.0,0.0,100.0,0.4,0.0,0.0,1.4,1.6,0.0,1.4,0.0,0.2,0.0,0.0,15.2,85.53,2.4,66.67,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,63.64,76.19,0.2,0.0,5,1,2,Rumania Superliga,3
Nicușor Bancu,0.0,0.08,44.44,1.0,0.0,0.0,3.31,0.92,0.08,1.15,0.0,0.69,0.54,0.15,50.62,78.27,14.08,51.25,0.0,0.23,0.0,0.0,0.77,0.31,0.31,0.0,35.71,49.44,0.85,1.92,13,3,2,Rumania Superliga,3
Aymar Kevin Meleke,0.5,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,64.71,2.5,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,100.0,54.55,0.5,1.5,2,1,4,Rumania Superliga,3
Ciprian Deac,0.19,0.13,44.19,0.97,0.0,0.0,1.77,0.58,0.0,0.35,0.0,1.03,0.45,0.35,30.19,77.14,10.84,60.32,0.0,0.03,0.0,0.0,0.77,0.06,0.16,0.0,30.56,49.45,1.65,1.39,31,3,3,Rumania Superliga,3
Denis Alibec,0.45,0.35,52.38,3.23,0.0,0.19,0.71,0.06,0.0,0.1,0.0,0.58,0.26,0.26,27.58,67.37,10.81,50.0,0.0,0.13,0.0,0.0,0.94,0.0,0.26,0.03,26.15,40.1,1.77,1.58,31,3,4,Rumania Superliga,3
Adrian Șut,0.16,0.0,50.0,1.31,0.03,0.0,2.41,2.19,0.0,1.78,0.03,1.19,0.03,0.06,43.5,79.89,7.41,62.26,0.0,0.22,0.0,0.0,0.94,0.13,0.09,0.0,59.62,57.22,1.0,1.0,32,1,3,Rumania Superliga,3
Alexandru Păun,0.0,0.2,87.5,1.4,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.2,0.2,14.0,82.86,4.6,80.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,33.33,77.78,0.4,0.2,5,2,4,Rumania Superliga,3
