Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Malcom,0.85,0.26,57.33,3.89,0.04,0.37,0.67,0.19,0.0,0.56,0.0,0.3,0.22,0.26,42.11,83.55,19.89,83.33,0.0,0.22,0.0,0.0,0.52,0.07,0.04,0.0,32.35,50.18,2.11,0.67,27,2,4,Rusia Premier Liga,4
Quincy Promes,0.74,0.41,50.0,3.67,0.07,0.0,0.33,0.07,0.0,0.11,0.0,0.15,0.48,0.26,38.78,83.29,18.85,64.29,0.0,0.19,0.0,0.0,0.96,0.26,0.22,0.0,40.0,43.11,0.74,0.3,27,3,4,Rusia Premier Liga,4
Nikita Alekseev,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,81.82,0.0,72.73,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,1,1,1,Rusia Premier Liga,4
Maksim Kutovoi,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1,1,4,Rusia Premier Liga,4
Guillermo Varela,0.0,0.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,28.0,75.0,5.0,66.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,63.64,2.0,0.0,1,2,2,Rusia Premier Liga,4
Artem Dzyuba,0.73,0.27,55.56,2.09,0.09,0.0,0.45,0.0,0.09,2.09,0.0,0.27,0.45,0.45,23.64,54.62,6.27,40.0,0.0,0.0,0.0,0.0,0.82,0.09,0.18,0.0,53.25,44.7,0.73,0.91,11,3,4,Rusia Premier Liga,4
Claudinho,0.21,0.08,49.21,2.29,0.0,0.0,1.67,1.0,0.0,0.29,0.0,0.75,0.21,0.38,53.21,86.22,20.63,72.58,0.0,0.08,0.0,0.0,0.58,0.08,0.13,0.0,43.75,52.8,1.46,1.0,24,2,3,Rusia Premier Liga,4
Douglas Santos,0.0,0.0,60.0,0.82,0.0,0.0,2.21,1.36,0.0,0.93,0.0,0.57,0.11,0.11,70.68,85.5,21.61,51.53,0.0,0.46,0.0,0.0,0.57,0.11,0.07,0.0,56.52,62.56,0.68,0.5,28,2,2,Rusia Premier Liga,4
Gabriel Florentín,0.1,0.1,72.09,1.65,0.0,0.0,1.75,0.75,0.05,0.45,0.0,0.65,0.15,0.2,49.7,83.6,16.05,72.22,0.0,0.0,0.0,0.0,1.3,0.25,0.2,0.0,63.64,57.46,1.2,1.05,20,1,3,Rusia Premier Liga,4
Eduard Spertsyan,0.36,0.07,55.26,2.46,0.0,0.45,1.07,0.46,0.04,0.57,0.0,0.71,0.29,0.39,44.39,85.04,13.64,59.26,0.0,0.25,0.0,0.0,1.29,0.14,0.21,0.0,52.17,51.95,1.75,1.18,28,1,3,Rusia Premier Liga,4
Maksim Osipenko,0.23,0.08,66.67,0.81,0.0,0.0,1.5,2.46,0.0,4.85,0.0,0.12,0.12,0.08,64.19,78.67,6.92,49.73,0.0,0.19,0.0,0.0,1.31,0.08,0.08,0.0,71.09,72.6,0.65,0.46,26,2,2,Rusia Premier Liga,4
Fedor Chalov,0.63,0.43,52.5,3.13,0.1,0.0,0.73,0.17,0.0,0.4,0.0,0.5,0.27,0.17,24.03,73.93,7.27,54.84,0.0,0.07,0.0,0.0,0.63,0.13,0.07,0.0,32.38,39.7,0.97,0.63,30,2,4,Rusia Premier Liga,4
Wendel,0.32,0.08,64.71,1.76,0.0,0.0,1.32,0.84,0.0,0.4,0.04,0.68,0.2,0.12,65.6,91.71,23.36,74.68,0.0,0.2,0.0,0.0,0.48,0.08,0.12,0.0,25.0,56.12,1.68,0.6,25,2,3,Rusia Premier Liga,4
Christian Noboa,0.42,0.15,70.0,1.81,0.0,0.0,1.46,0.96,0.0,0.85,0.0,0.69,0.15,0.08,56.0,76.1,15.73,61.67,0.0,0.12,0.0,0.0,1.42,0.38,0.19,0.0,58.33,53.06,0.92,0.81,26,3,3,Rusia Premier Liga,4
Jesús Medina,0.32,0.2,41.94,2.2,0.04,0.0,1.08,0.44,0.04,0.44,0.0,0.76,0.16,0.28,30.12,76.63,10.0,62.34,0.0,0.2,0.0,0.0,0.56,0.2,0.08,0.0,26.32,40.86,0.72,0.64,25,2,3,Rusia Premier Liga,4
Dejan Lovren,0.07,0.07,100.0,1.27,0.0,0.0,0.87,1.33,0.0,2.87,0.0,0.13,0.07,0.07,61.27,87.16,6.4,59.57,0.0,0.6,0.0,0.0,0.4,0.0,0.07,0.0,73.91,68.29,0.53,0.6,15,3,2,Rusia Premier Liga,4
Arsen Zakharyan,0.15,0.0,55.26,1.37,0.0,1.23,1.41,0.7,0.0,0.7,0.0,0.7,0.19,0.26,40.33,77.69,12.48,60.75,0.0,0.15,0.0,0.0,1.15,0.0,0.19,0.04,26.53,45.22,1.22,1.07,27,1,3,Rusia Premier Liga,4
Stanislav Agkatsev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,43.67,61.07,1.0,39.76,3.0,0.67,0.33,0.33,1.0,0.0,0.0,0.0,0.0,50.0,0.33,0.0,3,1,1,Rusia Premier Liga,4
Daniil Utkin,0.11,0.07,72.0,1.93,0.0,0.41,1.19,0.78,0.0,0.81,0.04,0.41,0.26,0.22,42.07,77.55,8.19,52.21,0.0,0.15,0.0,0.0,1.22,0.07,0.15,0.0,58.62,62.68,1.74,0.48,27,1,3,Rusia Premier Liga,4
Konstantin Kuchaev,0.14,0.07,53.85,0.71,0.07,0.0,1.29,1.36,0.0,0.71,0.0,0.5,0.5,0.29,26.29,81.79,6.57,61.76,0.0,0.07,0.0,0.0,0.36,0.07,0.14,0.0,43.75,51.85,0.71,0.71,14,2,3,Rusia Premier Liga,4
