Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Wilfried Kanga,1.5,0.5,100.0,3.5,0.5,0.0,0.5,0.5,0.0,1.5,0.0,0.0,1.0,0.5,15.5,83.87,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,33.33,54.55,1.0,1.0,2,2,4,Suiza Super League,3
Jordan Lefort,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.5,0.0,3.0,0.0,0.0,1.0,0.5,36.0,73.61,9.5,61.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,66.67,0.0,0.5,2,2,2,Suiza Super League,3
Serif Berbić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,67.74,0.0,28.57,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1,1,1,Suiza Super League,3
Miroslav Stevanović,0.26,0.26,42.37,1.97,0.09,0.0,1.82,0.65,0.0,0.88,0.0,1.06,0.32,0.21,32.65,72.34,12.15,42.86,0.0,0.21,0.0,0.0,0.88,0.24,0.09,0.0,50.31,49.76,1.24,0.91,34,3,3,Suiza Super League,3
Noah De Queiroz,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,66.67,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,1,1,2,Suiza Super League,3
Edin Omeragić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,64.0,2.0,43.75,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,Suiza Super League,3
Lukas Watkowiak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,26.5,58.49,2.5,39.73,4.5,0.25,0.25,0.0,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,4,2,1,Suiza Super League,3
Max Meyer,0.36,0.18,60.87,2.18,0.0,0.0,1.36,0.54,0.0,0.43,0.0,0.89,0.11,0.18,40.29,84.22,14.32,50.0,0.0,0.0,0.0,0.0,1.0,0.21,0.25,0.04,29.17,52.6,1.5,0.5,28,2,3,Suiza Super League,3
David von Ballmoos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.07,35.0,72.57,1.47,36.36,3.07,0.4,0.27,0.07,0.47,0.13,0.0,0.0,100.0,100.0,0.0,0.0,15,2,1,Suiza Super League,3
Renato Steffen,0.25,0.07,57.69,1.57,0.0,1.19,0.79,0.39,0.0,0.43,0.0,0.57,0.39,0.25,30.89,82.43,9.18,70.97,0.0,0.11,0.0,0.0,1.04,0.07,0.36,0.0,34.78,48.57,1.5,0.82,28,3,3,Suiza Super League,3
Jordi Quintillà,0.03,0.0,70.0,1.23,0.0,0.0,1.51,0.91,0.0,0.94,0.0,1.23,0.2,0.14,46.57,82.15,12.37,57.93,0.0,0.11,0.0,0.0,1.2,0.23,0.2,0.0,42.62,47.54,1.34,1.26,35,2,3,Suiza Super League,3
Tosin Aiyegun,0.44,0.19,65.22,2.41,0.07,0.0,0.67,0.15,0.0,0.59,0.0,0.26,0.19,0.04,13.74,74.66,5.48,94.12,0.0,0.0,0.0,0.0,1.33,0.04,0.07,0.0,40.0,50.53,0.96,0.78,27,2,4,Suiza Super League,3
Fabian Rieder,0.21,0.06,54.9,1.61,0.03,0.43,2.21,0.88,0.0,0.39,0.06,1.73,0.21,0.12,37.21,78.58,11.85,61.48,0.0,0.27,0.0,0.0,0.55,0.09,0.3,0.0,43.59,48.19,1.3,1.42,33,1,3,Suiza Super League,3
Martin Frýdek,0.11,0.0,60.71,0.54,0.0,1.43,2.07,1.39,0.07,1.39,0.0,1.14,0.36,0.18,41.61,69.1,12.21,32.28,0.0,0.14,0.0,0.0,1.11,0.36,0.18,0.04,52.63,54.47,1.25,1.46,28,3,2,Suiza Super League,3
Cédric Itten,0.61,0.1,40.0,2.61,0.13,0.0,0.26,0.13,0.03,0.42,0.0,0.26,0.23,0.13,11.06,69.1,3.94,40.0,0.0,0.03,0.0,0.0,0.58,0.06,0.1,0.03,43.3,38.46,0.84,1.26,31,2,4,Suiza Super League,3
Jean-Pierre Nsame,0.64,0.3,47.83,2.12,0.18,0.0,0.21,0.09,0.0,0.33,0.0,0.18,0.18,0.12,13.64,65.33,5.06,37.5,0.0,0.0,0.0,0.0,0.39,0.03,0.12,0.0,52.94,43.5,0.48,0.82,33,2,4,Suiza Super League,3
Lukas Görtler,0.3,0.13,60.0,2.23,0.0,0.0,1.63,0.93,0.03,0.7,0.0,1.87,0.37,0.2,43.3,70.82,14.83,47.4,0.0,0.07,0.0,0.0,1.2,0.27,0.37,0.03,51.16,46.96,1.77,1.47,30,2,3,Suiza Super League,3
Blerim Džemaili,0.24,0.1,58.33,1.38,0.0,0.0,1.19,0.48,0.0,0.29,0.0,0.76,0.19,0.05,23.62,74.4,6.38,49.25,0.0,0.0,0.0,0.0,0.57,0.1,0.29,0.0,47.06,60.15,1.57,0.62,21,3,3,Suiza Super League,3
Jérémy Guillemenot,0.34,0.13,23.68,2.28,0.03,0.52,1.0,0.25,0.0,0.22,0.0,0.41,0.13,0.22,14.72,63.48,5.25,40.91,0.0,0.03,0.0,0.0,1.0,0.19,0.19,0.0,52.24,49.05,1.69,1.0,32,2,4,Suiza Super League,3
Arnau Comas,0.15,0.0,16.67,0.46,0.08,0.0,1.08,1.62,0.0,2.62,0.0,0.15,0.08,0.08,54.08,88.05,3.77,48.86,0.0,0.38,0.0,0.0,0.69,0.0,0.38,0.0,56.52,44.87,0.54,1.69,13,1,2,Suiza Super League,3
Chris Bedia,0.55,0.23,65.22,2.36,0.0,0.0,0.55,0.18,0.0,0.27,0.0,0.27,0.09,0.09,9.27,72.55,3.05,50.0,0.0,0.0,0.0,0.0,0.73,0.14,0.18,0.0,41.54,45.13,0.86,0.91,22,2,4,Suiza Super League,3
Zeki Amdouni,0.38,0.22,50.0,2.28,0.09,0.0,0.88,0.22,0.0,0.38,0.0,0.44,0.16,0.13,21.41,79.85,7.09,79.31,0.0,0.03,0.0,0.0,0.88,0.16,0.03,0.0,44.94,45.03,1.09,0.63,32,1,4,Suiza Super League,3
Živko Kostadinović,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,23.0,56.52,0.5,23.08,2.5,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2,3,1,Suiza Super League,3
Emmanuel Latte Lath,0.45,0.29,52.94,2.42,0.1,0.0,0.68,0.19,0.0,0.23,0.0,0.16,0.13,0.1,11.97,62.26,4.0,23.08,0.0,0.0,0.0,0.0,0.77,0.19,0.16,0.0,48.85,47.5,1.03,1.0,31,1,4,Suiza Super League,3
Marco Burch,0.12,0.16,66.67,0.96,0.08,0.0,1.2,1.44,0.0,3.8,0.08,0.56,0.04,0.04,41.64,84.73,4.12,57.14,0.0,0.16,0.0,0.0,0.92,0.32,0.2,0.0,53.77,58.53,1.28,0.72,25,1,2,Suiza Super League,3
Žan Celar,0.53,0.23,59.09,3.0,0.1,0.0,0.13,0.07,0.0,0.3,0.0,0.13,0.13,0.07,10.87,75.46,4.03,80.0,0.0,0.0,0.0,0.0,1.07,0.07,0.1,0.0,38.46,40.48,0.7,0.6,30,1,4,Suiza Super League,3
Cheick Oumar Conde,0.03,0.0,65.67,0.57,0.0,0.0,3.27,2.03,0.03,0.9,0.03,0.83,0.0,0.03,35.47,72.74,5.77,49.72,0.0,0.2,0.0,0.0,1.03,0.07,0.4,0.0,61.74,59.6,1.17,1.8,30,1,3,Suiza Super League,3
Fabian Lustenberger,0.0,0.0,100.0,0.23,0.0,0.0,1.31,1.19,0.08,2.5,0.0,0.46,0.0,0.04,49.69,88.39,3.85,64.26,0.0,0.27,0.0,0.0,0.5,0.04,0.19,0.0,69.09,69.44,1.04,0.5,26,3,2,Suiza Super League,3
Anto Grgić,0.06,0.06,47.62,0.97,0.0,0.0,1.58,1.06,0.0,1.61,0.0,1.1,0.19,0.06,39.94,81.91,8.0,60.0,0.0,0.1,0.0,0.0,1.61,0.13,0.19,0.0,56.82,52.38,0.87,0.84,31,2,3,Suiza Super League,3
Hayao Kawabe,0.27,0.06,45.45,1.12,0.03,3.03,1.52,0.76,0.0,0.58,0.03,0.76,0.18,0.18,25.3,74.97,6.7,52.63,0.0,0.06,0.0,0.0,1.67,0.06,0.12,0.0,42.0,49.58,0.97,1.03,33,2,3,Suiza Super League,3
Vincent Sierro,0.07,0.07,77.78,0.87,0.0,0.0,2.07,0.6,0.07,0.6,0.0,1.13,0.13,0.0,29.67,78.65,8.53,57.58,0.0,0.07,0.0,0.0,0.2,0.0,0.07,0.0,61.54,55.83,0.87,1.2,15,2,3,Suiza Super League,3
Patrick Pflücke,0.17,0.11,45.16,2.03,0.0,0.0,0.86,0.4,0.0,0.2,0.0,0.97,0.14,0.06,23.8,81.51,7.03,59.09,0.0,0.0,0.0,0.0,0.83,0.23,0.09,0.0,36.84,42.17,0.54,0.23,35,2,3,Suiza Super League,3
Fabian Schubert,0.38,0.38,100.0,2.88,0.0,0.0,0.75,0.13,0.0,0.5,0.0,0.63,0.0,0.0,12.88,66.02,4.88,42.86,0.0,0.0,0.0,0.0,0.5,0.25,0.13,0.0,54.55,47.06,0.63,0.75,8,2,4,Suiza Super League,3
Timothé Cognat,0.06,0.03,58.02,0.79,0.0,0.0,1.39,1.55,0.0,0.79,0.0,1.03,0.21,0.12,39.79,80.27,11.06,54.84,0.0,0.09,0.0,0.0,0.76,0.27,0.21,0.0,21.95,41.28,0.42,0.97,33,2,3,Suiza Super League,3
Kastriot Imeri,0.19,0.15,34.29,1.26,0.0,0.0,0.93,0.37,0.0,0.26,0.0,0.78,0.19,0.11,24.3,81.4,8.59,64.71,0.0,0.11,0.0,0.0,0.48,0.0,0.0,0.0,41.18,46.93,1.22,0.81,27,1,3,Suiza Super League,3
Ismajl Beka,0.05,0.1,80.0,1.05,0.0,0.0,1.95,2.29,0.05,4.1,0.0,0.9,0.1,0.05,42.71,77.7,4.05,49.69,0.0,0.1,0.0,0.0,1.14,0.24,0.38,0.0,70.0,63.16,0.57,1.0,21,1,2,Suiza Super League,3
Anthony Baron,0.0,0.0,75.0,0.24,0.0,0.0,1.35,1.18,0.0,1.71,0.0,0.71,0.24,0.18,40.94,83.19,8.47,51.69,0.0,0.29,0.0,0.0,1.06,0.12,0.0,0.0,64.71,61.54,0.29,0.24,17,2,2,Suiza Super League,3
Daouda Guindo,0.07,0.0,50.0,0.93,0.0,0.0,1.87,2.33,0.07,1.27,0.0,0.6,0.13,0.13,40.4,76.57,10.73,54.74,0.0,0.07,0.0,0.0,1.27,0.27,0.2,0.0,50.0,59.81,1.07,0.8,15,1,2,Suiza Super League,3
Fabian Frei,0.04,0.0,66.67,0.57,0.0,0.0,1.09,1.13,0.04,1.61,0.04,0.7,0.17,0.13,37.57,82.64,8.57,58.04,0.0,0.04,0.0,0.0,0.87,0.3,0.17,0.04,50.0,53.49,0.35,0.43,23,3,3,Suiza Super League,3
