Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Goran Karačić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,42.0,85.71,0.0,50.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1,2,1,Turquia Trendyol Süper Lig,3
Deniz Dilmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,58.7,0.0,47.06,9.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1,1,1,Turquia Trendyol Süper Lig,3
Ataberk Dadakdeniz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,36.0,47.22,1.0,17.39,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,1,1,1,Turquia Trendyol Süper Lig,3
Vedat Karakuş,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,80.65,0.0,25.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,1,2,1,Turquia Trendyol Süper Lig,3
Mauro Icardi,0.92,0.54,54.55,3.38,0.21,0.0,0.33,0.04,0.0,0.63,0.0,0.46,0.33,0.29,14.04,70.62,5.58,66.67,0.0,0.25,0.0,0.0,0.5,0.13,0.13,0.0,43.52,41.84,0.63,0.79,24,2,4,Turquia Trendyol Süper Lig,3
Fabio Borini,0.63,0.07,60.53,2.57,0.03,0.0,0.97,0.97,0.03,1.03,0.0,0.57,0.2,0.27,25.0,71.33,4.83,49.11,0.0,0.07,0.0,0.0,1.27,0.23,0.2,0.0,47.5,54.0,2.13,1.03,30,3,4,Turquia Trendyol Süper Lig,3
Arda Güler,0.2,0.0,52.63,1.7,0.0,0.0,1.25,0.15,0.0,0.1,0.0,0.95,0.35,0.15,29.25,84.96,9.85,70.45,0.0,0.0,0.0,0.0,0.45,0.1,0.05,0.0,50.0,53.03,1.4,0.55,20,1,3,Turquia Trendyol Süper Lig,3
Anastasios Bakasetas,0.3,0.07,63.64,2.74,0.0,0.0,1.93,0.81,0.0,0.41,0.0,0.67,0.3,0.19,51.89,82.37,14.48,57.76,0.0,0.22,0.0,0.0,1.0,0.19,0.33,0.04,35.0,54.92,1.74,1.15,27,2,3,Turquia Trendyol Süper Lig,3
Dia Saba,0.38,0.08,61.54,2.0,0.0,3.85,1.08,0.54,0.0,0.15,0.0,0.69,0.54,0.31,40.31,81.87,11.92,65.85,0.0,0.08,0.0,0.0,0.85,0.15,0.31,0.0,33.33,40.95,0.69,0.46,13,3,3,Turquia Trendyol Süper Lig,3
Fernando,0.17,0.0,39.13,1.7,0.0,0.35,1.57,0.97,0.03,0.57,0.0,1.37,0.3,0.07,62.77,82.74,9.7,60.48,0.0,0.13,0.0,0.0,1.23,0.17,0.33,0.03,48.0,44.81,0.9,0.9,30,3,3,Turquia Trendyol Süper Lig,3
Samu Sáiz,0.31,0.0,56.1,1.31,0.0,0.0,0.46,0.15,0.0,0.08,0.0,0.69,0.62,0.31,34.0,83.03,13.08,75.51,0.0,0.0,0.0,0.0,1.38,0.0,0.31,0.0,31.25,51.75,1.92,0.62,13,3,3,Turquia Trendyol Süper Lig,3
Brahim Darri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,80.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,1,2,3,Turquia Trendyol Süper Lig,3
Vincent Aboubakar,0.81,0.44,44.9,2.94,0.06,0.0,0.5,0.25,0.0,0.44,0.0,0.25,0.13,0.13,17.56,77.58,6.0,70.0,0.0,0.13,0.0,0.0,0.69,0.19,0.19,0.0,41.27,38.92,1.0,0.81,16,3,4,Turquia Trendyol Süper Lig,3
Guilherme Haubert Sityá,0.06,0.06,56.52,0.41,0.0,0.0,1.85,1.29,0.0,1.47,0.0,0.76,0.38,0.26,42.53,79.67,10.44,49.71,0.0,0.26,0.0,0.0,1.12,0.09,0.09,0.0,51.39,56.64,0.56,0.59,34,3,2,Turquia Trendyol Süper Lig,3
Mehmet Umut Nayir,0.55,0.32,53.33,2.45,0.06,0.0,0.58,0.06,0.0,0.94,0.0,0.35,0.19,0.1,20.52,65.41,4.74,53.57,0.0,0.0,0.0,0.0,1.77,0.06,0.06,0.0,58.33,58.51,1.55,0.81,31,2,4,Turquia Trendyol Süper Lig,3
Alexandru Maxim,0.13,0.06,64.15,1.72,0.0,0.35,1.19,0.38,0.0,0.5,0.0,0.44,0.22,0.16,30.41,80.88,9.72,66.96,0.0,0.09,0.0,0.0,0.91,0.06,0.19,0.0,41.67,47.79,1.0,1.03,32,3,3,Turquia Trendyol Süper Lig,3
Enner Valencia,0.94,0.48,44.92,2.94,0.1,0.0,0.81,0.32,0.0,0.06,0.0,0.58,0.19,0.16,18.26,76.33,6.74,54.17,0.0,0.06,0.0,0.0,0.9,0.06,0.1,0.03,41.9,45.61,2.13,1.42,31,3,4,Turquia Trendyol Süper Lig,3
Younès Belhanda,0.4,0.27,58.62,3.27,0.0,0.0,1.17,0.2,0.0,0.27,0.0,0.53,0.37,0.23,34.57,82.16,12.6,63.77,0.0,0.03,0.0,0.0,1.07,0.07,0.17,0.07,43.24,48.48,0.9,0.77,30,3,3,Turquia Trendyol Süper Lig,3
Emin Bayram,0.0,0.14,50.0,0.71,0.0,0.0,1.86,1.57,0.0,3.57,0.0,0.14,0.0,0.0,39.71,89.57,2.43,60.87,0.0,0.29,0.0,0.0,0.43,0.14,0.14,0.0,68.75,70.0,0.43,0.57,7,1,2,Turquia Trendyol Süper Lig,3
Sérgio Oliveira,0.13,0.06,50.0,2.69,0.03,0.0,1.81,0.72,0.0,0.44,0.03,1.06,0.19,0.13,44.97,81.51,11.94,61.14,0.0,0.16,0.0,0.0,0.47,0.06,0.22,0.0,47.62,48.81,1.28,0.94,32,3,3,Turquia Trendyol Süper Lig,3
Badou Ndiaye,0.25,0.13,67.06,1.78,0.0,0.0,1.88,0.97,0.0,0.91,0.0,0.88,0.13,0.13,38.06,85.96,9.91,66.97,0.0,0.13,0.0,0.0,1.06,0.22,0.13,0.0,27.66,58.09,2.78,1.34,32,3,3,Turquia Trendyol Süper Lig,3
Mbaye Diagne,0.7,0.27,52.0,2.3,0.12,0.0,0.18,0.06,0.0,1.03,0.0,0.06,0.09,0.15,15.12,68.94,2.67,75.0,0.0,0.09,0.0,0.0,1.21,0.21,0.18,0.0,49.28,46.54,1.03,0.85,33,3,4,Turquia Trendyol Süper Lig,3
