#,Team,Name,Appearances
1,,Akram Tawfik,8
2,,Ali Maâloul,25
3,,Karim Emad,2
4,,Zizo,34
5,,Mohamed Chibi,22
6,,Hossam Hassan,2
7,,Osama Galal,12
8,,Emam Ashour,15
9,,Mohamed Magdy Afsha,29
10,,Ilyes Jelassi,31
11,,Samir Fekri,33
12,,Hossam Hassan,19
13,,Amr El-Solia,19
14,,Abdelrahman Samir,2
15,,Ahmed Abdel Aziz,2
16,,Mohanad Lasheen,27
17,,Aliou Dieng,29
18,,Mohamed Hany,21
19,,Essam Tharwat,14
20,,Ahmed El Sheikh,33
21,,Ali Gabr,26
22,,Mahmoud Metwaly,17
23,,Marwan Attia,27
24,,Mohamed El-Shenawy,29
25,,Ali Lotfi,5
26,,Mohamed Awad,16
27,,Basem Ali,27
28,,Hussein El Shahat,21
29,,Mahmoud Hamdi,8
30,,Mahmoud El Sayed,1
31,,Mahmoud Marei,23
32,,Mohamed Abdelmonem,21
33,,Ahmed Fatouh,19
34,,Joseph Jonathan Ngwem,30
35,,Mahmoud Saber,15
36,,Hossam Abdelmaguid,29
37,,Karim Fouad,12
38,,Walid El Karti,23
39,,Mohamed Magdi Abdel Fattah,3
40,,Hamdi Fathi,17
41,,Mabululu,32
42,,Abdallah El-Said,18
43,,Mahmoud Abou El-Saoud,34
44,,Mahmoud Genesh,25
45,,Mohamed Ismail,3
46,,Ibrahim El Kadi,23
47,,Ragab Nabil,31
48,,Mohamed Shokry,29
49,,Mahmoud Alaa,21
50,,Omar Fayed,25
51,,Mohamed Fawzi,13
52,,Nasser Maher,22
53,,Ahmed Kalosha,30
54,,Mohamed Reda,24
55,,Ahmed El-Shenawy,32
56,,Mahmoud Ooka,2
57,,Adnan Osman,1
58,,Ramzi Khaled,2
59,,Mostafa Shobeir,3
60,,Ahmed Eid,4
61,,Karim Halawa,7
62,,Omar Fathi,28
63,,Ramadan Sobhi,18
64,,Mohamed Bassam,31
65,,Serge Aka,14
66,,Mohamed Dabash,12
67,,Hussein Sayed,23
68,,Reda Sayed,29
69,,Mahmoud Hamdy,10
70,,Ahmed Amin Oufa,27
71,,Mahdi Soliman,29
72,,Abdel Rahman Shika,15
73,,Moaz El Henawy,32
74,,Islam Issa,28
75,,Mohamed Abdelghani,25
76,,Yasser Ibrahim,21
77,,Mohamed Adel,29
78,,Ibrahim Blati Toure,29
79,,Mohamed El Sabahi,6
80,,Omar El Wahsh,17
81,,Ahmed Belhadji,22
82,,Rami Rabia,16
83,,Kamal Aboul-Fetouh,15
84,,Ali El Fil,21
85,,Mohamed Toni,19
86,,Farouck Kabore,33
87,,Mohamed Hamdy Zaki,28
88,,Mostafa El Aash,33
89,,Mostafa Fathy,31
90,,Ahmed El Amour,5
91,,Mohamed Abou Gabal,27
92,,Abdallah Bakri,26
93,,Nabil Donga,24
94,,Mostafa Shalaby,22
95,,Himid Mao Mkami,26
96,,Islam Abou-Salima,26
97,,Mahmoud Shabana,14
98,,Mahmoud Wadi,18
99,,Mohamed Sobhi,18
100,,Marwan Mohsen,24
101,,Hamza Mathlouthi,26
102,,Sherif Reda,28
103,,Mohamed Hassan,24
104,,Mohamed Helal,28
105,,Sabri Raheel,28
106,,Mohamed Hamdi,32
107,,Mohamed Fawzi,22
