#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Akram Tawfik,0.13,0,55.56,0.13,0,0
2,,Ali Maâloul,0.32,0,65.22,0.72,0,1.33
3,,Karim Emad,0,0,0,0,0,0
4,,Zizo,0.38,0.21,42.4,2.62,0.03,0.59
5,,Mohamed Chibi,0,0,68.75,0.55,0,0
6,,Hossam Hassan,0,0,100,0.5,0,0
7,,Osama Galal,0.08,0,71.43,0.67,0,0
8,,Emam Ashour,0.13,0.13,44.44,2.87,0,0
9,,Mohamed Magdy Afsha,0.1,0.03,56.25,1.69,0,0
10,,Ilyes Jelassi,0.16,0,63.1,1.19,0,0
11,,Samir Fekri,0.27,0.12,43.55,1.73,0,0
12,,Hossam Hassan,0.37,0.05,33.33,2.89,0.05,0
13,,Amr El-Solia,0.21,0.05,25,1.37,0.05,0
14,,Abdelrahman Samir,0,0,0,0,0,0
15,,Ahmed Abdel Aziz,0,0,0,0,0,0
16,,Mohanad Lasheen,0.04,0,50,0.74,0,0
17,,Aliou Dieng,0.07,0,72.97,0.66,0,0
18,,Mohamed Hany,0,0,40,0.81,0,0
19,,Essam Tharwat,0,0,0,0,0,0
20,,Ahmed El Sheikh,0.3,0.06,62.5,1.97,0.03,0
21,,Ali Gabr,0.04,0.12,100,0.5,0,0
22,,Mahmoud Metwaly,0.06,0,100,0.47,0.06,0
23,,Marwan Attia,0.04,0.04,55,1.89,0,0
24,,Mohamed El-Shenawy,0,0,0,0,0,0
25,,Ali Lotfi,0,0,0,0,0,0
26,,Mohamed Awad,0,0,0,0,0,0
27,,Basem Ali,0.07,0.04,55.56,0.41,0,0
28,,Hussein El Shahat,0.19,0.14,32.56,1.81,0,0
29,,Mahmoud Hamdi,0.13,0,0,0.38,0.13,0
30,,Mahmoud El Sayed,0,0,0,0,0,0
31,,Mahmoud Marei,0,0,63.64,0.04,0,0
32,,Mohamed Abdelmonem,0,0,70,0.38,0,0
33,,Ahmed Fatouh,0.11,0,56.67,0.37,0,0
34,,Joseph Jonathan Ngwem,0.07,0,47.62,0.63,0,0
35,,Mahmoud Saber,0.13,0,25,0.8,0,0
36,,Hossam Abdelmaguid,0.1,0,40,0.62,0.1,0
37,,Karim Fouad,0.17,0.25,61.11,1.5,0,0
38,,Walid El Karti,0.09,0.04,25,0.96,0.04,0
39,,Mohamed Magdi Abdel Fattah,0,0,0,0,0,0
40,,Hamdi Fathi,0.06,0,25,1,0,0
41,,Mabululu,0.5,0.19,51.28,2.16,0.13,0
42,,Abdallah El-Said,0.06,0,42.86,1.39,0,0
43,,Mahmoud Abou El-Saoud,0,0,0,0,0,0
44,,Mahmoud Genesh,0,0,0,0,0,0
45,,Mohamed Ismail,0,0,100,0.33,0,0
46,,Ibrahim El Kadi,0.04,0,81.25,0.48,0.04,0
47,,Ragab Nabil,0.06,0.06,100,0.42,0.03,0
48,,Mohamed Shokry,0.03,0,53.33,0.93,0,0
49,,Mahmoud Alaa,0.19,0.33,0,1.14,0.05,0
50,,Omar Fayed,0,0,82.61,0.32,0,0
51,,Mohamed Fawzi,0,0,0,0,0,0
52,,Nasser Maher,0.05,0.05,55,1.32,0,0
53,,Ahmed Kalosha,0.07,0.1,60,0.53,0.07,0
54,,Mohamed Reda,0,0,70.83,0.63,0,0
55,,Ahmed El-Shenawy,0,0,0,0,0,0
56,,Mahmoud Ooka,0,0,0,0,0,0
57,,Adnan Osman,0,0,0,0,0,0
58,,Ramzi Khaled,0,0,50,0,0,0
59,,Mostafa Shobeir,0,0,0,0,0,0
60,,Ahmed Eid,0,0,0,0,0,0
61,,Karim Halawa,0,0,25,0.14,0,0
62,,Omar Fathi,0.18,0.07,51.06,1.75,0,0.32
63,,Ramadan Sobhi,0.33,0.17,42.86,1.33,0,0
64,,Mohamed Bassam,0,0,66.67,0,0,0
65,,Serge Aka,0,0,72.73,0.57,0,0
66,,Mohamed Dabash,0.08,0,100,0.33,0.08,0
67,,Hussein Sayed,0,0,66.67,1.04,0,0
68,,Reda Sayed,0,0,100,0,0,0
69,,Mahmoud Hamdy,0,0,0,0,0,0
70,,Ahmed Amin Oufa,0.37,0.19,48.33,2.26,0,0
71,,Mahdi Soliman,0,0,100,0,0,0
72,,Abdel Rahman Shika,0,0,68,0.4,0,0
73,,Moaz El Henawy,0.06,0,80,0.44,0.03,0
74,,Islam Issa,0.18,0.04,55.56,1.11,0.04,0
75,,Mohamed Abdelghani,0.04,0.04,83.33,0.28,0.04,0
76,,Yasser Ibrahim,0.05,0,75,0.38,0.05,0
77,,Mohamed Adel,0.03,0.07,70.97,0.41,0.03,0
78,,Ibrahim Blati Toure,0.1,0.03,57.89,0.83,0,0
79,,Mohamed El Sabahi,0.17,0,58.82,1.5,0,0
80,,Omar El Wahsh,0,0,69.23,0.35,0,0
81,,Ahmed Belhadji,0.18,0.09,30.43,1.27,0,0
82,,Rami Rabia,0,0,87.5,0.19,0,0
83,,Kamal Aboul-Fetouh,0.07,0,77.78,0.33,0.07,0
84,,Ali El Fil,0,0.05,100,0.33,0,0
85,,Mohamed Toni,0,0,80,0.79,0,0
86,,Farouck Kabore,0.03,0.09,70,0.61,0.03,0
87,,Mohamed Hamdy Zaki,0.43,0.21,28.57,3.14,0.04,0
88,,Mostafa El Aash,0.03,0,47.62,0.36,0,0
89,,Mostafa Fathy,0.29,0.26,38.37,2.29,0.03,0
90,,Ahmed El Amour,0,0,100,0,0,0
