#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Akram Tawfik,6.25,2.75,0,0.5,0,0.75
2,,Ali Maâloul,1.52,0.76,0,0.72,0,0.84
3,,Karim Emad,0,0,0,3.5,0,0
4,,Zizo,0.5,0.35,0,0.06,0,0.32
5,,Mohamed Chibi,0.73,1,0,1.45,0.05,0.36
6,,Hossam Hassan,1,0,0,0,0,0
7,,Osama Galal,2.42,1.75,0,3.33,0,0.67
8,,Emam Ashour,2.53,1.13,0,0.53,0,0.4
9,,Mohamed Magdy Afsha,0.76,0.31,0,0.1,0,0.41
10,,Ilyes Jelassi,0.55,0.39,0,0.13,0,0.58
11,,Samir Fekri,1.58,0.58,0,0.45,0,0.39
12,,Hossam Hassan,0.89,0.16,0,0.32,0,0.21
13,,Amr El-Solia,2.05,0.84,0,1.26,0,0.58
14,,Abdelrahman Samir,0,0,0,0.5,0,0
15,,Ahmed Abdel Aziz,2.5,1.5,0,4.5,0,0
16,,Mohanad Lasheen,3.85,1.19,0,1.04,0,1.19
17,,Aliou Dieng,2.34,1.38,0.03,0.52,0,0.55
18,,Mohamed Hany,1.95,0.95,0,1.33,0,0.57
19,,Essam Tharwat,0.07,0,0,1.14,0,0.14
20,,Ahmed El Sheikh,0.52,0.21,0,0.24,0,0.45
21,,Ali Gabr,1.23,1.19,0.04,4,0,0.12
22,,Mahmoud Metwaly,1.59,1.53,0,2.41,0,0.41
23,,Marwan Attia,2.22,1.63,0,0.44,0,1.11
24,,Mohamed El-Shenawy,0.07,0,0.03,0.66,0,0
25,,Ali Lotfi,0,0,0,0.2,0,0
26,,Mohamed Awad,0,0,0,1,0.06,0
27,,Basem Ali,2.81,1.81,0,1.81,0,0.67
28,,Hussein El Shahat,0.52,0.43,0,0.19,0,0.62
29,,Mahmoud Hamdi,1,1.5,0,2.88,0,0
30,,Mahmoud El Sayed,0,0,0,2,0,0
31,,Mahmoud Marei,1.52,1.52,0,2.35,0,0.35
32,,Mohamed Abdelmonem,1.33,1.38,0,2.29,0,0.57
33,,Ahmed Fatouh,1.47,1.68,0,1.26,0,0.58
34,,Joseph Jonathan Ngwem,1.4,0.8,0.03,1.47,0,0.43
35,,Mahmoud Saber,1,0.4,0,0.13,0,0.07
36,,Hossam Abdelmaguid,1.17,1.14,0.03,4.14,0.07,0.34
37,,Karim Fouad,1.08,1.08,0,0.42,0,0.25
38,,Walid El Karti,1.35,1.13,0,0.57,0,0.87
39,,Mohamed Magdi Abdel Fattah,0,0,0,2.67,0,0
40,,Hamdi Fathi,1.12,1.24,0,0.88,0,0.71
41,,Mabululu,0.53,0.06,0,0.81,0,0.25
42,,Abdallah El-Said,0.56,0.39,0,0.72,0,0.33
43,,Mahmoud Abou El-Saoud,0.03,0,0,1.74,0,0
44,,Mahmoud Genesh,0,0,0,1.08,0.08,0.04
45,,Mohamed Ismail,1.33,0.67,0,1.33,0,0
46,,Ibrahim El Kadi,1.65,1.96,0.04,4.35,0,0.52
47,,Ragab Nabil,1.48,1.26,0,3.16,0,0.32
48,,Mohamed Shokry,2.07,2.34,0.07,1.59,0,0.9
49,,Mahmoud Alaa,0.9,1.52,0.05,3.48,0,0.24
50,,Omar Fayed,2.68,1.84,0.04,3.2,0,0.44
51,,Mohamed Fawzi,0,0,0,0.69,0,0
52,,Nasser Maher,0.91,0.23,0,0,0,0.55
53,,Ahmed Kalosha,1.63,1.03,0.03,4.9,0.03,0.4
54,,Mohamed Reda,1.79,1,0,1.5,0,0.33
55,,Ahmed El-Shenawy,0,0,0,0.91,0,0.03
56,,Mahmoud Ooka,0,0,0,0,0,0
57,,Adnan Osman,4,0,0,0,0,0
58,,Ramzi Khaled,1,0,0,0,0,0
59,,Mostafa Shobeir,0,0,0,0.67,0,0
60,,Ahmed Eid,1.5,0.75,0,0.75,0,0
61,,Karim Halawa,0.86,0.14,0,0,0,0
62,,Omar Fathi,1.04,0.36,0,0.18,0,0.61
63,,Ramadan Sobhi,0.83,0.33,0,0.39,0,0.39
64,,Mohamed Bassam,0.03,0,0,0.68,0.06,0.03
65,,Serge Aka,3,0.86,0.07,0.57,0,1.29
66,,Mohamed Dabash,1.33,2.08,0,3.08,0,0.42
67,,Hussein Sayed,1.87,1.65,0,0.87,0,0.35
68,,Reda Sayed,0.07,0.03,0,1.24,0,0
69,,Mahmoud Hamdy,0.1,0.2,0,0.3,0,0
70,,Ahmed Amin Oufa,0.85,0.48,0,0.78,0,0.37
71,,Mahdi Soliman,0.03,0,0,1.52,0.03,0.1
72,,Abdel Rahman Shika,1.93,1.73,0,0.47,0,0.73
73,,Moaz El Henawy,1.34,1.44,0.03,3.88,0.03,0.34
74,,Islam Issa,1.5,0.29,0,0.29,0,0.61
75,,Mohamed Abdelghani,1.56,1.2,0,2.68,0,0.76
76,,Yasser Ibrahim,1.95,1.05,0.05,2.76,0,0.67
77,,Mohamed Adel,1.69,1.62,0.03,0.9,0,0.69
78,,Ibrahim Blati Toure,1.52,0.83,0,0.28,0,0.59
79,,Mohamed El Sabahi,0.33,0.33,0,0,0,0.67
80,,Omar El Wahsh,2.88,1.06,0.06,0.53,0,0.59
81,,Ahmed Belhadji,1.32,0.59,0,0.45,0,0.64
82,,Rami Rabia,1.13,0.94,0,1.75,0,0.38
83,,Kamal Aboul-Fetouh,1.8,1.6,0,3.73,0,0.67
84,,Ali El Fil,0.95,1.29,0,2.81,0.05,0.29
85,,Mohamed Toni,1.84,0.68,0,0.53,0,0.53
86,,Farouck Kabore,1.7,1.45,0.18,5.39,0,0.61
87,,Mohamed Hamdy Zaki,0.39,0.21,0,1.36,0,0.25
88,,Mostafa El Aash,1.73,1.33,0.03,2.55,0,0.45
89,,Mostafa Fathy,0.81,0.42,0,0.26,0,0.52
