#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Akram Tawfik,0,0,50,60.77,1.13,1.63
2,,Ali Maâloul,0,0,53.57,56.46,0.6,0.56
3,,Karim Emad,0.5,0,100,100,0.5,0
4,,Zizo,0.06,0,41.38,44.58,1.94,0.94
5,,Mohamed Chibi,0.27,0,62.5,55.13,0.27,0.59
6,,Hossam Hassan,0,0,66.67,85.71,0.5,0
7,,Osama Galal,0.33,0.08,58.21,59.7,0.58,1.42
8,,Emam Ashour,0.07,0,40.54,56.32,2.33,0.73
9,,Mohamed Magdy Afsha,0.03,0,57.14,57.66,0.93,0.31
10,,Ilyes Jelassi,0.19,0,42.86,57.43,3.16,0.68
11,,Samir Fekri,0.12,0,33.33,50.49,1.88,1.36
12,,Hossam Hassan,0.16,0,40.71,41.18,1.26,1.37
13,,Amr El-Solia,0.05,0,66.67,51.22,0.21,1.21
14,,Abdelrahman Samir,0.5,0,0,100,0.5,0
15,,Ahmed Abdel Aziz,0,0,0,75,2,0.5
16,,Mohanad Lasheen,0.22,0,50.91,60.88,1.59,1.15
17,,Aliou Dieng,0.07,0,58.14,59.47,0.52,1.14
18,,Mohamed Hany,0.14,0,46.15,55.15,1.14,0.95
19,,Essam Tharwat,0.07,0,66.67,73.68,0.64,0
20,,Ahmed El Sheikh,0.06,0,10.26,41.85,0.79,0.61
21,,Ali Gabr,0.15,0.04,81.72,73.68,0.12,0.69
22,,Mahmoud Metwaly,0.24,0,50,56.25,0.88,1
23,,Marwan Attia,0.15,0,54.55,51.85,0.56,0.78
24,,Mohamed El-Shenawy,0.07,0.03,100,92.31,0.38,0.07
25,,Ali Lotfi,0,0,0,100,0.2,0
26,,Mohamed Awad,0.13,0,100,100,0.25,0
27,,Basem Ali,0.11,0,62.07,63.21,0.44,0.89
28,,Hussein El Shahat,0,0,58.82,38.21,0.57,0.67
29,,Mahmoud Hamdi,0,0,65.63,74,1,0.25
30,,Mahmoud El Sayed,0,0,0,100,2,0
31,,Mahmoud Marei,0.17,0.04,56.45,60.13,0.78,0.78
32,,Mohamed Abdelmonem,0.33,0,72.6,65.97,0.38,0.62
33,,Ahmed Fatouh,0.11,0,53.33,56.71,1.68,1.11
34,,Joseph Jonathan Ngwem,0.2,0,58.33,52.43,0.7,0.93
35,,Mahmoud Saber,0.07,0,55.56,59.32,1,0.73
36,,Hossam Abdelmaguid,0.14,0,66.92,61.61,0.24,0.72
37,,Karim Fouad,0.17,0,38.46,50.57,0.83,0.92
38,,Walid El Karti,0.09,0.04,66.67,49.04,1.13,0.87
39,,Mohamed Magdi Abdel Fattah,0,0,100,100,0.67,0
40,,Hamdi Fathi,0.18,0,56.25,58.33,1.94,0.88
41,,Mabululu,0.13,0,37.35,40.89,0.75,0.97
42,,Abdallah El-Said,0,0.06,33.33,44.68,0.94,0.33
43,,Mahmoud Abou El-Saoud,0.03,0,100,100,0.59,0
44,,Mahmoud Genesh,0.08,0,88.89,90,0.48,0
45,,Mohamed Ismail,0,0,81.82,82.61,1.33,0.67
46,,Ibrahim El Kadi,0.22,0,63.29,67.44,0.65,0.48
47,,Ragab Nabil,0.16,0,65.66,64.06,0.74,1.13
48,,Mohamed Shokry,0.14,0,50,48.34,0.9,1.31
49,,Mahmoud Alaa,0.1,0.1,56.34,53.78,0.24,0.86
50,,Omar Fayed,0.28,0,69.01,69.3,0.92,1.04
51,,Mohamed Fawzi,0.08,0,100,100,0.23,0
52,,Nasser Maher,0.05,0,20,54.97,1.73,0.32
53,,Ahmed Kalosha,0.1,0,66.97,68.75,0.5,0.43
54,,Mohamed Reda,0.04,0,60.53,65.49,0.42,0.63
55,,Ahmed El-Shenawy,0.03,0,100,96.88,0.56,0
56,,Mahmoud Ooka,0,0,100,50,0,0
57,,Adnan Osman,0,0,100,75,1,1
58,,Ramzi Khaled,0,0,50,80,2,0
59,,Mostafa Shobeir,0,0,0,100,0.67,0
60,,Ahmed Eid,0.25,0,100,69.23,0.25,1
61,,Karim Halawa,0.29,0,66.67,63.16,0.43,0.43
62,,Omar Fathi,0.18,0.04,32.14,47.14,1.32,1.29
63,,Ramadan Sobhi,0.28,0,39.13,37.5,1.22,1.56
64,,Mohamed Bassam,0.03,0,100,90.91,0.32,0
65,,Serge Aka,0.14,0,25,53.19,0.93,2.14
66,,Mohamed Dabash,0.25,0,53.49,58.44,0.33,0.83
67,,Hussein Sayed,0.35,0,50,55.45,1.26,1.43
68,,Reda Sayed,0.14,0,70.59,87.5,0.76,0
69,,Mahmoud Hamdy,0,0,0,100,0.4,0
70,,Ahmed Amin Oufa,0.19,0.07,53.53,48.92,1.96,2.15
71,,Mahdi Soliman,0.07,0,100,85.71,0.17,0
72,,Abdel Rahman Shika,0.27,0,52.63,56.59,1.13,1.13
73,,Moaz El Henawy,0.19,0,57.94,61.73,0.38,0.44
74,,Islam Issa,0.04,0,23.08,53.07,1.14,0.93
75,,Mohamed Abdelghani,0,0,66.67,63.78,0.28,0.32
76,,Yasser Ibrahim,0.19,0,64.94,65.22,0.57,0.48
