#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Akram Tawfik,0,0.5,0,0,0.38,0
2,,Ali Maâloul,0,0.64,0,0,0.28,0
3,,Karim Emad,5,0,0.5,0,1,0
4,,Zizo,0,0.41,0,0,0.85,0.18
5,,Mohamed Chibi,0,0.5,0,0,0.32,0.09
6,,Hossam Hassan,0,0,0,0,0,0
7,,Osama Galal,0,0.5,0,0,0.58,0
8,,Emam Ashour,0,0.4,0,0,0.73,0.07
9,,Mohamed Magdy Afsha,0,0.14,0,0,0.38,0
10,,Ilyes Jelassi,0,0.16,0,0,0.71,0.03
11,,Samir Fekri,0,0,0,0,0.97,0.12
12,,Hossam Hassan,0,0.16,0,0,1.11,0
13,,Amr El-Solia,0,0.26,0,0,0.16,0
14,,Abdelrahman Samir,3,0.5,0,0,1,0
15,,Ahmed Abdel Aziz,0,0.5,0,0,1,0
16,,Mohanad Lasheen,0,0.33,0,0,0.63,0.15
17,,Aliou Dieng,0,0.48,0,0,0.28,0
18,,Mohamed Hany,0,0.48,0,0,0.24,0
19,,Essam Tharwat,3.07,0.43,0.14,0,0.79,0
20,,Ahmed El Sheikh,0,0.12,0,0,1.03,0.18
21,,Ali Gabr,0,0.5,0,0,0.54,0.08
22,,Mahmoud Metwaly,0,0.71,0,0,0.18,0
23,,Marwan Attia,0,0.26,0,0,0.63,0
24,,Mohamed El-Shenawy,2.28,0.59,0.14,0.07,0.45,0
25,,Ali Lotfi,1,0.6,0,0,0,0
26,,Mohamed Awad,2.94,0.5,0,0,0.75,0.13
27,,Basem Ali,0,0.41,0,0,0.44,0.15
28,,Hussein El Shahat,0,0.1,0,0,0.24,0
29,,Mahmoud Hamdi,0,0.38,0,0,1,0
30,,Mahmoud El Sayed,3,0,1,0,1,0
31,,Mahmoud Marei,0,0.57,0,0,0.48,0.04
32,,Mohamed Abdelmonem,0,0.57,0,0,0.38,0
33,,Ahmed Fatouh,0,0.42,0,0,0.42,0.16
34,,Joseph Jonathan Ngwem,0,0.5,0,0,0.5,0.13
35,,Mahmoud Saber,0,0.13,0,0,0.13,0
36,,Hossam Abdelmaguid,0,0.41,0,0,0.79,0.14
37,,Karim Fouad,0,0,0,0,0.42,0
38,,Walid El Karti,0,0.3,0,0,0.48,0.04
39,,Mohamed Magdi Abdel Fattah,3,0.33,0.33,0.33,1.33,0
40,,Hamdi Fathi,0,0.29,0,0,0.29,0
41,,Mabululu,0,0.06,0,0,0.84,0.09
42,,Abdallah El-Said,0,0.11,0,0,0.5,0.06
43,,Mahmoud Abou El-Saoud,2.62,0.41,0.35,0.06,0.88,0.09
44,,Mahmoud Genesh,2.24,0.52,0.12,0,0.52,0.12
45,,Mohamed Ismail,0,0,0,0,0.67,0.33
46,,Ibrahim El Kadi,0,0.22,0,0,0.96,0.13
47,,Ragab Nabil,0,0.35,0,0,0.77,0.13
48,,Mohamed Shokry,0,0.38,0,0,0.72,0.07
49,,Mahmoud Alaa,0,0.43,0,0,0.86,0
50,,Omar Fayed,0,0.36,0,0,0.72,0.08
51,,Mohamed Fawzi,2.15,0.23,0.15,0.15,0.77,0.08
52,,Nasser Maher,0,0.14,0,0,0.27,0.09
53,,Ahmed Kalosha,0,0.37,0,0,1,0.1
54,,Mohamed Reda,0,0.13,0,0,0.96,0.13
55,,Ahmed El-Shenawy,1.72,0.56,0.16,0.03,0.63,0.06
56,,Mahmoud Ooka,0,0,0,0,0,0
57,,Adnan Osman,0,0,0,0,0,0
58,,Ramzi Khaled,0,0,0,0,0,0
59,,Mostafa Shobeir,0.67,0.67,0,0,0,0
60,,Ahmed Eid,0,0,0,0,0,0.25
61,,Karim Halawa,0,0,0,0,0,0
62,,Omar Fathi,0,0,0,0,0.39,0.07
63,,Ramadan Sobhi,0,0.28,0,0,0.44,0.11
64,,Mohamed Bassam,2.87,0.39,0.06,0,0.81,0.13
65,,Serge Aka,0,0.07,0,0,1,0.07
66,,Mohamed Dabash,0,0.33,0,0,1.08,0.17
67,,Hussein Sayed,0,0.22,0,0,0.7,0.09
68,,Reda Sayed,2.69,0.38,0.1,0,0.97,0.14
69,,Mahmoud Hamdy,2,0.6,0.1,0,0.5,0.1
70,,Ahmed Amin Oufa,0,0.07,0,0,0.89,0.15
71,,Mahdi Soliman,2.72,0.34,0.14,0,1.14,0.07
72,,Abdel Rahman Shika,0,0.07,0,0,1.27,0.07
73,,Moaz El Henawy,0,0.25,0,0,1.06,0.13
74,,Islam Issa,0,0,0,0,0.32,0.07
75,,Mohamed Abdelghani,0,0.28,0,0,0.68,0.2
76,,Yasser Ibrahim,0,0.33,0,0,0.52,0
77,,Mohamed Adel,0,0.24,0,0,0.62,0.07
78,,Ibrahim Blati Toure,0,0.28,0,0,0.59,0.07
79,,Mohamed El Sabahi,0,0,0,0,0.67,0
80,,Omar El Wahsh,0,0,0,0,0.82,0.12
81,,Ahmed Belhadji,0,0.14,0,0,0.77,0.09
82,,Rami Rabia,0,0.38,0,0,0.19,0
83,,Kamal Aboul-Fetouh,0,0.27,0,0,0.93,0.13
84,,Ali El Fil,0,0.57,0,0,0.43,0.14
85,,Mohamed Toni,0,0.21,0,0,0.42,0.05
86,,Farouck Kabore,0,0.42,0,0,0.82,0.09
87,,Mohamed Hamdy Zaki,0,0.07,0,0,1.04,0.11
88,,Mostafa El Aash,0,0.21,0,0,1.15,0.18
89,,Mostafa Fathy,0,0.16,0,0,0.48,0.06
90,,Ahmed El Amour,0,0.2,0,0,0.6,0
91,,Mohamed Abou Gabal,2.78,0.37,0.15,0.04,0.81,0.22
92,,Abdallah Bakri,0,0.35,0,0,0.85,0.12
93,,Nabil Donga,0,0.17,0,0,0.5,0.08
94,,Mostafa Shalaby,0,0.09,0,0,0.68,0.14
95,,Himid Mao Mkami,0,0.19,0,0,1.15,0.08
96,,Islam Abou-Salima,0,0.27,0,0,0.73,0.04
97,,Mahmoud Shabana,0,0.43,0,0,0.86,0
98,,Mahmoud Wadi,0,0,0,0,0.44,0.17
99,,Mohamed Sobhi,2.28,0.39,0.06,0,1,0.22
100,,Marwan Mohsen,0,0,0,0,0.5,0.04
101,,Hamza Mathlouthi,0,0.38,0,0,0.62,0.15
102,,Sherif Reda,0,0.36,0,0,1,0.04
103,,Mohamed Hassan,0,0.25,0,0,0.83,0.08
104,,Mohamed Helal,0,0.04,0,0,0.71,0.11
105,,Sabri Raheel,0,0.32,0,0,0.89,0.07
106,,Mohamed Hamdi,0,0.34,0,0,0.5,0.06
107,,Mohamed Fawzi,2.73,0.23,0.27,0.09,1.09,0.18
108,,Mahmoud Ben Wali,0,0.24,0,0,1.14,0.17
109,,Hisham Salah,0,0.33,0,0,1.07,0
110,,Ahmed Shedid Kenawi,0,0.14,0,0,0.96,0.11
111,,Ahmed Samy,0,0.43,0,0,0.52,0.09
112,,Khaled Abdelfattah,0,0.46,0,0,0.46,0
113,,Ahmed Atef,0,0.12,0,0,0.65,0.08
114,,Ahmed Adel,2.75,0.25,0.25,0,0.75,0
115,,Ahmed Yasser Rayan,0,0.1,0,0,0.76,0.1
116,,Karim Hafez,0,0.21,0,0,0.11,0
117,,Ahmed Samir,0,0,0,0,0.76,0.1
118,,Rami Sabri,0,0.35,0,0,0.65,0.1
119,,Ahmed Alaa Eldin,0,0.44,0,0,0.91,0.03
120,,Rezki Hamroune,0,0.06,0,0,0.45,0.1
121,,Seif Teka,0,0.33,0,0,0.6,0.07
122,,Omar Fathy,0,0,0,0,1,0
123,,Ahmed Fathi,0,0.38,0,0,0.31,0
124,,Abdallah El Saeed,0,0,0,0,0,0
125,,Salah Yehia,0,0,0,0,0,0
126,,Mostafa Fares,0,0,0,0,0,0.5
127,,Ahmed Sobhi,3.83,0.17,0.33,0,1.17,0.33
128,,Ahmed Hany,0,0.4,0,0,0.67,0.13
129,,Raphael Ayagwa,0,0.12,0,0,1.28,0.12
130,,Mido Mostafa,0,0.12,0,0,1.06,0.09
131,,Baher El Mohamady,0,0.17,0,0,0.93,0.1
132,,Abdel Rahman Magdi,0,0,0,0,0.6,0.1
133,,Ali Fawzi,0,0.17,0,0,1.03,0.14
134,,Imadeddine Boubekeur,0,0.32,0,0,0.79,0.04
135,,Kahraba,0,0.07,0,0,0.07,0
136,,Ahmed El Agouz,0,0.08,0,0,0.65,0.12
137,,Abdallah Nasib,0,0.15,0,0,0.85,0.08
138,,Abdelrahman Khaled Gebna,0,0,0,0,0.56,0.07
139,,Khaled El Ghandour,0,0.12,0,0,1.08,0.12
140,,Ibrahima Ndiaye,0,0.13,0,0,0.69,0.19
141,,Mahmoud El-Gazzar,0,0.3,0,0,0.96,0.22
142,,Mahmoud Kaoud,0,0.25,0,0,0.64,0.14
143,,Mostafa El Zenary,0,0.44,0,0,0.75,0.25
144,,Ahmed Refaat,0,0,0,0,0.29,0
145,,Marouane Sahraoui,0,0.29,0,0,0.43,0
146,,Mahmoud Hamada,0,0.4,0,0,0.8,0.13
147,,Amr Moussa,0,0.35,0,0,0.65,0
148,,Omar Kamal,0,0.21,0,0,0.42,0.16
149,,Taher Mohamed,0,0.16,0,0,0.16,0
150,,Ahmed Sebiha,0,0.36,0,0,0.64,0.14
151,,Mohamed Sherif,0,0.11,0,0,0.25,0
152,,Islam Abdallah,0,0.07,0,0,1.07,0.14
153,,Mohamed Nasr,0,0.17,0,0,1,0
