#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Akram Tawfik,0.13,0,46.5,84.95,12,60
2,,Ali Maâloul,0.2,0.24,62,82.39,14.44,42.55
3,,Karim Emad,0,0,31.5,33.33,2.5,26.32
4,,Zizo,0.26,0.38,40.53,84.18,15.15,55.68
5,,Mohamed Chibi,0.18,0.09,49.64,84.34,10.09,62.73
6,,Hossam Hassan,0,0,6.5,69.23,1,50
7,,Osama Galal,0,0,70.08,86.33,4.75,53.57
8,,Emam Ashour,0.33,0.27,45.27,80.12,12,55.24
9,,Mohamed Magdy Afsha,0.38,0.21,42.93,85.46,13.59,70.65
10,,Ilyes Jelassi,0.39,0.23,47.58,77.02,16.03,57.03
11,,Samir Fekri,0.24,0.12,31.7,74.67,7.76,46.94
12,,Hossam Hassan,0.21,0.26,18.63,69.77,5.21,58.33
13,,Amr El-Solia,0.21,0.16,44.89,80.3,10.58,54.33
14,,Abdelrahman Samir,0,0,28,57.14,1,31.43
15,,Ahmed Abdel Aziz,0,0,18.5,62.16,3.5,0
16,,Mohanad Lasheen,0,0,58.3,84.37,11.7,63.85
17,,Aliou Dieng,0.14,0.07,57.66,88.22,10.93,69.12
18,,Mohamed Hany,0.1,0.1,43.95,84.4,8.57,52.17
19,,Essam Tharwat,0,0,21.79,53.77,1.14,40.17
20,,Ahmed El Sheikh,0.12,0.03,21.97,72.41,6.64,56.1
21,,Ali Gabr,0,0,64.96,87.15,3.23,52.36
22,,Mahmoud Metwaly,0,0.06,54.06,81.5,3.71,43.79
23,,Marwan Attia,0.04,0.04,59,86.75,11.3,70.37
24,,Mohamed El-Shenawy,0,0,21.86,66.4,0.66,43.45
25,,Ali Lotfi,0,0,13.8,85.51,0,65.38
26,,Mohamed Awad,0,0,19.56,52.4,0.75,27
27,,Basem Ali,0,0.04,45.41,77.73,7.48,47.68
28,,Hussein El Shahat,0.33,0.24,29.19,75.37,9.57,52.5
29,,Mahmoud Hamdi,0,0,42.88,79.88,2,44.62
30,,Mahmoud El Sayed,0,0,21,76.19,0,37.5
31,,Mahmoud Marei,0.04,0.04,66.74,85.86,7.39,56.86
32,,Mohamed Abdelmonem,0,0,55.29,88.63,3.33,61.47
33,,Ahmed Fatouh,0,0.16,55.53,81.8,12.84,47.24
34,,Joseph Jonathan Ngwem,0.2,0.17,46.63,80.56,7.7,50.32
35,,Mahmoud Saber,0.13,0.13,20,84.33,4.93,82.35
36,,Hossam Abdelmaguid,0,0,48.97,83.17,3.14,50.25
37,,Karim Fouad,0.17,0.25,22.5,75.19,7.58,37.5
38,,Walid El Karti,0.3,0.39,54.48,82.6,12.26,58.97
39,,Mohamed Magdi Abdel Fattah,0,0,21.67,44.62,0.67,40.68
40,,Hamdi Fathi,0.12,0.18,40.88,84.46,7.88,65.63
41,,Mabululu,0.03,0.06,14.31,76.2,3.81,68.97
42,,Abdallah El-Said,0.33,0.17,44.78,77.05,14.33,65.26
43,,Mahmoud Abou El-Saoud,0,0,15.5,46.68,0.71,35.07
44,,Mahmoud Genesh,0,0,23.96,67.61,0.64,33.33
45,,Mohamed Ismail,0,0,22.67,73.53,3,50
46,,Ibrahim El Kadi,0,0,34.74,72.59,2.57,36.87
47,,Ragab Nabil,0,0,47.42,80.07,4.23,47.71
48,,Mohamed Shokry,0.21,0.21,40.59,73.49,8.59,44.96
49,,Mahmoud Alaa,0,0,49.38,81.1,3.9,45.02
50,,Omar Fayed,0,0,33.2,66.02,4.08,34.8
51,,Mohamed Fawzi,0,0,17.85,54.74,1,40.8
52,,Nasser Maher,0.14,0.14,35.41,83.44,11,60.34
53,,Ahmed Kalosha,0.13,0.1,41.63,72.22,4.4,44.69
54,,Mohamed Reda,0.08,0.04,20.71,64.19,2.71,37.74
55,,Ahmed El-Shenawy,0,0,22.72,73.04,0.41,41.54
56,,Mahmoud Ooka,0.5,0.5,1,100,0.5,0
57,,Adnan Osman,0,0,11,36.36,1,0
58,,Ramzi Khaled,0,0,13.5,62.96,1.5,50
59,,Mostafa Shobeir,0,0,16,72.92,0,38.1
60,,Ahmed Eid,0,0,15,71.67,1.75,52.94
61,,Karim Halawa,0,0,3.71,65.38,1,66.67
62,,Omar Fathi,0.25,0.07,18.29,72.46,5.04,45.9
63,,Ramadan Sobhi,0.39,0.39,38.67,81.9,13.67,68
64,,Mohamed Bassam,0,0,20,61.13,1.32,40.81
65,,Serge Aka,0,0,45.79,84.09,8,62.92
66,,Mohamed Dabash,0,0,51.33,84.42,2.75,58.12
67,,Hussein Sayed,0.13,0.04,25.83,75.42,5.09,39.77
68,,Reda Sayed,0.03,0.03,29.69,48.78,2.41,37.68
69,,Mahmoud Hamdy,0,0,12.5,76,0,50.94
70,,Ahmed Amin Oufa,0.15,0.07,22.15,51.34,4.33,36.73
71,,Mahdi Soliman,0,0,26.38,73.73,0.55,47.89
72,,Abdel Rahman Shika,0.07,0.07,44.93,82.49,7.2,69.64
73,,Moaz El Henawy,0,0,50.63,80.68,4.75,49.2
74,,Islam Issa,0.04,0.04,25.11,81.93,6.18,62.3
75,,Mohamed Abdelghani,0.08,0.04,36.88,86.98,2.52,59.76
76,,Yasser Ibrahim,0,0,48.52,87.83,1.57,43.01
77,,Mohamed Adel,0.14,0,38.52,85.05,6.79,54.05
78,,Ibrahim Blati Toure,0.07,0,59.66,86.88,10.31,72.88
79,,Mohamed El Sabahi,0,0,19.5,77.78,6.67,83.33
80,,Omar El Wahsh,0.06,0,36.82,77.48,9.06,52.81
81,,Ahmed Belhadji,0.27,0.27,33.41,74.69,9.36,46.15
82,,Rami Rabia,0,0,31.75,87.01,1.94,54.41
83,,Kamal Aboul-Fetouh,0,0,22.8,70.47,2.6,36.73
84,,Ali El Fil,0,0,48.71,87.29,2.95,60.99
85,,Mohamed Toni,0,0,35.47,85.46,7.32,54.76
86,,Farouck Kabore,0,0,30.24,66.63,2.42,39.53
87,,Mohamed Hamdy Zaki,0.07,0.04,19.11,67.48,4.82,35.29
88,,Mostafa El Aash,0.03,0,49.3,78.55,4.88,47.18
89,,Mostafa Fathy,0.19,0.13,26.06,75.25,8.55,51.95
90,,Ahmed El Amour,0,0,29.4,82.31,1.8,60
91,,Mohamed Abou Gabal,0,0,23.74,61.47,0.81,39.39
