#,Team,Name
1,,Karim Emad
2,,Abdelrahman Samir
3,,Essam Tharwat
4,,Mohamed El-Shenawy
5,,Ali Lotfi
6,,Mohamed Awad
7,,Mahmoud El Sayed
8,,Mohamed Magdi Abdel Fattah
9,,Mahmoud Abou El-Saoud
10,,Mahmoud Genesh
11,,Mohamed Fawzi
12,,Ahmed El-Shenawy
13,,Mostafa Shobeir
14,,Mohamed Bassam
15,,Reda Sayed
16,,Mahmoud Hamdy
17,,Mahdi Soliman
18,,Mohamed Abou Gabal
19,,Mohamed Sobhi
20,,Mohamed Fawzi
21,,Ahmed Adel
22,,Ahmed Sobhi
23,,Mohamed Saeed Shika
24,,Mahmoud Gad
25,,Emad El-Sayed
26,,Mahmoud El Hadary
27,,Mohamed Shaaban
28,,El-Hani Soliman
29,,Sobhy Soliman
30,,Omar Radwan
31,,Ahmed Mayhoub
32,,Amr Hossam
33,,Ahmed Yehia
34,,Amr Shaaban
35,,Abdel Aziz El Balouti
36,,Mohamed Koko
37,,Ahmed Masoud
38,,Omar Salah
39,,Mahmoud El Gharabawy
40,,Amr Khalil
41,,Ahmed El Saadani
42,,Amer Mohamed
43,,Mahmoud El Zanfaly
44,,Khaled Walid
45,,Islam Soliman
46,,Mohamed Tarek
47,,Abdel Rahman Ayman
48,,Sabry Gad
49,,Eslam Risha
50,,Youssef Nader
