#,Team,Name
1,,Ali Maâloul
2,,Hossam Hassan
3,,Amr El-Solia
4,,Ahmed Abdel Aziz
5,,Essam Tharwat
6,,Ahmed El Sheikh
7,,Ali Gabr
8,,Mohamed El-Shenawy
9,,Ali Lotfi
10,,Mohamed Awad
11,,Basem Ali
12,,Hussein El Shahat
13,,Mahmoud El Sayed
14,,Joseph Jonathan Ngwem
15,,Mabululu
16,,Abdallah El-Said
17,,Mahmoud Abou El-Saoud
18,,Mahmoud Genesh
19,,Ibrahim El Kadi
20,,Mahmoud Alaa
21,,Mohamed Reda
22,,Ahmed El-Shenawy
23,,Ramzi Khaled
24,,Ahmed Eid
25,,Omar Fathi
26,,Mohamed Bassam
27,,Mohamed Dabash
28,,Hussein Sayed
29,,Reda Sayed
30,,Mahdi Soliman
31,,Moaz El Henawy
32,,Ali El Fil
33,,Mohamed Hamdy Zaki
34,,Mohamed Abou Gabal
35,,Himid Mao Mkami
36,,Marwan Mohsen
37,,Hamza Mathlouthi
38,,Sabri Raheel
39,,Ahmed Shedid Kenawi
40,,Ahmed Samy
41,,Ahmed Adel
42,,Rami Sabri
43,,Seif Teka
44,,Ahmed Fathi
45,,Ali Fawzi
46,,Khaled El Ghandour
47,,Mahmoud Kaoud
48,,Amr Moussa
49,,Saad Samir
50,,Saidou Simpore
51,,Luis Hinestroza
52,,Hossam Arafat
53,,Karim Tarek
54,,Mohamed Morsi
55,,Ahmed Tawfik
56,,Emad El-Sayed
57,,Ali Baheeg
58,,Khaled Sami
59,,Mahmoud Abdul Aati Dunga
60,,Mido Gaber
61,,Ahmed Abdelaziz Mody
62,,Emeka Eze
63,,Mohamed Grendo
64,,Khaled Reda
65,,El-Hani Soliman
66,,Karim El Deeb
67,,Mohamed Nassef
68,,Amro Tarek
69,,Mahmoud Abdel-Aziz
70,,Amr Gamal
71,,Islam Mohareb
72,,Fakhreddine Ben Youssef
73,,Ibrahim Hassan
74,,Louay Wael
75,,Mohamed Ibrahim
76,,Malick Evouna
77,,Hesham Mohamed
78,,Shikabala
79,,Mahmoud Sayed
80,,Hassan Magdy
81,,Mahmoud Talaat
82,,Amir Abed
83,,Amr Hossam
84,,Dodo El Gabas
85,,Tarek Taha
86,,Farid Shawky
87,,Omar Gaber
88,,Ahmed Yasser
89,,Rafik Kabou
90,,Islam Salah
91,,Khaled Stouhi
92,,Khaled Kamar
93,,Amr Marey
94,,Ahmed Yehia
95,,Yehia Hamed
96,,Ibrahim Galal
97,,Mohamed Abdel Shafi
98,,Mohamed Ramadan
99,,Mohamed Atwa
100,,Mohamed Naguib
101,,Salah Rico
102,,Mohamed Koko
103,,Ahmed Fathi Hamza
104,,Islam Abdelnaim
105,,Mohamed Farouk
106,,Mohamed Gaber
107,,Omar El Said
108,,Ahmed Masoud
109,,Mohamed Bassiouny
110,,Ahmed El Sheikh
111,,Basem Morsi
112,,Essam Sobhy
113,,Mostafa Gamal
114,,Ali Fathi
115,,Assem Salah
116,,Mahmoud El Gharabawy
117,,Mahmoud Shedid Kenawi
118,,Shemeles Bekele
119,,Paulin Voavy
120,,Ahmed El Saadani
121,,Karim Mostafa
122,,Mohamed Nadi
123,,Ahmed Dawooda
124,,Ahmed Hamoudi
125,,Islam Gamal
126,,Hadji Barry
127,,Amir Medhat
128,,Ahmed Ali Kamel
129,,Hany Adel
130,,Abdul Aziz Mousa
131,,Mohamed Shawky Gharib
132,,Amer Mohamed
133,,Mohammad Fouad
134,,Mahmoud Ezzat
135,,Hamdi Nagguez
136,,Elsayed Salem
137,,Mahmoud El Zanfaly
138,,Hesham Fathallah
139,,Abdelrahman Hassan
