#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Hakon Gangstad,0,0,66.67,1,0,0
2,,Francisco Conceição,0.71,0,46.3,3.71,0,0
3,,Amine Lachkar,0,0,100,1,0,0
4,,Bart van Hintum,0.03,0,50,0.54,0,0.26
5,,Ismael Saibari,0.2,0.6,62.5,3.4,0,0
6,,Mees Bakker,0,0,0,0,0,0
7,,Loek Hamers,0,0,100,0,0,0
8,,Benjamin Bouchouari,0,0,50,2,0,0
9,,Lennart Thy,0.64,0.28,26.32,3.22,0.19,0
10,,Thomas Van den Belt,0.46,0.11,47.83,2.49,0.11,0.57
11,,Emil Hansson,0.44,0.03,39.05,2.19,0,0
12,,Mike Hauptmeijer,0,0,0,0,0,0
13,,Charles-Andreas Brym,0.38,0.1,58.54,2.1,0.14,0
14,,Yusuf Barasi,0.58,0.16,44.23,3.37,0,0
15,,Jort van der Sande,0.39,0.03,63.79,1.3,0.12,0
16,,Lars Van Meurs,0,0,0,0,0,0
17,,Alexander Büttner,0.11,0,20.59,1.14,0,0
18,,Odysseus Velanas,0.47,0.07,47.22,1.8,0.07,0.26
19,,Nikolai Laursen,0.55,0.24,39.34,2.52,0.14,0
20,,Dylan Vente,0.55,0.26,34.78,3.53,0.08,0
21,,Kik Pierie,0.07,0.07,42.86,1.07,0,0
22,,Peer Koopmeiners,0,0,50,0.71,0,0
23,,Marko Vejinović,0.1,0,64.29,0.87,0,0.72
24,,Jari Schuurman,0,0.06,50,0.79,0,0
25,,Haris Medunjanin,0.25,0.04,66.67,1.08,0,0
26,,Ruben Kluivert,0,0,83.33,0.46,0,0
27,,Robert Klaasen,0.06,0,75,0.42,0,0
28,,Jenson Seelt,0.12,0,83.33,0.7,0.06,0
29,,Marco Rente,0.1,0,54.84,0.74,0.1,0
30,,Raphaël Sarfo,0,0,0,0,0,0
31,,Jeffrey Fortes,0.11,0.05,83.33,0.79,0.05,0
32,,Romain Matthys,0,0,100,0,0,0
33,,Flor Van Den Eynden,0,0,60,0.31,0,0
34,,Sem Westerveld,0,0,0,0,0,0
35,,Danny Verbeek,0.11,0,50,0.93,0.04,0
36,,Davy van den Berg,0.09,0.09,51.22,2.03,0,0
37,,Niels van Berkel,0.17,0,100,0.17,0,0
38,,Sávio,0.22,0,48.48,2,0,0
39,,Camiel Neghli,0.34,0.09,54.32,1.94,0,0
40,,Maarten Peijnenburg,0,0,66.67,0.2,0,0
41,,Lucas Schoofs,0.26,0.11,60,1.26,0.16,0
42,,Thomas Verheydt,0.41,0.38,36,3.38,0.21,0
43,,Anthony Limbombe,0.19,0.03,49.12,1.71,0.03,0
44,,Liam Bossin,0,0.03,50,0.03,0,0
45,,Justin Mathieu,0.47,0.12,66.67,1.65,0,0
