#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Hakon Gangstad,3,0,0,3,0,2
2,,Francisco Conceição,1.29,0.29,0,0,0,0.57
3,,Amine Lachkar,2,1,0,1,0,1
4,,Bart van Hintum,1.57,1.46,0,2.23,0,1
5,,Ismael Saibari,3.2,1.4,0,0.8,0,1
6,,Mees Bakker,0,0,0,0,0,0
7,,Loek Hamers,0,0,0,1,0,0
8,,Benjamin Bouchouari,5,2,0,0,0,2
9,,Lennart Thy,0.44,0.14,0,0.25,0,0.33
10,,Thomas Van den Belt,1.66,1.23,0,1.6,0,0.86
11,,Emil Hansson,0.67,0.22,0,0.25,0,0.69
12,,Mike Hauptmeijer,0,0,0,0,0,0
13,,Charles-Andreas Brym,1.24,0.48,0,0.21,0,0.24
14,,Yusuf Barasi,0.89,0.16,0,0.63,0,0.21
15,,Jort van der Sande,0.73,0.15,0,0.45,0,0.73
16,,Lars Van Meurs,0,0,0,2,0,0
17,,Alexander Büttner,1.86,1.2,0,0.77,0,0.4
18,,Odysseus Velanas,1.23,0.4,0,0.37,0,0.87
19,,Nikolai Laursen,1.45,0.59,0,0.1,0,0.69
20,,Dylan Vente,0.5,0.21,0,0.42,0,0.24
21,,Kik Pierie,1.73,2.47,0.07,3.87,0,0.27
22,,Peer Koopmeiners,2,1.86,0,1.57,0,0.43
23,,Marko Vejinović,1.9,1.06,0,0.97,0,0.87
24,,Jari Schuurman,2.29,1.56,0,1.12,0,0.62
25,,Haris Medunjanin,1,0.21,0,0.38,0,0.54
26,,Ruben Kluivert,1.92,1.92,0,4.77,0,0.23
27,,Robert Klaasen,3.03,1.7,0.03,1.39,0,1.18
28,,Jenson Seelt,1.64,1.64,0.06,5.3,0,0.27
29,,Marco Rente,2.42,1.77,0,2.13,0,0.61
30,,Raphaël Sarfo,0,0,0,0,0,0
31,,Jeffrey Fortes,1.61,1.89,0.03,2.47,0,0.47
32,,Romain Matthys,0.11,0.11,0,1.34,0.03,0.08
33,,Flor Van Den Eynden,1.51,2.26,0.03,5.03,0,0.17
34,,Sem Westerveld,0,0,0.08,0.77,0,0
35,,Danny Verbeek,1.07,0.18,0,0.18,0,0.68
36,,Davy van den Berg,1.26,0.82,0,0.74,0,0.68
37,,Niels van Berkel,0.17,0.33,0,0.5,0,1
38,,Sávio,1.11,0.78,0,0,0,0.11
39,,Camiel Neghli,1.63,0.66,0,0.31,0,0.63
40,,Maarten Peijnenburg,1.4,2.8,0,4.73,0,0.27
41,,Lucas Schoofs,2.79,1.13,0,1.11,0,1.05
42,,Thomas Verheydt,0.29,0.26,0,1.71,0,0.41
43,,Anthony Limbombe,0.35,0.16,0,0.13,0,0.1
44,,Liam Bossin,0.03,0.05,0,1.21,0,0.05
45,,Justin Mathieu,1.06,0.53,0,0.35,0,0.59
46,,Hamdi Akujobi,2.53,1.97,0,1.91,0.03,0.56
47,,Koen Kostons,0.64,0.22,0,0.94,0,0.44
48,,Jarne Steuckers,0.64,0.25,0,0.19,0.03,0.44
49,,Ruggero Mannes,0,1,0,1,0,0
50,,Hobie Verhulst,0,0,0,0.33,0,0
51,,Wessel Dammers,1.59,1.62,0,2.65,0,0.41
52,,Rick Ketting,1.13,1.84,0,4.63,0,0.29
53,,Sven Braken,0.56,0.34,0.03,0.72,0,0.31
54,,Mexx Meerdink,0.53,0.11,0,0.47,0,0.42
55,,Sava Arangel Čestić,2.38,2.75,0,2.63,0,0.75
56,,Lorenzo Lucca,0.5,0,0,0.57,0,0.14
57,,Christos Giousis,0.91,0.34,0,0.31,0,0.63
58,,Jason van Duiven,0.38,0.15,0,0.5,0,0.35
59,,Justin Hoogma,1.26,1.21,0,2.55,0,0.34
60,,Rio Hillen,2.75,0.92,0,2.97,0,0.58
61,,Kees de Boer,1.09,1,0,0.77,0,0.54
62,,Lance Duijvestijn,1.5,0.38,0,0.41,0,1.13
63,,Titouan Thomas,1.92,1.29,0,0.96,0,0.63
64,,Maxim Dekker,1.2,1.3,0,2.6,0,0.3
65,,Matthias Verreth,0.94,1.5,0.03,2.35,0.03,0.53
66,,Nordin Bakker,0.03,0,0.03,1.64,0.03,0.03
67,,Stijn Keller,0.5,0,0,1,0,0
68,,Iman Griffith,2,0.73,0,0.24,0.03,0.94
69,,Martijn Kaars,0.92,0.35,0,0.24,0.03,0.51
70,,Sven Van Doorm,1.65,1.1,0,0.9,0,0.81
71,,Ozgur Aktas,1.62,2.12,0,4.24,0,0.44
72,,Apostolos Vellios,0.23,0.03,0,0.29,0,0.06
73,,Thomas Beelen,1.33,1.93,0,2.1,0,0.53
74,,Elías Már Ómarsson,0.94,0.31,0,0.38,0,0.31
75,,Sven Blummel,1.16,1.03,0,0.27,0,0.73
76,,Jesse Bosch,2.39,1.45,0,1,0,1.03
77,,Victor van den Bogert,1.19,1.92,0,5.35,0,0.19
78,,Anouar El Azzouzi,2.31,1.61,0.03,3.06,0.03,0.75
79,,Christian Kjelder Rasmussen,0.79,0.17,0,0.62,0,0.41
80,,Johan Bakayoko,1.67,0.5,0,0,0,0.5
81,,Finn van Breemen,1.56,1.11,0.06,4,0,0.33
82,,Álvaro Peña,2.55,1.45,0,0.9,0,1.29
83,,Youri Regeer,2,1.04,0,1,0,0.65
84,,Collin Seedorf,2.29,1.32,0,2.62,0,0.85
85,,Jeredy Hilterman,0.58,0.17,0,0.78,0,0.19
86,,Derensili Sanches Fernandes,0.87,0.53,0.03,0.23,0,0.3
87,,Jizz Hornkamp,0.53,0.09,0,0.22,0,0.31
88,,Younes Taha,1.21,0.21,0,0.09,0,0.52
89,,Ruben van Bommel,0.94,0.42,0,0.52,0,0.55
90,,Wouter Goes,1.45,1.32,0.05,3.05,0.05,0.27
91,,Nigel Owusu,0.5,0,0,0.5,0,0
92,,Pim Lukassen,0.67,0.33,0,0,0,0.33
93,,Jaden Pinas,2,1,0,3,0,0
94,,Brian Koglin,0.97,1.35,0,3.62,0,0.35
95,,Robin Schouten,1.85,1.48,0.04,1.11,0,0.48
96,,Robin Van der Meer,0.87,1.48,0,4.48,0,0.26
97,,Olivier Aertssen,1.44,1.14,0,3.78,0,0.47
98,,Malik Sellouki,2.09,0.73,0,0.18,0,0.64
99,,Kian Fitz-Jim,2.13,0.67,0,0.6,0,1.1
100,,Mathijs Tielemans,2.11,1.32,0,1.19,0,0.92
101,,Elton Kabangu,0.68,0.29,0,0.11,0,0.86
102,,Boyd Lucassen,3.32,1.32,0,1.16,0,1.92
103,,Anass Ahannach,2.41,1.14,0,0.86,0,1.05
104,,Anass Najah,2.57,1.89,0,1.16,0,0.95
105,,Lewis Schouten,1.6,0.8,0,1.37,0.03,0.93
106,,Matteo Waem,1.62,1.91,0,3.82,0.03,0.35
107,,Xian Emmers,2,0,0,0,0,0.5
108,,Kristian Hlynsson,1.11,0.35,0,0.73,0,0.51
109,,Thomas Bruns,1.65,0.86,0,0.59,0,0.95
110,,Ryan Thomas,1.5,1.44,0,0.39,0,0.61
111,,Denzel Hall,2,2.25,0,2.38,0,0.22
112,,Samuel Armenteros,0.32,0.12,0,0.12,0,0.03
113,,Ruben Roosken,2.54,1.73,0.03,1.22,0,1
114,,Richard Ledezma,0.67,0.83,0,1.17,0,0.17
115,,Emmanuel van de Blaak,2.33,1.17,0,2.75,0,0.5
116,,Fabian De Keijzer,0,0,0,1.36,0,0
117,,Mawouna Amevor,1.19,1.53,0.03,5.14,0.03,0.39
118,,Zico Buurmeester,1.59,1.44,0,1.11,0,0.59
119,,Donny Warmerdam,1.61,1.19,0.03,3.19,0,0.56
120,,Simon Janssen,2.42,1.47,0,1.42,0,0.81
121,,Matthew Garbett,2.21,0.71,0,0.71,0,1.21
122,,Tom Overtoom,1.94,0.65,0,0.35,0,0.84
123,,Brian De Keersmaecker,2.71,1.54,0.04,1.57,0.04,1
124,,Cuco Martina,1.13,1.2,0,4.13,0,0.4
125,,Stije Resink,2.58,0.92,0,1.11,0,1.06
126,,Dhoraso Moreo Klas,1.63,0.89,0,1.05,0,0.26
127,,Jasper Dahlhaus,1.74,1.62,0,1.32,0,0.41
128,,Ki-Jana Hoever,2,2.5,0,2.5,0,2
129,,Bryan Van Hove,3.74,1.81,0.07,1.15,0,0.78
130,,Jearl Margaritha,0.89,0.39,0,0.11,0,0.57
131,,Dean Huiberts,1.38,0.34,0,0.34,0,0.69
132,,Wouter Van der Steen,0,0.03,0,0.44,0,0.11
133,,Silvano Vos,1.39,0.77,0,1.03,0,0.55
134,,Ricardo Kishna,0.67,0.38,0,0.19,0,0.48
135,,Toine Van Huizen,1.11,1.44,0,4.26,0.04,0.33
136,,Soulaïman Allouch,1.25,0.44,0,0.42,0,0.64
137,,Ringo Meerveld,1.09,0.32,0,0.14,0,0.45
138,,Rein Van Helden,1.45,2.3,0.03,3.58,0,0.52
139,,Erik Schouten,1.24,1.58,0,2.91,0,0.48
140,,Sven Sonnenberg,0.88,1.09,0,2.09,0,0.33
141,,Nils Röseler,0.87,1.27,0.1,3.17,0.03,0.37
142,,Leeroy Owusu,1.29,0.45,0,1.21,0,0.26
143,,Thijmen Nijhuis,0,0,0.17,0.33,0,0.33
144,,Theo Barbet,0.74,1.41,0.03,3.41,0,0.29
145,,Michael Brouwer,0.03,0,0,0.68,0.03,0
146,,Rome Jayden Owusu-Oduro,0,0,0,0.93,0,0
147,,Tyrese Asante,1.32,1.5,0.09,2.62,0,0.24
148,,Jarchinio Antonia,0.14,0.14,0,0,0,0
149,,Elmo Lieftink,0.97,1.13,0,1.32,0,0.61
150,,Jordy Tutuarima,0.74,0.63,0,0.32,0,0.21
151,,Damian van Bruggen,0.97,1.54,0,3.19,0.03,0.24
152,,Giovanni,0.2,0.2,0,0,0,0
153,,Kevin Gadellaa,0.09,0,0,0.55,0,0.09
154,,Thijs Jansen,0,0.06,0,1.09,0.03,0.12
155,,Bram van Polen,1.06,1.42,0.03,1.39,0,0.36
156,,Luuk Koopmans,0,0,0,0.17,0,0.17
157,,Boy Kemper,1.32,1.96,0,1.72,0.08,0.44
158,,Jochem Ritmeester van de Kamp,2.38,0.69,0,0.85,0,0.92
159,,Eliano Reijnders,1.54,0.77,0,0.49,0,0.49
160,,Gregor Breinburg,3.04,1,0,0.83,0,0.74
161,,Thomas Oude Kotte,1.33,1.91,0,2.97,0.06,0.48
162,,Max de Waal,1.06,0.11,0,0.11,0,0.11
163,,Rocco Robert Shein,1.86,1.14,0,1.14,0,0.86
164,,Joey Konings,0.71,0.18,0,0.26,0,0.26
165,,Isaac Babadi,0.73,0.37,0,0.33,0,0.57
166,,Giovanni Korte,0.66,0.21,0,0.17,0,0.38
167,,Daniel Crowley,1.06,0.41,0.06,0.29,0,0.65
168,,Myron Van Brederode,1.17,0.33,0,0,0,1.5
169,,Jarrad Branthwaite,0,1,0,5,0,1
170,,Oualid Agougil,0,0,0,3,0,0
171,,Jeremy Antonisse,0.83,0.28,0,0.28,0,0.61
172,,Aliou Balde,1,0.4,0,0.2,0,0.6
173,,Rick Meissen,1.63,1.63,0,3.58,0,0.26
174,,Jonathan Mulder,1.69,0.86,0,1.21,0,0.79
175,,Sem Dekkers,2.22,1.06,0,1.17,0,0.67
176,,Thijme Verheijen,1.41,0.47,0,0.59,0,0.65
177,,Tom de Graaff,0,0.04,0,0.64,0,0
178,,Kay Tejan,0.85,0.08,0,0,0,0.77
179,,Mohamed Nassoh,1.17,0.37,0.03,0.51,0,0.6
180,,Tomislav Mrkonjić,0.4,0.1,0,0.3,0,0.1
181,,Stef de Wijs,3.6,1.8,0,0.8,0,0.8
182,,Nick Doodeman,0.93,0.36,0,0.07,0,0.5
183,,Hugo Wentges,0.22,0,0.06,0.89,0,0.06
184,,Rigino Cicilia,0.5,0,0,0.25,0,0.15
185,,Lucas Woudenberg,1.94,1.06,0.03,1.19,0,0.56
186,,Dyon Dorenbosch,1.8,1.6,0,1.36,0,0.52
187,,Simon Colyn,1.22,0.39,0,0.67,0,0.61
188,,Alex Plat,2.19,1.29,0,1.29,0,1.1
189,,Pol Llonch,3.56,1.3,0,0.67,0,1.33
190,,Glynor Plet,0.36,0.08,0,0.39,0,0.28
191,,Ennio Van Der Gouw,0.03,0,0,0.47,0,0
192,,Luis Görlich,1.58,0.63,0,0.42,0,0.58
193,,Joey Jacobs,1.41,0.94,0,2.94,0,0.06
194,,Koen Jansen,1.8,1.4,0,1,0,0.6
195,,Ismail Azzaoui,1.35,0.3,0,0,0,0.6
196,,Thibaut Lesquoy,1.67,0.44,0,0.33,0,0.11
197,,Naoufal Bannis,0.52,0.21,0,0.03,0,0.33
198,,Rick Dekker,2.57,1.43,0,1.74,0,1
199,,Tom Beugelsdijk,1.38,2.38,0,3.92,0,0.77
200,,Nick Venema,0.42,0.06,0,0.19,0,0.67
201,,Sontje Hansen,0.52,0.22,0,0.22,0,0.3
202,,Arno Van Keilegom,2.15,0.53,0,0.32,0,1.18
203,,Jarno Janssen,1.62,1.33,0,2.9,0,0.29
204,,Tidjany Touré,0.87,0.27,0,0.13,0,0.67
205,,Kornelius Hansen,0.67,0.22,0,0.11,0,0.11
206,,Anas Ouahim,1.45,0.34,0,0.24,0,1.14
207,,Roshon van Eijma,1.09,1.45,0.03,4.36,0,0.18
208,,Jasper Schendelaar,0.03,0,0,0.7,0.05,0.03
209,,Tristan Dekker,1.35,1,0,1.04,0,0.13
