#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Hakon Gangstad,0,0,0,50,0,2
2,,Francisco Conceição,0.14,0,0,50.59,1.29,0.29
3,,Amine Lachkar,0,0,55.56,61.54,0,0
4,,Bart van Hintum,0.17,0,55.88,52.07,0.43,0.86
5,,Ismael Saibari,0.2,0,37.5,59.74,2.4,0.8
6,,Mees Bakker,0,0,0,100,1,0
7,,Loek Hamers,0,0,100,100,0,0
8,,Benjamin Bouchouari,0,0,0,58.33,1,0
9,,Lennart Thy,0.03,0,45.5,45.26,1.14,0.42
10,,Thomas Van den Belt,0.2,0,52,52.22,0.94,0.54
11,,Emil Hansson,0.06,0,25,33.79,0.17,0.44
12,,Mike Hauptmeijer,0,0,100,100,0,0
13,,Charles-Andreas Brym,0.24,0.07,33.33,51.12,2.79,1.66
14,,Yusuf Barasi,0.11,0,40,49.68,1.42,0.42
15,,Jort van der Sande,0.12,0,51.74,48.35,2.06,1.12
16,,Lars Van Meurs,0,0,0,0,0,0
17,,Alexander Büttner,0.26,0,37.93,54.51,1.6,0.94
18,,Odysseus Velanas,0.17,0,56.52,48.17,0.83,0.93
19,,Nikolai Laursen,0.1,0,43.48,48.63,1.59,0.72
20,,Dylan Vente,0.05,0,39.24,41.64,0.61,0.58
21,,Kik Pierie,0.33,0,58.06,59.26,1,1.27
22,,Peer Koopmeiners,0,0,55.56,52.54,0.71,1.14
23,,Marko Vejinović,0.1,0,62.5,54.97,0.52,1.23
24,,Jari Schuurman,0.12,0.06,48.48,62.27,1.06,0.74
25,,Haris Medunjanin,0.08,0,57.89,48.54,0.21,0.5
26,,Ruben Kluivert,0.08,0,60,64.47,0.31,0.85
27,,Robert Klaasen,0.09,0,61.54,61.51,1.09,1.15
28,,Jenson Seelt,0.27,0,68.7,64.61,0.42,1.03
29,,Marco Rente,0.23,0,63.51,62.55,0.74,0.87
30,,Raphaël Sarfo,0,0,0,0,0,0
31,,Jeffrey Fortes,0.08,0,56.99,63.52,0.63,0.53
32,,Romain Matthys,0.03,0,80.95,78.05,0.24,0
33,,Flor Van Den Eynden,0.17,0,57.8,60.75,0.31,0.83
34,,Sem Westerveld,0.08,0,50,60,0.15,0.08
35,,Danny Verbeek,0.25,0,25,43.38,1.07,0.86
36,,Davy van den Berg,0.15,0,61.9,50,0.76,0.76
37,,Niels van Berkel,0.17,0,100,41.67,0.33,0.17
38,,Sávio,0.22,0,0,56.76,1.78,0
39,,Camiel Neghli,0.03,0,19.23,48.16,0.53,0.47
40,,Maarten Peijnenburg,0.27,0,69.12,66.39,0.73,1.07
41,,Lucas Schoofs,0.03,0,53.04,52.97,0.45,1.21
42,,Thomas Verheydt,0.24,0.03,59.71,48.98,1,1.29
43,,Anthony Limbombe,0.03,0,48,52.73,1.16,0.26
44,,Liam Bossin,0.11,0,100,87.5,0.18,0
45,,Justin Mathieu,0.24,0,28.57,49.41,0.94,0.65
46,,Hamdi Akujobi,0.12,0,43.14,57.72,1.21,1.53
47,,Koen Kostons,0.25,0,42.17,36.53,0.83,1.56
48,,Jarne Steuckers,0.03,0,25.64,39.29,0.67,0.42
49,,Ruggero Mannes,0,0,0,60,2,1
50,,Hobie Verhulst,0,0,0,0,0,0
51,,Wessel Dammers,0.12,0.03,63.58,63.97,0.56,0.53
52,,Rick Ketting,0.08,0,66.67,62.73,0.55,0.82
53,,Sven Braken,0.06,0,58.04,52.02,1.38,0.84
54,,Mexx Meerdink,0.05,0.05,47.06,47.65,0.89,0.95
55,,Sava Arangel Čestić,0.25,0,58.97,60.76,0.63,0.88
56,,Lorenzo Lucca,0.21,0,58.62,44.33,0.93,1.64
57,,Christos Giousis,0.03,0.03,38.89,44.38,1.59,1
58,,Jason van Duiven,0.12,0,53.3,50.17,0.91,0.68
59,,Justin Hoogma,0.11,0,62.7,62.6,0.53,0.66
60,,Rio Hillen,0.19,0,56.07,62.76,0.92,0.78
61,,Kees de Boer,0.17,0,42.55,45.45,0.54,0.89
62,,Lance Duijvestijn,0.13,0,30.61,44.11,1.38,0.97
63,,Titouan Thomas,0.13,0,69.39,65.9,2.08,0.75
64,,Maxim Dekker,0.1,0,50,62.79,0.4,0.1
65,,Matthias Verreth,0.12,0,72.41,58.7,0.71,0.59
66,,Nordin Bakker,0.03,0,100,81.82,0.08,0.03
67,,Stijn Keller,0,0,0,50,0,0
68,,Iman Griffith,0,0,21.05,55.17,1.12,0.45
69,,Martijn Kaars,0.08,0,34.43,43.09,0.59,0.41
70,,Sven Van Doorm,0.06,0,40,49.51,0.81,0.55
71,,Ozgur Aktas,0.18,0,65.98,62.65,0.71,1.09
72,,Apostolos Vellios,0.03,0,49.34,42.36,0.35,0.77
73,,Thomas Beelen,0.13,0,64.44,60.12,0.83,1.13
74,,Elías Már Ómarsson,0.06,0,36.67,44.66,0.75,0.38
75,,Sven Blummel,0.08,0,30.77,42.23,0.59,1.05
76,,Jesse Bosch,0.13,0,48.05,53.07,0.81,1.06
77,,Victor van den Bogert,0.08,0,57.41,58.65,0.62,0.81
78,,Anouar El Azzouzi,0.19,0,59.69,58.31,1,1.36
79,,Christian Kjelder Rasmussen,0.07,0,50,47.33,1.17,0.69
80,,Johan Bakayoko,0,0,50,48.39,1.33,1
81,,Finn van Breemen,0.39,0,64.71,59.86,0.5,1.06
82,,Álvaro Peña,0.29,0,55.38,52.73,1.29,1.48
83,,Youri Regeer,0.19,0,50,59.28,0.69,0.5
84,,Collin Seedorf,0,0.06,61.79,56.07,0.53,1.15
85,,Jeredy Hilterman,0.11,0,50.93,49,0.94,0.97
86,,Derensili Sanches Fernandes,0.1,0,33.33,41.06,0.93,0.93
87,,Jizz Hornkamp,0.13,0,53.79,47.5,0.63,1.25
88,,Younes Taha,0.12,0,22.92,38.63,1.03,0.76
89,,Ruben van Bommel,0.19,0,35.48,43.12,0.87,1.1
90,,Wouter Goes,0.27,0.05,44.44,61.11,1.09,0.86
91,,Nigel Owusu,0,0,60,66.67,0,0
92,,Pim Lukassen,0.33,0,50,61.54,1.33,0.33
93,,Jaden Pinas,0,0,25,57.14,1,0
94,,Brian Koglin,0.03,0,59.02,56.52,0.26,0.62
95,,Robin Schouten,0.11,0,45,52.75,0.89,0.7
96,,Robin Van der Meer,0.17,0,75.34,72.65,0.39,0.39
97,,Olivier Aertssen,0.06,0,53.03,60.09,0.47,0.5
98,,Malik Sellouki,0.09,0.09,60,57.32,1.09,0.45
99,,Kian Fitz-Jim,0.13,0,26.67,49.65,1.23,0.7
100,,Mathijs Tielemans,0.08,0,40.91,49.29,0.57,0.78
101,,Elton Kabangu,0.07,0,36.36,35.27,1,1.29
