#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Hakon Gangstad,1,2,20,70,7,25
2,,Francisco Conceição,0.43,0,34.57,83.47,14.71,64.29
3,,Amine Lachkar,0,0,75,90.67,2,50
4,,Bart van Hintum,0.31,0.29,63,83.45,11.83,56.91
5,,Ismael Saibari,0.4,0.4,33,84.24,9.6,57.14
6,,Mees Bakker,0,0,39,87.18,0,54.55
7,,Loek Hamers,0,0,41,45.12,1.5,27.12
8,,Benjamin Bouchouari,0,0,64,85.94,18,62.5
9,,Lennart Thy,0.33,0.17,20.67,69.22,7.78,55.56
10,,Thomas Van den Belt,0.11,0.23,57.2,75.27,15.66,46.03
11,,Emil Hansson,0.47,0.53,25.28,77.03,8.69,58.06
12,,Mike Hauptmeijer,0,0,34.5,79.71,3,64.1
13,,Charles-Andreas Brym,0.24,0.31,26.31,77.59,7.34,63.83
14,,Yusuf Barasi,0.21,0.11,26.05,80.61,9.74,74.07
15,,Jort van der Sande,0.36,0.3,29.97,67.24,9.97,54.76
16,,Lars Van Meurs,0,0,37,40.54,3,36.36
17,,Alexander Büttner,0.4,0.26,44.6,77,9.77,48.77
18,,Odysseus Velanas,0.13,0.17,25.67,73.9,7.77,44.44
19,,Nikolai Laursen,0.21,0.28,20.66,69.62,6.03,58.62
20,,Dylan Vente,0.26,0.16,21.61,73.57,6.5,56
21,,Kik Pierie,0,0,94.4,86.58,17.4,65.5
22,,Peer Koopmeiners,0.14,0.29,49.57,84.15,12.86,54.76
23,,Marko Vejinović,0.19,0.23,36.58,80.86,8.45,59.05
24,,Jari Schuurman,0.15,0.24,50.76,85.75,7.24,68.72
25,,Haris Medunjanin,0.13,0.17,44.75,82.5,15.17,52.25
26,,Ruben Kluivert,0.08,0,50.38,82.9,2.77,55.24
27,,Robert Klaasen,0.12,0.06,37.67,80.29,5.94,53.49
28,,Jenson Seelt,0.03,0.03,60.85,85.26,4.3,58.15
29,,Marco Rente,0.13,0.13,37.81,79.78,5.23,60.95
30,,Raphaël Sarfo,1,1,6,100,2,100
31,,Jeffrey Fortes,0.05,0.16,63.53,86.74,7.55,60.73
32,,Romain Matthys,0,0,40.74,68.28,1.29,43.83
33,,Flor Van Den Eynden,0,0,53.14,86.56,3.94,64.06
34,,Sem Westerveld,0,0,30.38,66.33,1.08,31.58
35,,Danny Verbeek,0.36,0.32,39.11,77.08,13.36,61.71
36,,Davy van den Berg,0.32,0.21,41.26,82.04,12.74,50
37,,Niels van Berkel,0.5,0.33,15.17,81.32,3.5,33.33
38,,Sávio,0.33,0.22,19.22,73.99,6.22,41.67
39,,Camiel Neghli,0.09,0.13,35.53,77.13,11.69,59.09
40,,Maarten Peijnenburg,0,0,45.87,80.09,2.87,53.8
41,,Lucas Schoofs,0.13,0.13,29.16,74.1,5.82,57.53
42,,Thomas Verheydt,0.21,0.15,26,61.54,6.47,60.94
43,,Anthony Limbombe,0.16,0.19,22.61,84.31,8.55,77.78
44,,Liam Bossin,0.03,0,31.89,66.01,1.34,45.54
45,,Justin Mathieu,0.12,0.12,36,74.84,9.65,60.8
46,,Hamdi Akujobi,0.06,0.03,39.26,80.97,8.38,48.33
47,,Koen Kostons,0.44,0.53,30.56,68.45,8.81,55.1
48,,Jarne Steuckers,0.58,0.25,37.33,71.8,10.39,48.98
49,,Ruggero Mannes,1,1,10,70,1,100
50,,Hobie Verhulst,0,0,26,69.23,2,35.14
51,,Wessel Dammers,0.03,0.06,63.71,85.46,4.74,54.24
52,,Rick Ketting,0.08,0.05,53.39,83.14,3.29,52.26
53,,Sven Braken,0.16,0.16,22.81,60.96,4.97,53.57
54,,Mexx Meerdink,0.21,0,15.95,65.35,4.68,57.14
55,,Sava Arangel Čestić,0,0.13,49.38,80.51,5,46.58
56,,Lorenzo Lucca,0.21,0.21,16.14,70.35,5.5,41.67
57,,Christos Giousis,0.34,0.28,28.53,76.89,9.72,53.57
58,,Jason van Duiven,0.21,0.09,14.79,68.19,3.32,47.37
59,,Justin Hoogma,0.08,0.03,59.53,84.48,6.55,57.31
60,,Rio Hillen,0.08,0.06,65.44,84.72,5.92,49.07
61,,Kees de Boer,0.26,0.17,31.43,75.45,8.49,45.07
62,,Lance Duijvestijn,0.16,0.13,32.47,76.9,11.88,61.73
63,,Titouan Thomas,0.04,0.08,38.75,85.27,6.33,74.05
64,,Maxim Dekker,0,0,63,90.63,7.4,64.94
65,,Matthias Verreth,0.09,0.06,48.38,83.71,5.09,49.54
66,,Nordin Bakker,0,0,25.58,60.59,1.28,36.36
67,,Stijn Keller,0,0,23.5,68.09,1,34.78
68,,Iman Griffith,0.15,0.24,34.27,82.23,12,55.84
69,,Martijn Kaars,0.14,0.11,21.35,76.2,6.35,51.67
70,,Sven Van Doorm,0.1,0.19,29.55,76.75,7.1,52.52
71,,Ozgur Aktas,0.03,0,41,81.92,1.97,49.49
72,,Apostolos Vellios,0.1,0.19,12.94,56.61,3.32,33.33
73,,Thomas Beelen,0.07,0.13,61.7,83.95,5.4,54.65
74,,Elías Már Ómarsson,0,0,15.38,69.51,4.94,56.25
75,,Sven Blummel,0.24,0.16,31.97,77.77,8.49,69.17
76,,Jesse Bosch,0.03,0.1,36.03,79.23,6.9,48.74
77,,Victor van den Bogert,0,0.08,55.73,81.92,5.31,52.53
78,,Anouar El Azzouzi,0.08,0.08,54.42,86.78,3.25,59.39
79,,Christian Kjelder Rasmussen,0.17,0.07,23.28,71.85,7.55,50
80,,Johan Bakayoko,0.17,0.17,34.33,88.35,14.17,40
81,,Finn van Breemen,0.06,0,47.11,81.13,3.56,56.61
82,,Álvaro Peña,0.1,0.03,53.26,82.62,11.52,59.41
83,,Youri Regeer,0.15,0.15,55.5,87.32,11.46,71.34
84,,Collin Seedorf,0.06,0.03,44.85,76.85,5.15,54.01
85,,Jeredy Hilterman,0.08,0.08,14.19,70.25,4.53,70.83
86,,Derensili Sanches Fernandes,0.27,0.07,25.73,75.78,8.07,55.91
87,,Jizz Hornkamp,0.16,0.19,15.59,65.53,3.91,46.88
88,,Younes Taha,0.06,0.03,20.42,74.78,7.45,54.05
89,,Ruben van Bommel,0.26,0.1,19.39,69.38,4.68,55.95
90,,Wouter Goes,0.05,0.05,70.23,84.53,6.27,57.99
91,,Nigel Owusu,0,0,12,62.5,1.5,100
92,,Pim Lukassen,0,0,9,81.48,2.67,0
93,,Jaden Pinas,0,0,58,87.93,7,60
94,,Brian Koglin,0,0.03,52.59,84.23,3.03,60.18
