#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Hakon Gangstad,0,0,0,0,0,0
2,,Francisco Conceição,0,0,0,0,1.29,0.29
3,,Amine Lachkar,0,1,0,0,0,0
4,,Bart van Hintum,0,0.37,0,0,0.86,0.11
5,,Ismael Saibari,0,0.2,0,0,1.6,0.6
6,,Mees Bakker,2,1,0,0,0,0
7,,Loek Hamers,7,0,0.5,0,1.5,1
8,,Benjamin Bouchouari,0,1,0,0,0,0
9,,Lennart Thy,0,0.14,0,0,0.89,0.06
10,,Thomas Van den Belt,0,0.4,0,0,0.97,0.11
11,,Emil Hansson,0,0.28,0,0,0.81,0.11
12,,Mike Hauptmeijer,6,0,0,0,1.5,0.5
13,,Charles-Andreas Brym,0,0.03,0,0,1.07,0.24
14,,Yusuf Barasi,0,0.11,0,0,0.84,0.11
15,,Jort van der Sande,0,0.03,0,0,1.21,0.18
16,,Lars Van Meurs,6,0,0,0,2,0
17,,Alexander Büttner,0,0.11,0,0,1.2,0.03
18,,Odysseus Velanas,0,0.07,0,0,1.23,0.17
19,,Nikolai Laursen,0,0.1,0,0,0.83,0.1
20,,Dylan Vente,0,0.16,0,0,1.37,0.18
21,,Kik Pierie,0,0.07,0,0,1.33,0.47
22,,Peer Koopmeiners,0,0.14,0,0,0.57,0
23,,Marko Vejinović,0,0.06,0,0,0.81,0.16
24,,Jari Schuurman,0,0.15,0,0,1.68,0.18
25,,Haris Medunjanin,0,0.08,0,0,0.88,0.08
26,,Ruben Kluivert,0,0.15,0,0,0.69,0.08
27,,Robert Klaasen,0,0.15,0,0,1,0.15
28,,Jenson Seelt,0,0.09,0,0,1.36,0.18
29,,Marco Rente,0,0.19,0,0,0.77,0.13
30,,Raphaël Sarfo,0,0,0,0,0,0
31,,Jeffrey Fortes,0,0.32,0,0,1.34,0.08
32,,Romain Matthys,4.37,0.16,0.05,0.03,1.53,0.18
33,,Flor Van Den Eynden,0,0.2,0,0,1.29,0.2
34,,Sem Westerveld,4.08,0.23,0.15,0.15,1.08,0.23
35,,Danny Verbeek,0,0.07,0,0,1.71,0.5
36,,Davy van den Berg,0,0.21,0,0,0.65,0.09
37,,Niels van Berkel,0,0.17,0,0,0.33,0
38,,Sávio,0,0,0,0,0.78,0
39,,Camiel Neghli,0,0.16,0,0,1.34,0.09
40,,Maarten Peijnenburg,0,0.27,0,0,1,0.33
41,,Lucas Schoofs,0,0.29,0,0,0.84,0.11
42,,Thomas Verheydt,0,0.12,0,0,1.35,0.15
43,,Anthony Limbombe,0,0.03,0,0,0.65,0.1
44,,Liam Bossin,4.21,0.24,0.16,0.03,1.61,0.18
45,,Justin Mathieu,0,0.12,0,0,1.65,0.41
46,,Hamdi Akujobi,0,0.26,0,0,0.85,0.21
47,,Koen Kostons,0,0.14,0,0,1.42,0.14
48,,Jarne Steuckers,0,0.08,0,0,1.36,0.17
49,,Ruggero Mannes,0,0,0,0,1,0
50,,Hobie Verhulst,4.33,0.33,0,0,0.67,0.67
51,,Wessel Dammers,0,0.35,0,0,0.82,0.18
52,,Rick Ketting,0,0.18,0,0,1.16,0.18
53,,Sven Braken,0,0.03,0,0,1.13,0.06
54,,Mexx Meerdink,0,0.05,0,0,1.16,0.11
55,,Sava Arangel Čestić,0,0.38,0,0,0.63,0
56,,Lorenzo Lucca,0,0,0,0,1.57,0.29
57,,Christos Giousis,0,0.16,0,0,1.06,0.06
58,,Jason van Duiven,0,0,0,0,1.35,0.06
59,,Justin Hoogma,0,0.42,0,0,0.97,0.13
60,,Rio Hillen,0,0.33,0,0,1.31,0.08
61,,Kees de Boer,0,0.06,0,0,0.89,0.11
62,,Lance Duijvestijn,0,0.22,0,0,0.84,0.13
63,,Titouan Thomas,0,0.21,0,0,1.21,0.13
64,,Maxim Dekker,0,0,0,0,0.9,0
65,,Matthias Verreth,0,0.21,0,0,0.74,0.18
