#,Team,Name
1,,Mees Bakker
2,,Loek Hamers
3,,Mike Hauptmeijer
4,,Lars Van Meurs
5,,Romain Matthys
6,,Sem Westerveld
7,,Liam Bossin
8,,Hobie Verhulst
9,,Nordin Bakker
10,,Stijn Keller
11,,Fabian De Keijzer
12,,Wouter Van der Steen
13,,Thijmen Nijhuis
14,,Michael Brouwer
15,,Rome Jayden Owusu-Oduro
16,,Kevin Gadellaa
17,,Thijs Jansen
18,,Luuk Koopmans
19,,Tom de Graaff
20,,Hugo Wentges
21,,Ennio Van Der Gouw
22,,Jasper Schendelaar
23,,Lukáš Zima
24,,Hidde Jurjus
25,,Kostas Lamprou
26,,Joël Drommel
27,,Joey Houweling
28,,Ronald Koeman Jr
29,,Moritz Nicolas
30,,Mike Havekotte
31,,Daniel Deen
32,,Kjell Peersman
33,,Roy Kortsmit
34,,Norbert Alblas
35,,Rody de Boer
36,,Charlie Setford
37,,Joshua Smits
38,,Nigel Bertrams
39,,Sten Kremers
40,,Calvin Raatsie
41,,Niek Schiks
42,,Sonny Stevens
43,,Kilian Nikiema
44,,Roy Steur
45,,Tijn Smolenaars
46,,Pepijn van de Merbel
47,,Konrad Sikking
48,,Agil Etemadi
