Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Hakon Gangstad,0,0,66.67,1,0,0,3,0,0,3,0,2,1,2,20,70,7,25,0,0,0,0,0,0,0,0,0,50,0,2,1
Francisco Conceição,0.71,0,46.3,3.71,0,0,1.29,0.29,0,0,0,0.57,0.43,0,34.57,83.47,14.71,64.29,0,0,0,0,1.29,0.29,0.14,0,0,50.59,1.29,0.29,7
Amine Lachkar,0,0,100,1,0,0,2,1,0,1,0,1,0,0,75,90.67,2,50,0,1,0,0,0,0,0,0,55.56,61.54,0,0,1
Bart van Hintum,0.03,0,50,0.54,0,0.26,1.57,1.46,0,2.23,0,1,0.31,0.29,63,83.45,11.83,56.91,0,0.37,0,0,0.86,0.11,0.17,0,55.88,52.07,0.43,0.86,35
Ismael Saibari,0.2,0.6,62.5,3.4,0,0,3.2,1.4,0,0.8,0,1,0.4,0.4,33,84.24,9.6,57.14,0,0.2,0,0,1.6,0.6,0.2,0,37.5,59.74,2.4,0.8,5
Mees Bakker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,87.18,0,54.55,2,1,0,0,0,0,0,0,0,100,1,0,1
Loek Hamers,0,0,100,0,0,0,0,0,0,1,0,0,0,0,41,45.12,1.5,27.12,7,0,0.5,0,1.5,1,0,0,100,100,0,0,2
Benjamin Bouchouari,0,0,50,2,0,0,5,2,0,0,0,2,0,0,64,85.94,18,62.5,0,1,0,0,0,0,0,0,0,58.33,1,0,1
Lennart Thy,0.64,0.28,26.32,3.22,0.19,0,0.44,0.14,0,0.25,0,0.33,0.33,0.17,20.67,69.22,7.78,55.56,0,0.14,0,0,0.89,0.06,0.03,0,45.5,45.26,1.14,0.42,36
Thomas Van den Belt,0.46,0.11,47.83,2.49,0.11,0.57,1.66,1.23,0,1.6,0,0.86,0.11,0.23,57.2,75.27,15.66,46.03,0,0.4,0,0,0.97,0.11,0.2,0,52,52.22,0.94,0.54,35
Emil Hansson,0.44,0.03,39.05,2.19,0,0,0.67,0.22,0,0.25,0,0.69,0.47,0.53,25.28,77.03,8.69,58.06,0,0.28,0,0,0.81,0.11,0.06,0,25,33.79,0.17,0.44,36
Mike Hauptmeijer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,79.71,3,64.1,6,0,0,0,1.5,0.5,0,0,100,100,0,0,2
Charles-Andreas Brym,0.38,0.1,58.54,2.1,0.14,0,1.24,0.48,0,0.21,0,0.24,0.24,0.31,26.31,77.59,7.34,63.83,0,0.03,0,0,1.07,0.24,0.24,0.07,33.33,51.12,2.79,1.66,29
Yusuf Barasi,0.58,0.16,44.23,3.37,0,0,0.89,0.16,0,0.63,0,0.21,0.21,0.11,26.05,80.61,9.74,74.07,0,0.11,0,0,0.84,0.11,0.11,0,40,49.68,1.42,0.42,19
Jort van der Sande,0.39,0.03,63.79,1.3,0.12,0,0.73,0.15,0,0.45,0,0.73,0.36,0.3,29.97,67.24,9.97,54.76,0,0.03,0,0,1.21,0.18,0.12,0,51.74,48.35,2.06,1.12,33
Lars Van Meurs,0,0,0,0,0,0,0,0,0,2,0,0,0,0,37,40.54,3,36.36,6,0,0,0,2,0,0,0,0,0,0,0,1
Alexander Büttner,0.11,0,20.59,1.14,0,0,1.86,1.2,0,0.77,0,0.4,0.4,0.26,44.6,77,9.77,48.77,0,0.11,0,0,1.2,0.03,0.26,0,37.93,54.51,1.6,0.94,35
Odysseus Velanas,0.47,0.07,47.22,1.8,0.07,0.26,1.23,0.4,0,0.37,0,0.87,0.13,0.17,25.67,73.9,7.77,44.44,0,0.07,0,0,1.23,0.17,0.17,0,56.52,48.17,0.83,0.93,30
Nikolai Laursen,0.55,0.24,39.34,2.52,0.14,0,1.45,0.59,0,0.1,0,0.69,0.21,0.28,20.66,69.62,6.03,58.62,0,0.1,0,0,0.83,0.1,0.1,0,43.48,48.63,1.59,0.72,29
Dylan Vente,0.55,0.26,34.78,3.53,0.08,0,0.5,0.21,0,0.42,0,0.24,0.26,0.16,21.61,73.57,6.5,56,0,0.16,0,0,1.37,0.18,0.05,0,39.24,41.64,0.61,0.58,38
Kik Pierie,0.07,0.07,42.86,1.07,0,0,1.73,2.47,0.07,3.87,0,0.27,0,0,94.4,86.58,17.4,65.5,0,0.07,0,0,1.33,0.47,0.33,0,58.06,59.26,1,1.27,15
Peer Koopmeiners,0,0,50,0.71,0,0,2,1.86,0,1.57,0,0.43,0.14,0.29,49.57,84.15,12.86,54.76,0,0.14,0,0,0.57,0,0,0,55.56,52.54,0.71,1.14,7
Marko Vejinović,0.1,0,64.29,0.87,0,0.72,1.9,1.06,0,0.97,0,0.87,0.19,0.23,36.58,80.86,8.45,59.05,0,0.06,0,0,0.81,0.16,0.1,0,62.5,54.97,0.52,1.23,31
Jari Schuurman,0,0.06,50,0.79,0,0,2.29,1.56,0,1.12,0,0.62,0.15,0.24,50.76,85.75,7.24,68.72,0,0.15,0,0,1.68,0.18,0.12,0.06,48.48,62.27,1.06,0.74,34
Haris Medunjanin,0.25,0.04,66.67,1.08,0,0,1,0.21,0,0.38,0,0.54,0.13,0.17,44.75,82.5,15.17,52.25,0,0.08,0,0,0.88,0.08,0.08,0,57.89,48.54,0.21,0.5,24
Ruben Kluivert,0,0,83.33,0.46,0,0,1.92,1.92,0,4.77,0,0.23,0.08,0,50.38,82.9,2.77,55.24,0,0.15,0,0,0.69,0.08,0.08,0,60,64.47,0.31,0.85,13
Robert Klaasen,0.06,0,75,0.42,0,0,3.03,1.7,0.03,1.39,0,1.18,0.12,0.06,37.67,80.29,5.94,53.49,0,0.15,0,0,1,0.15,0.09,0,61.54,61.51,1.09,1.15,33
Jenson Seelt,0.12,0,83.33,0.7,0.06,0,1.64,1.64,0.06,5.3,0,0.27,0.03,0.03,60.85,85.26,4.3,58.15,0,0.09,0,0,1.36,0.18,0.27,0,68.7,64.61,0.42,1.03,33
Marco Rente,0.1,0,54.84,0.74,0.1,0,2.42,1.77,0,2.13,0,0.61,0.13,0.13,37.81,79.78,5.23,60.95,0,0.19,0,0,0.77,0.13,0.23,0,63.51,62.55,0.74,0.87,31
Raphaël Sarfo,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,100,2,100,0,0,0,0,0,0,0,0,0,0,0,0,1
