#,Team,Name,Appearances
1,,Bruno Lamas,2
2,,Cesinha,23
3,,Reis,36
4,,Jun Choi,2
5,,Alex Grant,31
6,,Bit-garam Yoon,36
7,,Seung-Ho Paik,27
8,,Sung-Yueng Ki,35
9,,Lars Veldwijk,22
10,,Gue-sung Cho,12
11,,Jeong Min-ki,9
12,,Jin-seob Park,32
13,,Joo-Hoon Song,13
14,,Dong-gyeong Lee,9
15,,Kyeong-min Kim,26
16,,Jin-ho Sin,17
17,,Jong-uh Kim,19
18,,Min-hyeok Im,2
19,,Jung-hoon Kim,29
20,,Hyeon-seok Du,38
21,,Nana Boateng,13
22,,Tiago Orobó,36
23,,Yuri,33
24,,Timo Letschert,27
25,,Seong-Jin Kang,7
26,,Oberdan Alionço,32
27,,Marko Tuci,18
28,,Keun-bae Kim,2
29,,Kwang-yeon Lee,20
30,,Yeong-jae Lee,16
31,,Darijan Bojanić,9
32,,Chang-min Lee,13
33,,Eom Ji-Sung,28
34,,Sung-dong Baek,25
35,,Dong-min Kim,27
36,,Osmar Barba,35
37,,Je-un Yeon,13
38,,Harrison Delbridge,25
39,,Seung-Gi Lee,2
40,,Aaron Calver,20
41,,Soon-min Lee,35
42,,Yong Woo Park,19
43,,Dae-won Kim,37
44,,Aleksandar Paločević,35
45,,Seung-hyun Jung,23
46,,Jeong-ho Hong,22
47,,Myeong-jae Lee,29
48,,Seung-Woo Lee,36
49,,Jin-hyun Lee,29
50,,Ki Je Lee,31
51,,Se-jong Ju,30
52,,Jasir Asani,33
53,,Chang Woo Rim,21
54,,Young-woo Seol,32
55,,Zeca,36
56,,Ju-sung Kim,38
57,,Min-kyu Ju,35
58,,Lee Chang-geun,38
59,,Young-Gwon Kim,31
60,,Hyeon-woo Jo,35
61,,Yu-min Jo,21
62,,Dong-hyeon Yang,1
63,,Cheol-won Choi,11
64,,Sang-Min Koo,2
65,,Park Cheong-hyo,2
66,,Jeong-un Hong,33
67,,Leandro Ribeiro,24
68,,Dong-heon Kim,24
69,,Yeong-kyu Ahn,32
70,,Wanderson,19
71,,Eun-su Im,10
72,,Jung Ho-Yeon,34
73,,Gi-Hyuk Lee,19
74,,Ikram Alibaev,25
75,,Ban-suk Oh,27
76,,Kee-hee Kim,26
77,,Tae-uk Jeong,31
78,,Han-Beom Lee,18
79,,Gun-hee Kim,9
80,,Martin Ádám,29
81,,Paul-José Mpoku,24
82,,Guk-yeong Han,36
83,,Jin-su Kim,19
84,,Chan-hee Han,26
85,,Chang-rae Ha,28
86,,Reum Yeo,4
87,,Chan-yong Park,26
88,,Boadu Maxwell Acosty,25
89,,Valeri Qazaishvili,34
90,,Hyeon-bin Park,5
91,,Jin-hyeok Kim,38
92,,Ui-Jo Hwang,18
93,,Seung-wook Park,31
94,,Min-woo Seo,34
95,,Yong Lee,26
96,,Chae-min Im,26
97,,Stefan Mugoša,9
98,,Yeong-jun Choi,9
99,,Young-jun Go,28
100,,Kim Jun-ho,24
101,,Min-ki Lee,28
102,,Yeong-bin Kim,40
103,,Tae-heui Lee,9
104,,In-kyun Kim,29
105,,Chul Hong,29
106,,Myung Joo Lee,25
107,,Ho-ik Jang,17
108,,Hernandes,33
109,,Jae-mun Ryu,14
110,,Hyun Kim,22
111,,Jun Amano,25
112,,Jo Seong-Kwon,2
113,,Luan,3
114,,Lee Seung-joon,2
115,,Tomáš Petrášek,7
116,,Dong-jun Kim,37
117,,Do-hyeok Kim,32
118,,Hyeon-beom Ahn,26
119,,Kim Bong-Soo,35
120,,Sang-Ho Na,38
121,,Min-kyu Song,30
122,,Min-hyeok Kim,31
123,,Choi Woo-jin,5
124,,Ji-sol Lee,6
125,,Jae Won Hwang,33
126,,Chung Woon,25
127,,Heui-kyun Lee,34
128,,Dave Bulthuis,18
129,,Ataru Esaka,20
130,,Jonathan Ring,11
131,,Vitor Gabriel,16
132,,Ricardo Lopes,16
133,,Han Hogang,23
134,,Kim Kang-San,25
135,,Chung-yong Lee,33
136,,Kyu-seong Lee,31
137,,Gerso Fernandes,34
138,,Kweon Hang-Jin,18
139,,Seung-beom Ko,32
140,,Won-sang Eom,28
141,,Chan Kim,2
142,,Jin-woo Jo,33
143,,Stanislav Iljutcenko,24
144,,Edgar Silva,34
145,,Uh-jae Jeong,26
146,,Willyan,33
147,,Tae-seok Lee,30
148,,Kwang-hyeok Lee,27
149,,Seong-jun Min,5
150,,Ja-ryong Koo,23
151,,Hwang Mun-ki,22
152,,Yeon-su Kim,22
153,,Yun-sang Hong,10
154,,Sung-joon Kim,6
155,,Hyeong-mo Yang,36
156,,Tae-hwan Kim,20
157,,Jong-seong Lee,21
158,,Seung-hun Oh,21
159,,In-jae Hwang,37
160,,Ung-heui Lee,11
161,,Thomás,28
162,,Dong-geon No,25
163,,Fejsal Mulić,22
164,,Geon-ung Kim,23
165,,Kim Shin-jin,27
166,,Shi-yeong Lee,15
167,,Moon-hwan Kim,11
168,,Ji-hwan Mun,27
169,,Gustavo,30
170,,Masatoshi Ishida,25
171,,Dong-Won Ji,10
172,,Seung-gyu Han,17
173,,Jeong-hwan Kim,2
174,,Sang-min Shim,21
175,,Young-sun Yun,1
176,,Wi-je Cho,1
177,,Lim Hyung-jin,1
178,,Hwang Do-yoon,1
179,,Ho-yeong Seong,2
180,,Song Jun-Seok,2
181,,Park Jin-hong,2
182,,Gang-han Lee,3
183,,Kim Seung Woo,5
184,,Jun Lee,13
185,,Jin-su Seo,34
186,,Jong-beom Baek,26
187,,Yeong-eun Choi,18
188,,Murilo,15
189,,Dong-jin Park,17
190,,Bo-seob Kim,33
191,,Jeong-hyeob Lee,20
192,,Bo-kyung Choi,13
193,,Park Cheol-woo,31
194,,Byong-jun An,29
195,,Lucas Barcellos,31
196,,Lim Jong Eun,4
