#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Bruno Lamas,1,0,88.89,7,0,0
2,,Cesinha,0.35,0.13,45.21,3.13,0.04,0
3,,Reis,0.19,0.17,46.39,2.25,0.03,0.56
4,,Jun Choi,0.5,0,33.33,0.5,0,0
5,,Alex Grant,0.13,0.1,54.55,1.03,0.13,0
6,,Bit-garam Yoon,0.22,0.03,55.88,1.67,0.03,0.31
7,,Seung-Ho Paik,0.11,0.11,67.5,1.22,0,0.93
8,,Sung-Yueng Ki,0.06,0.06,63.33,1.34,0,0
9,,Lars Veldwijk,0.41,0.18,33.33,2.41,0.14,0
10,,Gue-sung Cho,0.42,0.25,30,2.5,0.17,0
11,,Jeong Min-ki,0,0,0,0,0,0
12,,Jin-seob Park,0.03,0.03,57.14,1.03,0.03,0
13,,Joo-Hoon Song,0.08,0.08,50,0.92,0,0
14,,Dong-gyeong Lee,0.22,0,50,1.78,0,0
15,,Kyeong-min Kim,0,0,0,0,0,0
16,,Jin-ho Sin,0.06,0,57.89,0.76,0,0
17,,Jong-uh Kim,0,0.11,47.37,0.89,0,0
18,,Min-hyeok Im,0,0,100,0,0,0
19,,Jung-hoon Kim,0,0,0,0,0,0
20,,Hyeon-seok Du,0.05,0.03,56.67,0.63,0,0
21,,Nana Boateng,0.08,0,52.63,0.92,0,0
22,,Tiago Orobó,0.47,0.33,47.92,2.11,0.11,0
23,,Yuri,0.3,0.15,64.29,2.06,0.09,0
24,,Timo Letschert,0.11,0.15,71.43,0.67,0.04,0
25,,Seong-Jin Kang,0.29,0,44.44,0.71,0,0
26,,Oberdan Alionço,0.03,0.03,62.34,1.22,0,0
27,,Marko Tuci,0.06,0,0,0.33,0.06,0
28,,Keun-bae Kim,0,0,0,0,0,0
29,,Kwang-yeon Lee,0,0,0,0,0,0
30,,Yeong-jae Lee,0.13,0.13,28,1.81,0,3.13
31,,Darijan Bojanić,0,0,37.5,0.44,0,0
32,,Chang-min Lee,0,0,37.5,1.38,0,0
33,,Eom Ji-Sung,0.18,0.14,56.32,2.36,0,0
34,,Sung-dong Baek,0.16,0.04,43.75,1.4,0,0
35,,Dong-min Kim,0,0,63.16,0.3,0,0
36,,Osmar Barba,0.06,0.06,67.5,0.77,0.06,0
37,,Je-un Yeon,0.15,0.15,100,0.62,0.15,0
38,,Harrison Delbridge,0,0.04,60,0.88,0,0
39,,Seung-Gi Lee,0,0,0,2,0,0
40,,Aaron Calver,0,0.15,77.78,0.5,0,0
41,,Soon-min Lee,0.03,0.03,56.41,0.94,0.03,0
42,,Yong Woo Park,0.05,0,64.29,0.58,0.05,0
43,,Dae-won Kim,0.11,0.08,42.31,1.35,0,0
44,,Aleksandar Paločević,0.11,0.06,60,1.17,0,0.57
45,,Seung-hyun Jung,0.04,0.04,100,0.39,0,0
46,,Jeong-ho Hong,0,0,0,0.14,0,0
47,,Myeong-jae Lee,0,0.03,53.33,0.55,0,0
48,,Seung-Woo Lee,0.28,0.22,53.93,2.44,0.03,0
49,,Jin-hyun Lee,0.1,0.03,46.67,1.28,0,0
50,,Ki Je Lee,0.06,0,56.25,0.68,0,0.59
51,,Se-jong Ju,0.03,0,56.25,0.7,0.03,0
52,,Jasir Asani,0.21,0.09,49.41,2,0,0.61
53,,Chang Woo Rim,0,0.05,90.91,0.67,0,0
54,,Young-woo Seol,0.09,0,56.1,0.78,0,0
55,,Zeca,0.33,0.19,48.33,2.19,0.11,0
56,,Ju-sung Kim,0.05,0.05,25,0.55,0.03,0
57,,Min-kyu Ju,0.49,0.17,48.15,2.03,0.06,0
58,,Lee Chang-geun,0,0,0,0,0,0
59,,Young-Gwon Kim,0.03,0,62.5,0.35,0,0
60,,Hyeon-woo Jo,0,0,0,0,0,0
61,,Yu-min Jo,0.1,0,50,0.76,0.1,0
62,,Dong-hyeon Yang,0,0,0,2,0,0
63,,Cheol-won Choi,0,0,0,0,0,0
64,,Sang-Min Koo,0,0,0,0,0,0
65,,Park Cheong-hyo,0,0,0,0,0,0
66,,Jeong-un Hong,0,0.09,100,0.52,0,0
67,,Leandro Ribeiro,0.08,0.13,61.76,0.75,0,0
68,,Dong-heon Kim,0,0,0,0,0,0
69,,Yeong-kyu Ahn,0.06,0.03,83.33,0.38,0.03,0
70,,Wanderson,0.11,0,40.54,0.84,0,0
71,,Eun-su Im,0,0,33.33,0.6,0,0
72,,Jung Ho-Yeon,0.06,0.06,47.92,0.65,0,0
73,,Gi-Hyuk Lee,0,0,69.39,0.42,0,0
74,,Ikram Alibaev,0.04,0,62.5,0.8,0,0
75,,Ban-suk Oh,0.11,0,71.43,0.41,0.07,0
76,,Kee-hee Kim,0,0.04,42.86,0.42,0,0
77,,Tae-uk Jeong,0.03,0.03,71.43,0.81,0.03,0
78,,Han-Beom Lee,0,0.06,66.67,0.33,0,0
79,,Gun-hee Kim,0,0,100,0.11,0,0
80,,Martin Ádám,0.17,0.03,52.94,1.41,0.07,0
81,,Paul-José Mpoku,0.13,0.04,55.56,1.25,0,0
82,,Guk-yeong Han,0.03,0,68.75,0.47,0,0
83,,Jin-su Kim,0,0,50,1.16,0,0
84,,Chan-hee Han,0.12,0.04,65,1.08,0,0
85,,Chang-rae Ha,0.07,0,46.67,0.36,0.07,0
86,,Reum Yeo,0,0,33.33,0.25,0,0
87,,Chan-yong Park,0,0,100,0.27,0,0
88,,Boadu Maxwell Acosty,0.16,0.16,58.33,1.72,0.04,0
89,,Valeri Qazaishvili,0.32,0.15,53.27,2.44,0,0
90,,Hyeon-bin Park,0,0,33.33,0.4,0,0
91,,Jin-hyeok Kim,0.03,0.05,58.33,0.68,0,0
92,,Ui-Jo Hwang,0.22,0.28,45.83,2.33,0,0
93,,Seung-wook Park,0.03,0.03,61.11,0.39,0.03,0
94,,Min-woo Seo,0.06,0.09,42.86,0.44,0,0
95,,Yong Lee,0.04,0,41.18,0.31,0,0
96,,Chae-min Im,0.04,0,66.67,0.65,0,0
97,,Stefan Mugoša,0.33,0.33,40,2.33,0,0
98,,Yeong-jun Choi,0,0,50,0.22,0,0
99,,Young-jun Go,0.29,0.29,41.67,1.75,0,0
100,,Kim Jun-ho,0,0,80,0.42,0,0
101,,Min-ki Lee,0.04,0,60.47,0.61,0,0
102,,Yeong-bin Kim,0,0.1,100,0.53,0,0
103,,Tae-heui Lee,0,0,0,0,0,0
104,,In-kyun Kim,0.28,0.1,36.59,1.07,0,0
105,,Chul Hong,0,0,35.29,0.21,0,0
106,,Myung Joo Lee,0.08,0.04,55.56,0.48,0,0
107,,Ho-ik Jang,0,0,42.86,0.12,0,0
108,,Hernandes,0.18,0.12,62.71,2.12,0,0
109,,Jae-mun Ryu,0.07,0,83.33,0.64,0,0
110,,Hyun Kim,0.14,0.18,27.27,1.91,0.09,0
111,,Jun Amano,0.04,0,35.29,1.12,0,0
112,,Jo Seong-Kwon,0.5,0,0,1,0,0
113,,Luan,0,0,66.67,1,0,0
114,,Lee Seung-joon,0,0,62.5,0,0,0
115,,Tomáš Petrášek,0,0,0,0.43,0,0
116,,Dong-jun Kim,0,0,100,0,0,0
117,,Do-hyeok Kim,0.03,0.06,42.31,0.72,0,0
118,,Hyeon-beom Ahn,0.12,0.08,22.73,1.27,0.04,0
119,,Kim Bong-Soo,0.06,0.03,67.65,0.51,0,0
120,,Sang-Ho Na,0.32,0.13,40.18,2.08,0,0.88
121,,Min-kyu Song,0.23,0.17,51.39,1.27,0,0
122,,Min-hyeok Kim,0.06,0.1,55.17,0.94,0.03,0
123,,Choi Woo-jin,0.2,0,42.86,0.4,0,0
124,,Ji-sol Lee,0.17,0.17,100,0.67,0.17,0
125,,Jae Won Hwang,0.03,0,50,0.39,0,0
126,,Chung Woon,0.08,0.04,0,0.32,0.04,0
127,,Heui-kyun Lee,0.06,0.18,51,1.38,0,0
128,,Dave Bulthuis,0.06,0.06,57.14,0.33,0.06,0
129,,Ataru Esaka,0.15,0.1,68.75,1.25,0.05,0
130,,Jonathan Ring,0,0,35.71,1,0,0
131,,Vitor Gabriel,0.31,0.44,32.14,2.69,0,0
132,,Ricardo Lopes,0.25,0.19,52.17,2.5,0,0
133,,Han Hogang,0.13,0,66.67,0.3,0.13,0
134,,Kim Kang-San,0.04,0,60,0.4,0.04,0
135,,Chung-yong Lee,0.03,0.03,60,0.39,0,0
136,,Kyu-seong Lee,0,0,60,0.35,0,0
137,,Gerso Fernandes,0.21,0.12,48.35,1.47,0,0
138,,Kweon Hang-Jin,0.06,0.06,50,0.28,0,0
139,,Seung-beom Ko,0.06,0,44.64,0.94,0,0
140,,Won-sang Eom,0.14,0.21,46,1.57,0,0
141,,Chan Kim,0,0,100,2,0,0
142,,Jin-woo Jo,0,0.03,33.33,0.85,0,0
143,,Stanislav Iljutcenko,0.21,0.25,60,1.21,0.08,0
144,,Edgar Silva,0.26,0.26,42.25,2.26,0.24,0
145,,Uh-jae Jeong,0,0,66.67,0.12,0,0
146,,Willyan,0.24,0.09,55.79,1.36,0,0
147,,Tae-seok Lee,0,0,60,0.37,0,0
148,,Kwang-hyeok Lee,0.11,0.22,41.18,1.3,0.04,0
149,,Seong-jun Min,0,0,0,0,0,0
150,,Ja-ryong Koo,0,0,44.44,0.17,0,0
151,,Hwang Mun-ki,0,0,41.18,0.18,0,0
152,,Yeon-su Kim,0,0,42.86,0.36,0,0
153,,Yun-sang Hong,0.2,0.2,54.55,1.2,0.1,0
154,,Sung-joon Kim,0,0,80,0.17,0,0
155,,Hyeong-mo Yang,0,0,0,0,0,0
156,,Tae-hwan Kim,0.05,0,50,0.15,0,0
157,,Jong-seong Lee,0,0,77.78,0.43,0,0
158,,Seung-hun Oh,0,0,0,0,0,0
159,,In-jae Hwang,0,0,100,0,0,0
160,,Ung-heui Lee,0.09,0,80,0.36,0,0
