#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Bruno Lamas,1.5,0.5,0,0.5,0,0.5
2,,Cesinha,0.61,0.39,0,0.04,0,0.61
3,,Reis,1.83,0.69,0,0.47,0,0.83
4,,Jun Choi,1.5,2,0,3.5,0,0
5,,Alex Grant,1.65,1.61,0,4.29,0,0.39
6,,Bit-garam Yoon,1.28,0.83,0,0.86,0.03,0.64
7,,Seung-Ho Paik,1.63,0.85,0,0.96,0,0.52
8,,Sung-Yueng Ki,1.34,0.57,0,0.91,0,0.8
9,,Lars Veldwijk,0.36,0.18,0,1.27,0,0.41
10,,Gue-sung Cho,0.58,0.17,0,0.92,0,0.33
11,,Jeong Min-ki,0,0,0,0.56,0.11,0
12,,Jin-seob Park,1.59,1.63,0,2.81,0,0.53
13,,Joo-Hoon Song,1.15,2.62,0,2.54,0,0.38
14,,Dong-gyeong Lee,2.22,0.33,0,0,0,0.89
15,,Kyeong-min Kim,0,0,0.04,1.15,0,0.08
16,,Jin-ho Sin,1.35,0.71,0,0.35,0.06,1.06
17,,Jong-uh Kim,2.53,0.68,0,0.53,0,0.63
18,,Min-hyeok Im,2,1,0,0,0,0.5
19,,Jung-hoon Kim,0.1,0,0,0.93,0.07,0.1
20,,Hyeon-seok Du,1,0.68,0,0.97,0,0.55
21,,Nana Boateng,3.31,1.23,0,0.69,0,0.77
22,,Tiago Orobó,0.94,0.22,0,0.83,0,0.31
23,,Yuri,0.48,0.27,0,0.76,0,0.15
24,,Timo Letschert,1.59,0.81,0,3.04,0.04,0.37
25,,Seong-Jin Kang,0.86,0.14,0,0,0,0.43
26,,Oberdan Alionço,2.41,1.22,0.03,0.91,0,0.97
27,,Marko Tuci,1.22,1.22,0,4.78,0,0.33
28,,Keun-bae Kim,0,0,0,0,0,0
29,,Kwang-yeon Lee,0,0,0,1.45,0,0
30,,Yeong-jae Lee,1.81,1.19,0,1.19,0,1.19
31,,Darijan Bojanić,2,0.44,0,0,0,0.33
32,,Chang-min Lee,1.77,1.38,0,1.46,0,0.69
33,,Eom Ji-Sung,1.04,0.25,0,0.61,0,0.68
34,,Sung-dong Baek,0.36,0.2,0,0.4,0,0.12
35,,Dong-min Kim,1.96,1.52,0.04,4.63,0,0.59
36,,Osmar Barba,2.23,1.77,0.03,2.83,0.06,0.91
37,,Je-un Yeon,1.08,0.85,0,2.31,0,0.23
38,,Harrison Delbridge,1.68,1.64,0,3.28,0,0.2
39,,Seung-Gi Lee,0.5,0.5,0,1,0,0
40,,Aaron Calver,1.1,0.95,0,3.15,0,0.3
41,,Soon-min Lee,1.66,1.2,0,1.57,0,0.6
42,,Yong Woo Park,1.32,1.11,0,1.05,0,0.95
43,,Dae-won Kim,1.03,0.7,0,0.11,0.03,0.68
44,,Aleksandar Paločević,1.63,0.74,0,0.77,0,0.86
45,,Seung-hyun Jung,1.22,0.91,0.04,2.96,0,0.26
46,,Jeong-ho Hong,1,1.27,0,3.09,0,0.32
47,,Myeong-jae Lee,1.31,0.66,0,0.83,0,0.48
48,,Seung-Woo Lee,0.83,0.47,0.03,0.11,0,0.67
49,,Jin-hyun Lee,1.62,0.55,0,0.24,0,0.69
50,,Ki Je Lee,1.42,0.74,0,1.58,0,0.61
51,,Se-jong Ju,1.67,1.17,0.03,0.4,0,0.77
52,,Jasir Asani,1.3,0.15,0,0.33,0,1.12
53,,Chang Woo Rim,1.95,1.14,0,2,0,0.57
54,,Young-woo Seol,1.34,1,0,1.38,0.03,0.5
55,,Zeca,0.56,0.19,0,0.94,0,0.42
56,,Ju-sung Kim,0.79,1.45,0.03,3.24,0,0.18
57,,Min-kyu Ju,0.37,0.09,0,0.29,0,0.29
58,,Lee Chang-geun,0.03,0,0,1.18,0.03,0.03
59,,Young-Gwon Kim,0.84,1.32,0.06,2.77,0,0.52
60,,Hyeon-woo Jo,0.06,0.03,0,0.71,0.03,0.06
61,,Yu-min Jo,1.29,1.05,0.1,4.05,0,0.57
62,,Dong-hyeon Yang,0,0,0,0,0,1
63,,Cheol-won Choi,0,0,0,0.91,0,0
64,,Sang-Min Koo,0,0,0,0,0,0
65,,Park Cheong-hyo,0,0,0,0,0,0
66,,Jeong-un Hong,1.61,1.42,0.03,5.55,0,0.52
67,,Leandro Ribeiro,0.46,0.04,0,0,0,0.13
68,,Dong-heon Kim,0,0,0.08,1.17,0.08,0
69,,Yeong-kyu Ahn,1.19,0.78,0,3.53,0.03,0.25
70,,Wanderson,2.58,1.21,0,1.16,0,1
71,,Eun-su Im,2,1.1,0,4.3,0,0.3
72,,Jung Ho-Yeon,2,0.85,0,1.15,0,0.76
73,,Gi-Hyuk Lee,1.95,0.63,0,0.37,0,0.47
74,,Ikram Alibaev,2.84,0.56,0,0.56,0,1
75,,Ban-suk Oh,1.81,1,0.04,3.33,0,0.3
76,,Kee-hee Kim,1.42,1.31,0.04,3.23,0,0.35
77,,Tae-uk Jeong,0.84,1.39,0,3.52,0.03,0.39
78,,Han-Beom Lee,1.11,1.56,0.06,2.94,0,0.56
79,,Gun-hee Kim,0.22,0.22,0,2.56,0,0.22
80,,Martin Ádám,0.21,0.03,0,0.45,0,0.07
81,,Paul-José Mpoku,0.83,0.33,0,0.54,0,0.21
82,,Guk-yeong Han,2.33,1.17,0,0.58,0.03,1.28
83,,Jin-su Kim,1.21,1.63,0.05,1.11,0,0.58
84,,Chan-hee Han,1.08,0.65,0,0.96,0,0.38
85,,Chang-rae Ha,1.36,0.96,0,3.96,0,0.68
86,,Reum Yeo,1.75,0.75,0,0.25,0,0
87,,Chan-yong Park,1.12,1,0,2.42,0,0.31
88,,Boadu Maxwell Acosty,0.28,0.16,0,0.84,0,0.16
89,,Valeri Qazaishvili,0.91,0.24,0,0.29,0,0.56
90,,Hyeon-bin Park,3.8,1.4,0.2,0.6,0,0
91,,Jin-hyeok Kim,1.42,1.53,0,3.37,0,0.21
92,,Ui-Jo Hwang,0.44,0.17,0,0.33,0,0.44
93,,Seung-wook Park,1.87,1.29,0,1.32,0,0.77
94,,Min-woo Seo,3.15,1.59,0,1.94,0,1.15
95,,Yong Lee,2.54,1.04,0,1.38,0,0.69
96,,Chae-min Im,1.04,0.77,0,3.46,0,0.42
97,,Stefan Mugoša,0.11,0.33,0,0.33,0,0.44
98,,Yeong-jun Choi,2.11,1.56,0,1.33,0,0.78
99,,Young-jun Go,1.18,0.57,0,0.25,0,0.46
100,,Kim Jun-ho,1.54,0.75,0,0.46,0,0.58
101,,Min-ki Lee,2.07,0.96,0,1.46,0,0.57
102,,Yeong-bin Kim,0.88,0.78,0,3.93,0.03,0.18
103,,Tae-heui Lee,0,0,0,0.67,0,0
104,,In-kyun Kim,0.41,0.21,0,0.28,0.03,0.28
105,,Chul Hong,1.14,0.62,0.03,1.17,0,0.69
106,,Myung Joo Lee,1.28,0.68,0,0.56,0,1.52
107,,Ho-ik Jang,2.12,1.88,0,1.53,0,0.65
108,,Hernandes,0.85,0.21,0,0.42,0,0.48
109,,Jae-mun Ryu,1.71,1.07,0,0.86,0,0.93
110,,Hyun Kim,0.18,0.05,0,0.59,0,0.23
111,,Jun Amano,0.88,0.32,0,0.36,0,0.52
112,,Jo Seong-Kwon,1,1,0,4,0,0
113,,Luan,0.67,0,0,0,0,1
114,,Lee Seung-joon,0,0.5,0,0,0,0
115,,Tomáš Petrášek,0.43,0.14,0.14,4.29,0,0
116,,Dong-jun Kim,0.05,0.03,0.03,0.95,0.05,0.05
117,,Do-hyeok Kim,1.44,0.84,0,0.5,0,0.5
118,,Hyeon-beom Ahn,1.23,0.69,0,1.19,0,0.35
119,,Kim Bong-Soo,1.97,0.86,0,0.86,0,0.66
120,,Sang-Ho Na,1.05,0.39,0,0.29,0.03,0.37
121,,Min-kyu Song,1.1,0.4,0,0.33,0,0.77
122,,Min-hyeok Kim,1.65,0.65,0,0.45,0,0.48
123,,Choi Woo-jin,1.4,1.6,0,0.2,0,0.6
124,,Ji-sol Lee,0.5,0.83,0.17,3.5,0,0
125,,Jae Won Hwang,1.97,1.3,0,1.27,0,0.61
126,,Chung Woon,0.96,0.76,0,1.8,0,0.2
127,,Heui-kyun Lee,1.18,0.53,0,0.56,0,0.41
128,,Dave Bulthuis,0.78,1.61,0.11,2.83,0,0.22
129,,Ataru Esaka,1.2,0.6,0,0.35,0,0.75
130,,Jonathan Ring,0.55,0.18,0,0,0,0.27
131,,Vitor Gabriel,0.44,0,0,0.19,0,0.38
132,,Ricardo Lopes,0.19,0.19,0,1,0,0.5
133,,Han Hogang,1.22,1,0.04,3.17,0,0.35
134,,Kim Kang-San,1.24,1,0.04,2.2,0,0.36
135,,Chung-yong Lee,0.94,0.55,0,0.27,0,0.64
136,,Kyu-seong Lee,1.26,0.48,0,0.16,0.03,1.06
137,,Gerso Fernandes,0.76,0.12,0,0,0,0.41
138,,Kweon Hang-Jin,0.61,1,0,3.56,0,0.28
139,,Seung-beom Ko,2.47,1.09,0,1.03,0,1.13
140,,Won-sang Eom,1,0.36,0,0.18,0,0.54
141,,Chan Kim,0.5,0,0,0,0,0
142,,Jin-woo Jo,0.94,1.42,0,4.45,0.03,0.48
143,,Stanislav Iljutcenko,0.54,0.13,0,0.29,0,0.25
144,,Edgar Silva,0.47,0.29,0,1.21,0,0.32
145,,Uh-jae Jeong,1.65,1.08,0,1.5,0,0.46
146,,Willyan,1.03,0.33,0,0.18,0,0.33
147,,Tae-seok Lee,1.47,1.2,0,1.7,0.03,0.33
148,,Kwang-hyeok Lee,0.67,0.33,0,0.19,0,0.33
149,,Seong-jun Min,0,0,0,1.4,0,0
150,,Ja-ryong Koo,0.83,1.65,0,2.7,0,0.7
