#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Bruno Lamas,0,0,33.33,66.67,1,0.5
2,,Cesinha,0.17,0,16,42.25,2.52,1.13
3,,Reis,0.14,0,44.8,51.29,2,1.11
4,,Jun Choi,0,0,80,58.82,1,0.5
5,,Alex Grant,0.19,0,69.01,68.84,0.48,0.39
6,,Bit-garam Yoon,0.08,0.03,43.33,50.97,1.17,0.94
7,,Seung-Ho Paik,0.11,0,57.14,56.34,0.63,0.89
8,,Sung-Yueng Ki,0.14,0,52.63,51.75,0.91,0.89
9,,Lars Veldwijk,0.09,0,60,53.25,0.64,0.77
10,,Gue-sung Cho,0,0,56.31,48.73,0.75,1.33
11,,Jeong Min-ki,0,0,100,100,0,0
12,,Jin-seob Park,0.09,0,76.06,63.16,0.53,1.31
13,,Joo-Hoon Song,0.08,0,76,71.43,0.85,0.38
14,,Dong-gyeong Lee,0.11,0,16.67,47.37,0.11,0.67
15,,Kyeong-min Kim,0.04,0,100,88.46,0.15,0.04
16,,Jin-ho Sin,0.29,0,27.59,39.72,0.82,1.71
17,,Jong-uh Kim,0,0,47.06,58,1.16,1.16
18,,Min-hyeok Im,0,0,33.33,56.25,0.5,1
19,,Jung-hoon Kim,0.07,0,81.82,76.19,0.14,0
20,,Hyeon-seok Du,0.08,0,41.38,52.07,0.76,0.58
21,,Nana Boateng,0.08,0,34.78,53.97,0.54,0.92
22,,Tiago Orobó,0.11,0,44.93,43.76,0.64,1.28
23,,Yuri,0.09,0,58.89,54.7,0.73,1.24
24,,Timo Letschert,0.19,0.04,60.75,63.41,0.63,0.74
25,,Seong-Jin Kang,0.14,0,40,48.48,0.57,0.14
26,,Oberdan Alionço,0.13,0,46.34,58.19,1.72,0.66
27,,Marko Tuci,0.17,0,58.25,59.44,0.17,0.39
28,,Keun-bae Kim,0,0,0,0,0,0
29,,Kwang-yeon Lee,0.05,0,100,100,0.05,0
30,,Yeong-jae Lee,0.13,0,61.54,45.93,1.13,0.81
31,,Darijan Bojanić,0,0,0,57.78,0.56,0.67
32,,Chang-min Lee,0.15,0,60,52.56,0.46,0.62
33,,Eom Ji-Sung,0.04,0.04,40.74,51.76,1.82,0.71
34,,Sung-dong Baek,0.04,0,45.83,48.28,0.6,0.4
35,,Dong-min Kim,0.19,0.07,51.9,56.74,0.59,0.78
36,,Osmar Barba,0.11,0.03,58.14,57.06,0.4,0.77
37,,Je-un Yeon,0,0,67.57,70.77,0.38,0.31
38,,Harrison Delbridge,0.16,0,73.24,69.46,0.56,1.04
39,,Seung-Gi Lee,0,0,75,70,1.5,0
40,,Aaron Calver,0.15,0,59.18,58.23,0.25,0.7
41,,Soon-min Lee,0.29,0,44.68,51.33,0.91,1.2
42,,Yong Woo Park,0.16,0,59.74,54.26,1.16,1.16
43,,Dae-won Kim,0.03,0,17.65,37.56,0.46,0.65
44,,Aleksandar Paločević,0.14,0,42.86,50.84,0.8,0.57
45,,Seung-hyun Jung,0.17,0,60,61.81,0.3,0.61
46,,Jeong-ho Hong,0.09,0.09,63.64,60.14,0.55,0.82
47,,Myeong-jae Lee,0.07,0,67.86,58.06,0.59,0.41
48,,Seung-Woo Lee,0.14,0.06,22.45,45.32,1.83,1.31
49,,Jin-hyun Lee,0.1,0,40,50.48,1.14,1.14
50,,Ki Je Lee,0.16,0,42.86,53.7,0.52,0.74
51,,Se-jong Ju,0.1,0.03,35.71,51.87,1.1,0.97
52,,Jasir Asani,0.18,0,41.94,44.9,1.03,1
53,,Chang Woo Rim,0.1,0,51.55,58.38,0.67,0.71
54,,Young-woo Seol,0.19,0,48.72,59.56,1.53,0.47
55,,Zeca,0.11,0,46.3,38.24,0.67,1.67
56,,Ju-sung Kim,0.11,0,64.06,61.23,0.39,0.68
57,,Min-kyu Ju,0.14,0,34.59,39.24,1.17,0.77
58,,Lee Chang-geun,0.03,0,100,94.12,0.13,0
59,,Young-Gwon Kim,0.23,0,55.07,53.33,0.61,0.81
60,,Hyeon-woo Jo,0.03,0,100,81.82,0.09,0
61,,Yu-min Jo,0.29,0,67.21,62.76,0.43,0.67
62,,Dong-hyeon Yang,0,0,25,33.33,1,0
63,,Cheol-won Choi,0,0,100,100,0.27,0.09
64,,Sang-Min Koo,0,0,100,100,0.5,0
65,,Park Cheong-hyo,0,0,0,0,0,0
66,,Jeong-un Hong,0.06,0,57.26,62.1,0.42,0.48
67,,Leandro Ribeiro,0,0,40.48,52.89,0.63,0.21
68,,Dong-heon Kim,0.08,0,92.86,88,0.42,0.08
69,,Yeong-kyu Ahn,0.16,0,54.96,59.11,0.63,0.63
70,,Wanderson,0.16,0,65.52,55.93,0.84,0.74
71,,Eun-su Im,0.3,0,70.97,65.75,0.5,1.1
72,,Jung Ho-Yeon,0.15,0,30.19,50.6,1.85,1.56
73,,Gi-Hyuk Lee,0.16,0,50,58.76,0.79,1.11
74,,Ikram Alibaev,0.04,0,41.67,54.95,0.4,0.76
75,,Ban-suk Oh,0.04,0,62.4,66.37,0.59,0.52
76,,Kee-hee Kim,0.27,0,60,59.24,0.27,0.73
77,,Tae-uk Jeong,0.16,0,74.8,62.34,0.58,1.23
78,,Han-Beom Lee,0.28,0,69.41,58.94,0.44,1.28
79,,Gun-hee Kim,0.11,0,73.68,65.38,0,0.22
80,,Martin Ádám,0.24,0,47.69,41.74,0.48,0.97
81,,Paul-José Mpoku,0.21,0,45.45,50.8,1.04,0.46
82,,Guk-yeong Han,0.08,0,39.71,52.88,0.89,1
83,,Jin-su Kim,0.42,0,50,48.48,0.79,1.26
84,,Chan-hee Han,0.19,0,60,57.14,0.42,0.65
85,,Chang-rae Ha,0.21,0.07,57.78,54.11,0.54,1.11
86,,Reum Yeo,0,0,25,61.11,0.5,0
87,,Chan-yong Park,0.12,0,61.46,60.63,0.27,0.54
88,,Boadu Maxwell Acosty,0.04,0,57.41,48.65,1.24,0.88
89,,Valeri Qazaishvili,0.03,0,28.13,42.71,0.85,0.26
90,,Hyeon-bin Park,0.4,0,0,58.14,0.6,1.4
91,,Jin-hyeok Kim,0.08,0,50.54,55.63,0.66,0.82
92,,Ui-Jo Hwang,0.06,0,20.59,37.82,1.06,0.56
93,,Seung-wook Park,0.16,0,45.33,55.2,1.13,0.94
94,,Min-woo Seo,0.29,0,64.52,54.38,0.65,1.62
95,,Yong Lee,0.12,0,43.94,56,0.38,0.62
96,,Chae-min Im,0.23,0,57.83,56.35,0.77,1.04
97,,Stefan Mugoša,0.11,0,50,41.1,0.44,0.56
98,,Yeong-jun Choi,0.33,0,38.46,56.72,0.89,0.67
99,,Young-jun Go,0,0,21.62,47.52,1.43,0.57
100,,Kim Jun-ho,0,0,23.81,49.12,0.25,0.63
101,,Min-ki Lee,0.14,0,46.81,55.7,0.75,0.82
102,,Yeong-bin Kim,0.13,0,63.59,60.26,0.18,0.75
103,,Tae-heui Lee,0,0,100,100,0.33,0
104,,In-kyun Kim,0.07,0,44.3,41.71,0.55,0.31
105,,Chul Hong,0.07,0,42.86,46.81,0.62,0.62
106,,Myung Joo Lee,0.2,0,67.74,44.63,0.64,1.16
107,,Ho-ik Jang,0.06,0,73.68,70.83,1.06,0.41
108,,Hernandes,0.12,0,26.79,46.03,1.09,0.58
109,,Jae-mun Ryu,0,0,74.19,61,0.64,0.5
110,,Hyun Kim,0.05,0,50.88,48.93,0.91,0.36
111,,Jun Amano,0.04,0,37.14,45.24,1.16,0.96
112,,Jo Seong-Kwon,0.5,0,75,53.33,0,1.5
113,,Luan,0,0,0,46.43,1.67,0.67
114,,Lee Seung-joon,0,0,0,63.64,1,0
115,,Tomáš Petrášek,0.14,0,57.89,58.06,0,0.29
116,,Dong-jun Kim,0.05,0,100,83.33,0.14,0.03
117,,Do-hyeok Kim,0.09,0,51.22,53.46,0.84,0.44
118,,Hyeon-beom Ahn,0.08,0,45.24,48.81,1,0.5
119,,Kim Bong-Soo,0.11,0,50.75,59.64,1.09,0.71
120,,Sang-Ho Na,0.03,0,38.46,42.82,1.08,0.71
121,,Min-kyu Song,0.07,0,40.38,42.96,0.83,0.77
122,,Min-hyeok Kim,0.23,0,54.9,53.74,0.9,0.81
123,,Choi Woo-jin,0,0,0,47.22,0.8,0
124,,Ji-sol Lee,0.17,0,33.33,45.83,0.33,0.67
125,,Jae Won Hwang,0.24,0,42.11,50.68,0.67,0.88
126,,Chung Woon,0.24,0,47.69,54.26,0.6,0.72
127,,Heui-kyun Lee,0.18,0,20.69,47.84,0.74,0.65
128,,Dave Bulthuis,0,0.06,79.71,70.37,0.17,0.5
129,,Ataru Esaka,0,0,47.37,46.27,0.45,0.85
130,,Jonathan Ring,0,0,33.33,41.51,0.64,0.27
131,,Vitor Gabriel,0.25,0.06,43.33,40.58,1.88,1.63
132,,Ricardo Lopes,0.06,0.06,37.5,36.09,0.75,1.06
133,,Han Hogang,0.13,0.04,48.35,49.7,0.26,0.96
134,,Kim Kang-San,0.12,0,60.27,62.24,0.44,0.56
135,,Chung-yong Lee,0.15,0,32,51.35,0.88,0.3
136,,Kyu-seong Lee,0.13,0,50,46.67,0.65,0.74
137,,Gerso Fernandes,0.06,0,31.58,41.52,1.15,1.32
138,,Kweon Hang-Jin,0.06,0,42.37,42.11,0.11,0.67
139,,Seung-beom Ko,0.13,0,38,48.87,0.88,0.81
140,,Won-sang Eom,0.04,0,25,45.98,0.64,0.39
141,,Chan Kim,0,0,38.89,39.29,0.5,1.5
142,,Jin-woo Jo,0.18,0.03,65.48,58.33,0.21,0.97
143,,Stanislav Iljutcenko,0,0,42.11,47.69,0.63,0.38
144,,Edgar Silva,0.12,0.03,58.53,48.47,1.21,1.5
