#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Bruno Lamas,0.5,0,56.5,82.3,21.5,41.67
2,,Cesinha,0.48,0.22,32.57,79.31,11.04,68.91
3,,Reis,0.19,0.17,27.31,75.28,8.31,45.28
4,,Jun Choi,0.5,0.5,51.5,71.84,12,23.53
5,,Alex Grant,0.03,0,66.42,87.76,5.9,62.2
6,,Bit-garam Yoon,0.25,0.14,55.06,85.47,11.36,66.34
7,,Seung-Ho Paik,0.11,0.04,48.26,83.73,11.93,49.56
8,,Sung-Yueng Ki,0.26,0.11,65,91.16,13.26,73.09
9,,Lars Veldwijk,0.14,0.23,24.05,58.79,7.05,71.43
10,,Gue-sung Cho,0.17,0.08,21.58,71.43,6.58,42.86
11,,Jeong Min-ki,0,0,22.11,69.85,1.22,45.37
12,,Jin-seob Park,0.09,0.06,60.19,84.53,7.66,56.85
13,,Joo-Hoon Song,0,0,44.69,83.99,4.38,52.44
14,,Dong-gyeong Lee,0.33,0.11,24.89,85.27,6.22,66.67
15,,Kyeong-min Kim,0,0,21.31,72.92,0.62,44.44
16,,Jin-ho Sin,0.12,0.18,74.29,86.86,14.65,65.44
17,,Jong-uh Kim,0.21,0.05,44.58,88.78,9.26,77.05
18,,Min-hyeok Im,0.5,0,47.5,81.05,11.5,36.36
19,,Jung-hoon Kim,0,0,23.07,69.06,1.03,39.88
20,,Hyeon-seok Du,0.13,0.18,51.21,87.15,11.76,59.79
21,,Nana Boateng,0,0,55.85,83.33,11.31,48.78
22,,Tiago Orobó,0.11,0.19,17.42,59.17,4.44,57.14
23,,Yuri,0.12,0.12,17.12,61.95,3.91,57.14
24,,Timo Letschert,0.07,0.04,64.52,87.03,6.11,58.25
25,,Seong-Jin Kang,0.29,0,10.86,77.63,2.43,100
26,,Oberdan Alionço,0.13,0.06,67.66,88.59,9.59,70.69
27,,Marko Tuci,0.06,0,44.28,83.56,2.56,53.9
28,,Keun-bae Kim,0,0,19,92.11,1,72.73
29,,Kwang-yeon Lee,0,0,24.55,52.14,1.6,33.62
30,,Yeong-jae Lee,0.19,0.25,65.5,83.78,12.38,63.45
31,,Darijan Bojanić,0.11,0.11,44.33,89.47,9.33,68
32,,Chang-min Lee,0.15,0,55.85,77.13,10.38,43.86
33,,Eom Ji-Sung,0.21,0.14,21.89,76.84,7.46,59.46
34,,Sung-dong Baek,0.48,0.32,19.32,80.75,5.4,54.05
35,,Dong-min Kim,0,0.04,51.07,84.34,3.74,40.33
36,,Osmar Barba,0.09,0.09,73.31,87.57,9.57,52.68
37,,Je-un Yeon,0,0,62.15,89.98,4.92,61
38,,Harrison Delbridge,0,0,51,79.45,5,45.45
39,,Seung-Gi Lee,0,0,32.5,89.23,13.5,75
40,,Aaron Calver,0,0,47.8,87.34,5.4,51.09
41,,Soon-min Lee,0,0.03,47.34,85.94,10.49,65.61
42,,Yong Woo Park,0.21,0.21,72.53,85.78,12.74,59.48
43,,Dae-won Kim,0.3,0.11,26.92,72.79,7.43,47.06
44,,Aleksandar Paločević,0.11,0.09,44.6,85.33,12.71,62.64
