#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Bruno Lamas,0,0,0,0,2.5,0.5
2,,Cesinha,0,0.22,0,0,0.83,0.13
3,,Reis,0,0.11,0,0,0.83,0.22
4,,Jun Choi,0,0,0,0,2.5,0.5
5,,Alex Grant,0,0.29,0,0,0.74,0.32
6,,Bit-garam Yoon,0,0.11,0,0,1.53,0.39
7,,Seung-Ho Paik,0,0.19,0,0,0.78,0.04
8,,Sung-Yueng Ki,0,0.11,0,0,0.94,0.06
9,,Lars Veldwijk,0,0.09,0,0,1.41,0.36
10,,Gue-sung Cho,0,0.17,0,0,0.83,0
11,,Jeong Min-ki,3.78,0.44,0,0,1,0.11
12,,Jin-seob Park,0,0.28,0,0,0.72,0.06
13,,Joo-Hoon Song,0,0.08,0,0,0.69,0.23
14,,Dong-gyeong Lee,0,0.11,0,0,0.67,0
15,,Kyeong-min Kim,3.04,0.46,0.04,0.04,0.81,0.04
16,,Jin-ho Sin,0,0.18,0,0,1,0.24
17,,Jong-uh Kim,0,0,0,0,0.53,0.26
18,,Min-hyeok Im,0,0,0,0,0,0.5
19,,Jung-hoon Kim,3.52,0.34,0.07,0,0.79,0.07
20,,Hyeon-seok Du,0,0.32,0,0,0.76,0.08
21,,Nana Boateng,0,0.08,0,0,0.85,0.08
22,,Tiago Orobó,0,0.06,0,0,1,0.22
23,,Yuri,0,0.06,0,0,0.76,0.18
24,,Timo Letschert,0,0.3,0,0,0.89,0.07
25,,Seong-Jin Kang,0,0,0,0,0.71,0
26,,Oberdan Alionço,0,0.28,0,0,0.72,0.38
27,,Marko Tuci,0,0.33,0,0,0.61,0.06
28,,Keun-bae Kim,2,0.5,0,0,0.5,0
29,,Kwang-yeon Lee,2.85,0.4,0.05,0,0.8,0.1
30,,Yeong-jae Lee,0,0.06,0,0,1.69,0.31
31,,Darijan Bojanić,0,0,0,0,0.22,0
32,,Chang-min Lee,0,0.38,0,0,0.69,0.15
33,,Eom Ji-Sung,0,0.07,0,0,0.64,0.07
34,,Sung-dong Baek,0,0.08,0,0,0.6,0.24
35,,Dong-min Kim,0,0.33,0,0,0.85,0.11
36,,Osmar Barba,0,0.2,0,0,1.09,0.06
37,,Je-un Yeon,0,0.23,0,0,1.08,0.38
38,,Harrison Delbridge,0,0.2,0,0,1.04,0.2
39,,Seung-Gi Lee,0,0,0,0,2.5,0
40,,Aaron Calver,0,0.2,0,0,0.45,0
41,,Soon-min Lee,0,0.4,0,0,0.74,0.06
42,,Yong Woo Park,0,0.16,0,0,0.74,0.21
43,,Dae-won Kim,0,0.08,0,0,0.76,0.14
44,,Aleksandar Paločević,0,0.06,0,0,1,0.03
45,,Seung-hyun Jung,0,0.26,0,0,0.7,0.26
46,,Jeong-ho Hong,0,0.23,0,0,0.77,0.14
47,,Myeong-jae Lee,0,0.14,0,0,0.86,0.24
48,,Seung-Woo Lee,0,0,0,0,1.19,0.31
49,,Jin-hyun Lee,0,0.07,0,0,1,0.24
50,,Ki Je Lee,0,0.13,0,0,1.35,0.16
51,,Se-jong Ju,0,0.07,0,0,0.97,0.17
52,,Jasir Asani,0,0.06,0,0,0.61,0.06
53,,Chang Woo Rim,0,0.05,0,0,0.76,0.29
54,,Young-woo Seol,0,0.28,0,0,0.84,0.25
55,,Zeca,0,0.06,0,0,0.44,0.28
56,,Ju-sung Kim,0,0.16,0,0,1.24,0.05
57,,Min-kyu Ju,0,0.03,0,0,0.69,0.2
58,,Lee Chang-geun,3.58,0.18,0.21,0.08,1.29,0.24
59,,Young-Gwon Kim,0,0.32,0,0,0.74,0.23
60,,Hyeon-woo Jo,2.94,0.34,0.11,0.06,0.83,0.26
61,,Yu-min Jo,0,0.14,0,0,1.1,0.29
62,,Dong-hyeon Yang,0,0,0,0,2,0
63,,Cheol-won Choi,2.73,0.27,0.09,0,0.82,0.09
64,,Sang-Min Koo,6,0,0,0,2.5,0.5
65,,Park Cheong-hyo,3.5,0.5,0,0,0.5,0.5
66,,Jeong-un Hong,0,0.33,0,0,0.94,0.21
67,,Leandro Ribeiro,0,0,0,0,0.79,0.21
68,,Dong-heon Kim,2.96,0.33,0.21,0.04,0.92,0.17
69,,Yeong-kyu Ahn,0,0.31,0,0,0.78,0.09
70,,Wanderson,0,0.21,0,0,0.63,0.32
71,,Eun-su Im,0,0.2,0,0,1.3,0.2
72,,Jung Ho-Yeon,0,0.29,0,0,0.88,0.09
73,,Gi-Hyuk Lee,0,0.11,0,0,0.84,0.11
74,,Ikram Alibaev,0,0.16,0,0,0.28,0.08
75,,Ban-suk Oh,0,0.15,0,0,0.96,0.19
76,,Kee-hee Kim,0,0.31,0,0,0.96,0.15
77,,Tae-uk Jeong,0,0.39,0,0,0.81,0.03
78,,Han-Beom Lee,0,0.11,0,0,1.28,0
79,,Gun-hee Kim,0,0.11,0,0,0.22,0
80,,Martin Ádám,0,0.07,0,0,0.52,0.1
81,,Paul-José Mpoku,0,0.04,0,0,0.79,0.17
82,,Guk-yeong Han,0,0.11,0,0,0.83,0.19
83,,Jin-su Kim,0,0.26,0,0,0.84,0
84,,Chan-hee Han,0,0.08,0,0,0.58,0.15
85,,Chang-rae Ha,0,0.29,0,0,0.68,0.32
86,,Reum Yeo,0,0,0,0,1.75,0
87,,Chan-yong Park,0,0.15,0,0,0.5,0.23
88,,Boadu Maxwell Acosty,0,0.04,0,0,0.68,0.12
89,,Valeri Qazaishvili,0,0.09,0,0,0.5,0.24
90,,Hyeon-bin Park,0,0,0,0,0.4,0
91,,Jin-hyeok Kim,0,0.32,0,0,0.82,0.21
92,,Ui-Jo Hwang,0,0.11,0,0,0.78,0
93,,Seung-wook Park,0,0.26,0,0,0.71,0.32
94,,Min-woo Seo,0,0.21,0,0,0.82,0.18
95,,Yong Lee,0,0.04,0,0,1.31,0.38
96,,Chae-min Im,0,0.27,0,0,0.88,0.27
97,,Stefan Mugoša,0,0,0,0,0.56,0
98,,Yeong-jun Choi,0,0,0,0,0.44,0.56
99,,Young-jun Go,0,0,0,0,0.64,0.32
100,,Kim Jun-ho,0,0,0,0,0.08,0.13
101,,Min-ki Lee,0,0.32,0,0,0.61,0
102,,Yeong-bin Kim,0,0.23,0,0,0.83,0.2
103,,Tae-heui Lee,3.11,0.22,0.11,0,1.11,0.22
104,,In-kyun Kim,0,0,0,0,0.9,0.14
