#,Team,Name
1,,Jun Choi
2,,Alex Grant
3,,Joo-Hoon Song
4,,Hyeon-seok Du
5,,Timo Letschert
6,,Marko Tuci
7,,Dong-min Kim
8,,Osmar Barba
9,,Je-un Yeon
10,,Harrison Delbridge
11,,Aaron Calver
12,,Seung-hyun Jung
13,,Jeong-ho Hong
14,,Myeong-jae Lee
15,,Ki Je Lee
16,,Chang Woo Rim
17,,Young-woo Seol
18,,Ju-sung Kim
19,,Young-Gwon Kim
20,,Yu-min Jo
21,,Jeong-un Hong
22,,Yeong-kyu Ahn
23,,Wanderson
24,,Eun-su Im
25,,Ban-suk Oh
26,,Kee-hee Kim
27,,Tae-uk Jeong
28,,Han-Beom Lee
29,,Gun-hee Kim
30,,Jin-su Kim
31,,Chang-rae Ha
32,,Chan-yong Park
33,,Jin-hyeok Kim
34,,Seung-wook Park
35,,Yong Lee
36,,Chae-min Im
37,,Min-ki Lee
38,,Yeong-bin Kim
39,,Ho-ik Jang
40,,Jo Seong-Kwon
41,,Tomáš Petrášek
42,,Ji-sol Lee
43,,Chung Woon
44,,Dave Bulthuis
45,,Han Hogang
46,,Kim Kang-San
47,,Kweon Hang-Jin
48,,Jin-woo Jo
49,,Uh-jae Jeong
50,,Tae-seok Lee
51,,Ja-ryong Koo
52,,Yeon-su Kim
53,,Tae-hwan Kim
54,,Ung-heui Lee
55,,Shi-yeong Lee
56,,Moon-hwan Kim
57,,Sang-min Shim
58,,Young-sun Yun
59,,Wi-je Cho
60,,Lim Hyung-jin
61,,Park Jin-hong
62,,Gang-han Lee
63,,Kim Seung Woo
64,,Bo-kyung Choi
65,,Lim Jong Eun
66,,Oh-kyu Kim
67,,Hugo Gomes
68,,Keita Suzuki
69,,Seok-yeong Yun
70,,Go Myeong Seok
71,,Jeong-won Eo
72,,Su-il Park
73,,Dong-ho Jeong
74,,Joo-won Kim
75,,Min-deok Kim
76,,Kwang-hun Shin
77,,Jackson Lachlan
78,,Anton Krivotsyuk
79,,Jo Hyun-tae
80,,Hyeon-uh Kim
81,,Tae-hwan Kim
82,,Won-woo Lee
83,,Daewon Park
84,,Ji-hun Kang
85,,Uh-seok Kim
86,,Se-gye Sin
87,,Byeong-hyeon Park
88,,Byeon Jun-soo
89,,Chul-soon Choi
90,,Kim Min-Ho
91,,Tae-han Kim
92,,Lee Gyu-seok
93,,Kim Ji-hun
94,,Seong-won Jang
95,,Ryu Kwang-hyun
96,,Young-Jae Seo
97,,Dong-hyeok Im
98,,Wan-kyu Kwon
99,,Seong-hun Park
100,,Geon-woo Park
101,,Se-jin Park
102,,Kyeong-jae Kim
103,,Jae-sung Lee
104,,Yong-hwan Kim
105,,Hyun Hun Kim
106,,Jin-ya Kim
107,,Kwak Seung-min
108,,Inpyo Oh
109,,Hyun-taek Cho
110,,Ju-yeob Kim
111,,Han-do Lee
112,,Dae-jung Kim
113,,Yun-seong Kang
114,,Kim Ye-sung
115,,Jeon Seong-jin
116,,Hyun-soo Hwang
117,,Dae-hwan Kim
118,,Chang-woo Park
119,,Kyung-rok Park
120,,Sang-ki Min
121,,Jung Jae-yun
122,,Min Junyeong
123,,Nilson
124,,Lee Chan-Ouk
125,,Lee Jun-Jae
126,,Myeong-kwan Seo
127,,Min-seo Park
128,,Dong-hee Lee
129,,Hyang-Gi Cho
130,,Ju-seong Uh
131,,Hyung-Jin Park
132,,Yong-hyeok Lee
133,,Lee Min-Ki
134,,Jae-min Ahn
135,,Hyeon-woong Choi
