#,Team,Name
1,,Bruno Lamas
2,,Bit-garam Yoon
3,,Seung-Ho Paik
4,,Sung-Yueng Ki
5,,Jin-seob Park
6,,Dong-gyeong Lee
7,,Jin-ho Sin
8,,Jong-uh Kim
9,,Min-hyeok Im
10,,Nana Boateng
11,,Seong-Jin Kang
12,,Oberdan Alionço
13,,Yeong-jae Lee
14,,Darijan Bojanić
15,,Chang-min Lee
16,,Eom Ji-Sung
17,,Sung-dong Baek
18,,Seung-Gi Lee
19,,Soon-min Lee
20,,Yong Woo Park
21,,Aleksandar Paločević
22,,Jin-hyun Lee
23,,Se-jong Ju
24,,Jasir Asani
25,,Jung Ho-Yeon
26,,Gi-Hyuk Lee
27,,Ikram Alibaev
28,,Guk-yeong Han
29,,Chan-hee Han
30,,Reum Yeo
31,,Valeri Qazaishvili
32,,Hyeon-bin Park
33,,Min-woo Seo
34,,Yeong-jun Choi
35,,Young-jun Go
36,,Kim Jun-ho
37,,Chul Hong
38,,Myung Joo Lee
39,,Jae-mun Ryu
40,,Jun Amano
41,,Luan
42,,Do-hyeok Kim
43,,Hyeon-beom Ahn
44,,Kim Bong-Soo
45,,Sang-Ho Na
46,,Min-hyeok Kim
47,,Jae Won Hwang
48,,Heui-kyun Lee
49,,Ataru Esaka
50,,Chung-yong Lee
51,,Kyu-seong Lee
52,,Seung-beom Ko
53,,Won-sang Eom
54,,Willyan
55,,Hwang Mun-ki
56,,Yun-sang Hong
57,,Sung-joon Kim
58,,Jong-seong Lee
59,,Geon-ung Kim
60,,Ji-hwan Mun
61,,Masatoshi Ishida
62,,Seung-gyu Han
63,,Jeong-hwan Kim
64,,Hwang Do-yoon
65,,Song Jun-Seok
66,,Murilo
67,,Park Cheol-woo
68,,Seung-mo Lee
69,,Soon-min Hwang
70,,Seung-dae Kim
71,,Seon-min Kim
72,,Bae Jun-Ho
73,,In-su Yu
74,,Koo Ja-Cheol
75,,Hyeon-sik Lee
76,,Seong-ung Maeng
77,,Kyo-won Han
78,,Lee Kang-Hyeon
79,,Ju-yong Lee
80,,Jun-yeob Kim
81,,Soo-bin Lee
82,,Yeong-uk Kim
83,,Jin-yong Lee
84,,Gustav Ludwigson
85,,Min-ho Yoon
86,,Hosam Aiesh
87,,Lee Min-Hyeok
88,,Il-Lok Yun
89,,Han-gil Kim
90,,Kyeong-hyeon Min
91,,Jin-ho Kim
92,,Sang-hyeob Lim
93,,Lim Yoo-seok
94,,Bo-kyung Kim
95,,Jeong Jae Yong
96,,Tae-hyeon Ahn
97,,Yu Je-ho
98,,Seung-Yong Jeong
99,,Kim Lee-Seok
100,,Lee Jae-wook
101,,Seok-jong Han
102,,Ju-ho Park
103,,Deok-geun Lim
104,,Kazuki Kozuka
105,,Dong-yun Jeong
106,,Rodrigo Bassani
107,,Kang Yun-Gu
108,,Victor Bobsin
109,,Hyeon-cheol Jeong
110,,An Chi-Woo
111,,Yun-gu Kang
112,,Jae-Hwan Hwang
113,,Park Han-Bin
114,,Dong-su Lee
115,,Yong Rae Lee
116,,Park Se-jin
117,,Seong-keun Choi
118,,Eu-ddeum Lee
119,,Ki-hun Yeom
120,,Jae-hyeok Oh
121,,Jung Ji-Hun
122,,Seung-Won Jeong
123,,Marcos Serrato
124,,Jae-hun Cho
125,,Seung Won Lee
126,,Chang-mu Shin
127,,Jae Suk Oh
128,,Kyeong-jung Kim
129,,Jae-won Lee
130,,In-sung Kim
131,,Kim Dae-Woo
132,,Kang Sang-Yun
133,,Kim Do-Yoon
134,,Jang Jae-Woong
135,,Hyeon-je Kang
136,,Kim Hyun-seo
137,,Jae-min Seo
138,,Won-jin Jeong
139,,Han Jong-Mu
140,,Jun-jae Myung
141,,Sang-ki Lee
142,,Sunho Kwon
143,,Jae-hee Jeong
144,,Seo Dong-han
145,,Sang-hoon Paik
146,,Yo-han Go
147,,Yun-ho Jang
148,,Seong-min Kim
149,,Kyu-hyeong Kim
150,,Hu-sung Oh
151,,Jae-hun Choi
152,,Lee Seon-yu
153,,Seung-woo Seo
154,,Kwang-Il Park
155,,Sang-jun Kim
156,,Kim Hee-Seung
157,,Choi Min-Ki
158,,Kevin Höög Jansson
159,,Guilherme
160,,Kazuki Takahashi
161,,Lee Kang-hee
162,,Park Ho-min
163,,Su-cheol Jo
164,,Kyu-min Kim
165,,Jae-young Choi
166,,Jun-hyeong Kim
167,,Heui-ung Jeong
168,,Hong-Min Song
169,,Kim Se-hoon
