#,Team,Name
1,,Jeong Min-ki
2,,Kyeong-min Kim
3,,Jung-hoon Kim
4,,Keun-bae Kim
5,,Kwang-yeon Lee
6,,Lee Chang-geun
7,,Hyeon-woo Jo
8,,Cheol-won Choi
9,,Sang-Min Koo
10,,Park Cheong-hyo
11,,Dong-heon Kim
12,,Tae-heui Lee
13,,Dong-jun Kim
14,,Seong-jun Min
15,,Hyeong-mo Yang
16,,Seung-hun Oh
17,,In-jae Hwang
18,,Dong-geon No
19,,Jun Lee
20,,Jong-beom Baek
21,,Yeong-eun Choi
22,,Bae-jong Park
23,,Su-huk Jo
24,,Sang-hun Yu
25,,Chan-gi Ahn
26,,Beom-young Lee
27,,Hyeong-keun Kim
28,,Seong-min Hwang
29,,Beom-su Lee
30,,Jeong-hyeon Son
31,,Dong Min Goh
32,,Ju-hyeon Lee
