#,Team,Name
1,,Cesinha
2,,Bit-garam Yoon
3,,Sung-Yueng Ki
4,,Lars Veldwijk
5,,Kyeong-min Kim
6,,Jin-ho Sin
7,,Keun-bae Kim
8,,Sung-dong Baek
9,,Osmar Barba
10,,Harrison Delbridge
11,,Seung-Gi Lee
12,,Jeong-ho Hong
13,,Ki Je Lee
14,,Se-jong Ju
15,,Chang Woo Rim
16,,Min-kyu Ju
17,,Young-Gwon Kim
18,,Hyeon-woo Jo
19,,Dong-hyeon Yang
20,,Sang-Min Koo
21,,Park Cheong-hyo
22,,Yeong-kyu Ahn
23,,Wanderson
24,,Ban-suk Oh
25,,Kee-hee Kim
26,,Paul-José Mpoku
27,,Guk-yeong Han
28,,Jin-su Kim
29,,Reum Yeo
30,,Boadu Maxwell Acosty
31,,Ui-Jo Hwang
32,,Yong Lee
33,,Chae-min Im
34,,Stefan Mugoša
35,,Yeong-jun Choi
36,,Yeong-bin Kim
37,,Chul Hong
38,,Myung Joo Lee
39,,Hernandes
40,,Jun Amano
41,,Tomáš Petrášek
42,,Do-hyeok Kim
43,,Min-hyeok Kim
44,,Chung Woon
45,,Dave Bulthuis
46,,Ataru Esaka
47,,Jonathan Ring
48,,Ricardo Lopes
49,,Chung-yong Lee
50,,Gerso Fernandes
51,,Kweon Hang-Jin
52,,Stanislav Iljutcenko
53,,Edgar Silva
54,,Uh-jae Jeong
55,,Ja-ryong Koo
56,,Sung-joon Kim
57,,Hyeong-mo Yang
58,,Tae-hwan Kim
59,,Jong-seong Lee
60,,Seung-hun Oh
61,,Ung-heui Lee
62,,Dong-geon No
63,,Dong-Won Ji
64,,Young-sun Yun
65,,Jeong-hyeob Lee
66,,Bo-kyung Choi
67,,Byong-jun An
68,,Lim Jong Eun
69,,Oh-kyu Kim
70,,Mu-yeol Ko
71,,Seok-yeong Yun
72,,Soon-min Hwang
73,,Seon-min Moon
74,,Seung-dae Kim
75,,Seon-min Kim
76,,Koo Ja-Cheol
77,,Dong-ho Jeong
78,,Joo-won Kim
79,,Kwang-hun Shin
80,,Bae-jong Park
81,,Kyo-won Han
82,,Ju-yong Lee
83,,Jun-yeob Kim
84,,Yeong-uk Kim
85,,Su-huk Jo
86,,Il-Lok Yun
87,,Sang-hun Yu
88,,Min-hyeon Kong
89,,Se-gye Sin
90,,Sang-hyeob Lim
91,,Bo-kyung Kim
92,,Jeong Jae Yong
93,,Seung-Yong Jeong
94,,Chul-soon Choi
95,,Seok-jong Han
96,,Ju-ho Park
97,,Rafael Silva
98,,Sandro Lima
99,,Yong Rae Lee
100,,Keun-ho Lee
101,,Björn Johnsen
102,,Seong-keun Choi
103,,Eu-ddeum Lee
104,,Ki-hun Yeom
105,,Wan-kyu Kwon
106,,Jae-sung Lee
107,,Hyun Hun Kim
108,,Chang-mu Shin
109,,Jae Suk Oh
110,,Kyeong-jung Kim
111,,In-sung Kim
112,,Dae-jung Kim
113,,Beom-young Lee
114,,Yo-han Go
115,,Seong-min Hwang
116,,Sang-ki Min
117,,Kwang-Il Park
118,,Beom-su Lee
119,,Jeong-hyeon Son
120,,Nilson
121,,Ji-ho Han
122,,Su-cheol Jo
123,,Hyang-Gi Cho
124,,Hyung-Jin Park
