Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Bruno Lamas,1,0,88.89,7,0,0,1.5,0.5,0,0.5,0,0.5,0.5,0,56.5,82.3,21.5,41.67,0,0,0,0,2.5,0.5,0,0,33.33,66.67,1,0.5,2
Cesinha,0.35,0.13,45.21,3.13,0.04,0,0.61,0.39,0,0.04,0,0.61,0.48,0.22,32.57,79.31,11.04,68.91,0,0.22,0,0,0.83,0.13,0.17,0,16,42.25,2.52,1.13,23
Reis,0.19,0.17,46.39,2.25,0.03,0.56,1.83,0.69,0,0.47,0,0.83,0.19,0.17,27.31,75.28,8.31,45.28,0,0.11,0,0,0.83,0.22,0.14,0,44.8,51.29,2,1.11,36
Jun Choi,0.5,0,33.33,0.5,0,0,1.5,2,0,3.5,0,0,0.5,0.5,51.5,71.84,12,23.53,0,0,0,0,2.5,0.5,0,0,80,58.82,1,0.5,2
Alex Grant,0.13,0.1,54.55,1.03,0.13,0,1.65,1.61,0,4.29,0,0.39,0.03,0,66.42,87.76,5.9,62.2,0,0.29,0,0,0.74,0.32,0.19,0,69.01,68.84,0.48,0.39,31
Bit-garam Yoon,0.22,0.03,55.88,1.67,0.03,0.31,1.28,0.83,0,0.86,0.03,0.64,0.25,0.14,55.06,85.47,11.36,66.34,0,0.11,0,0,1.53,0.39,0.08,0.03,43.33,50.97,1.17,0.94,36
Seung-Ho Paik,0.11,0.11,67.5,1.22,0,0.93,1.63,0.85,0,0.96,0,0.52,0.11,0.04,48.26,83.73,11.93,49.56,0,0.19,0,0,0.78,0.04,0.11,0,57.14,56.34,0.63,0.89,27
Sung-Yueng Ki,0.06,0.06,63.33,1.34,0,0,1.34,0.57,0,0.91,0,0.8,0.26,0.11,65,91.16,13.26,73.09,0,0.11,0,0,0.94,0.06,0.14,0,52.63,51.75,0.91,0.89,35
Lars Veldwijk,0.41,0.18,33.33,2.41,0.14,0,0.36,0.18,0,1.27,0,0.41,0.14,0.23,24.05,58.79,7.05,71.43,0,0.09,0,0,1.41,0.36,0.09,0,60,53.25,0.64,0.77,22
Gue-sung Cho,0.42,0.25,30,2.5,0.17,0,0.58,0.17,0,0.92,0,0.33,0.17,0.08,21.58,71.43,6.58,42.86,0,0.17,0,0,0.83,0,0,0,56.31,48.73,0.75,1.33,12
Jeong Min-ki,0,0,0,0,0,0,0,0,0,0.56,0.11,0,0,0,22.11,69.85,1.22,45.37,3.78,0.44,0,0,1,0.11,0,0,100,100,0,0,9
Jin-seob Park,0.03,0.03,57.14,1.03,0.03,0,1.59,1.63,0,2.81,0,0.53,0.09,0.06,60.19,84.53,7.66,56.85,0,0.28,0,0,0.72,0.06,0.09,0,76.06,63.16,0.53,1.31,32
Joo-Hoon Song,0.08,0.08,50,0.92,0,0,1.15,2.62,0,2.54,0,0.38,0,0,44.69,83.99,4.38,52.44,0,0.08,0,0,0.69,0.23,0.08,0,76,71.43,0.85,0.38,13
Dong-gyeong Lee,0.22,0,50,1.78,0,0,2.22,0.33,0,0,0,0.89,0.33,0.11,24.89,85.27,6.22,66.67,0,0.11,0,0,0.67,0,0.11,0,16.67,47.37,0.11,0.67,9
Kyeong-min Kim,0,0,0,0,0,0,0,0,0.04,1.15,0,0.08,0,0,21.31,72.92,0.62,44.44,3.04,0.46,0.04,0.04,0.81,0.04,0.04,0,100,88.46,0.15,0.04,26
Jin-ho Sin,0.06,0,57.89,0.76,0,0,1.35,0.71,0,0.35,0.06,1.06,0.12,0.18,74.29,86.86,14.65,65.44,0,0.18,0,0,1,0.24,0.29,0,27.59,39.72,0.82,1.71,17
Jong-uh Kim,0,0.11,47.37,0.89,0,0,2.53,0.68,0,0.53,0,0.63,0.21,0.05,44.58,88.78,9.26,77.05,0,0,0,0,0.53,0.26,0,0,47.06,58,1.16,1.16,19
Min-hyeok Im,0,0,100,0,0,0,2,1,0,0,0,0.5,0.5,0,47.5,81.05,11.5,36.36,0,0,0,0,0,0.5,0,0,33.33,56.25,0.5,1,2
Jung-hoon Kim,0,0,0,0,0,0,0.1,0,0,0.93,0.07,0.1,0,0,23.07,69.06,1.03,39.88,3.52,0.34,0.07,0,0.79,0.07,0.07,0,81.82,76.19,0.14,0,29
Hyeon-seok Du,0.05,0.03,56.67,0.63,0,0,1,0.68,0,0.97,0,0.55,0.13,0.18,51.21,87.15,11.76,59.79,0,0.32,0,0,0.76,0.08,0.08,0,41.38,52.07,0.76,0.58,38
Nana Boateng,0.08,0,52.63,0.92,0,0,3.31,1.23,0,0.69,0,0.77,0,0,55.85,83.33,11.31,48.78,0,0.08,0,0,0.85,0.08,0.08,0,34.78,53.97,0.54,0.92,13
Tiago Orobó,0.47,0.33,47.92,2.11,0.11,0,0.94,0.22,0,0.83,0,0.31,0.11,0.19,17.42,59.17,4.44,57.14,0,0.06,0,0,1,0.22,0.11,0,44.93,43.76,0.64,1.28,36
Yuri,0.3,0.15,64.29,2.06,0.09,0,0.48,0.27,0,0.76,0,0.15,0.12,0.12,17.12,61.95,3.91,57.14,0,0.06,0,0,0.76,0.18,0.09,0,58.89,54.7,0.73,1.24,33
Timo Letschert,0.11,0.15,71.43,0.67,0.04,0,1.59,0.81,0,3.04,0.04,0.37,0.07,0.04,64.52,87.03,6.11,58.25,0,0.3,0,0,0.89,0.07,0.19,0.04,60.75,63.41,0.63,0.74,27
Seong-Jin Kang,0.29,0,44.44,0.71,0,0,0.86,0.14,0,0,0,0.43,0.29,0,10.86,77.63,2.43,100,0,0,0,0,0.71,0,0.14,0,40,48.48,0.57,0.14,7
Oberdan Alionço,0.03,0.03,62.34,1.22,0,0,2.41,1.22,0.03,0.91,0,0.97,0.13,0.06,67.66,88.59,9.59,70.69,0,0.28,0,0,0.72,0.38,0.13,0,46.34,58.19,1.72,0.66,32
Marko Tuci,0.06,0,0,0.33,0.06,0,1.22,1.22,0,4.78,0,0.33,0.06,0,44.28,83.56,2.56,53.9,0,0.33,0,0,0.61,0.06,0.17,0,58.25,59.44,0.17,0.39,18
Keun-bae Kim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,92.11,1,72.73,2,0.5,0,0,0.5,0,0,0,0,0,0,0,2
Kwang-yeon Lee,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,24.55,52.14,1.6,33.62,2.85,0.4,0.05,0,0.8,0.1,0.05,0,100,100,0.05,0,20
