#,Team,Name,Appearances
1,,Antoine Griezmann,38
2,,Leo Román,1
3,,Karim Benzema,24
4,,Toni Kroos,30
5,,Aleix García,30
6,,David Gil,4
7,,Robert Lewandowski,34
8,,Gerónimo Rulli,14
9,,Pedri,26
10,,Raphinha,36
11,,Federico Valverde,34
12,,Dani Parejo,37
13,,Frenkie de Jong,33
14,,Éder Militão,33
15,,Sergio Busquets,30
16,,Marco Asensio,31
17,,Rodrigo de Paul,30
18,,Félix Garreta,1
19,,Iago Aspas,37
20,,Jordi Alba,24
21,,Ousmane Dembélé,25
22,,Sergi Darder,38
23,,Jeremías Ledesma,34
24,,José María Giménez,28
25,,José Luis Gayà,31
26,,Marc-André ter Stegen,38
27,,Claudio Bravo,12
28,,Enes Ünal,35
29,,Gerard Piqué,6
30,,Thibaut Courtois,31
31,,Gerard Gumbau,35
32,,Aurélien Tchouaméni,33
33,,Kang-in Lee,36
34,,Lucas Robertone,37
35,,Mikel Merino,33
36,,Rodrygo,34
37,,David López,20
38,,Jules Koundé,29
39,,Jorge Pascual,2
40,,Alvaro Aceves Catalina,1
41,,Giovani Lo Celso,22
42,,Joselu,34
43,,Moi Gómez,33
44,,Antonio Raíllo,31
45,,Guido Rodríguez,34
46,,Carlos Soler,3
47,,Aitor Fernández,21
48,,Gonzalo Escalante,14
49,,Jordi Masip,28
50,,Loïc Badé,19
51,,Vinícius Júnior,33
52,,Andreas Christensen,23
53,,Brais Méndez,34
54,,Pau Torres,34
55,,Isi Palazón,37
56,,Takefusa Kubo,35
57,,Lucas Vázquez,23
58,,Ronald Araújo,22
59,,Nicolas Jackson,26
60,,Reinildo Mandava,22
61,,Marcos Acuña,30
62,,Vedat Muriqi,35
63,,Viktor Tsygankov,19
64,,Juan Foyth,24
65,,David Silva,28
66,,Carlos García,1
67,,Marko Dmitrović,15
68,,Iñigo Martínez,15
69,,Iker Muniain,30
70,,Álex Remiro,38
71,,Álvaro García,35
72,,Sergio Canales,31
73,,Édgar Badía,36
74,,Marcos Llorente,22
75,,Geoffrey Kondogbia,20
76,,Juan Miranda,21
77,,João Félix,14
78,,David Soria,38
79,,Yeray Álvarez,28
80,,Yuri Berchiche,29
81,,Gabri Veiga,36
82,,Nemanja Gudelj,34
83,,Gerard Moreno,21
84,,Iza Carcelén,27
85,,Luka Modrić,33
86,,José Copete,28
87,,Luis Milla,27
88,,Raúl Albiol,25
89,,André Almeida,34
90,,Mario Hermoso,26
91,,Anuar,3
92,,Héctor Bellerín,3
93,,David García,32
94,,Rui Silva,26
95,,Sergi Roberto,23
96,,Dani Ceballos,30
97,,Suso,25
98,,William Carvalho,33
99,,Jan Oblak,28
100,,Robin Le Normand,33
101,,Adrián Embarba,30
102,,Fernando Martínez,37
103,,Eric García,24
104,,Ivo Grbić,12
105,,Alejandro Baena,35
106,,Alex Collado,15
107,,Omar Mascarell,28
108,,Samuel Chukwueze,37
109,,Unai Núñez,36
110,,José Gragera,9
111,,Eray Cömert,23
112,,Martín Zubimendi,36
113,,Monchu,33
114,,Álvaro Aguado,34
115,,Alejandro Catena,35
116,,Youssouf Sabaly,23
117,,Luis Hernández,35
118,,Fernando Medrano,1
119,,Paulo Gazzaniga,28
120,,Germán Pezzella,31
121,,Marcos Alonso,24
122,,Aridane Hernández,23
123,,Álex Berenguer,37
124,,Álvaro Morata,36
125,,Iñaki Williams,36
126,,Thierry Correia,27
127,,Mauro Arambarri,13
128,,Samuel Lino,38
129,,Oriol Romeu,33
130,,Cyle Larin,19
131,,Edu Expósito,28
132,,Alejandro Balde,33
133,,Martin Valjent,30
134,,Ante Budimir,31
135,,Lázaro,19
136,,Predrag Rajković,36
137,,Koke,33
138,,Yéremy Pino,36
139,,Gavi,36
140,,Nahuel Molina,33
141,,Mouctar Diakhaby,29
142,,Borja Iglesias,35
143,,Santiago Bueno,34
144,,Eduardo Camavinga,37
145,,Igor Zubeldia,31
146,,Aïssa Mandi,21
147,,Diego Rico,20
148,,Ivan Rakitić,31
149,,Étienne Capoue,28
150,,Stefan Savić,22
151,,Chimy Ávila,29
152,,David Alaba,23
153,,Memphis Depay,10
154,,Pepe Reina,22
155,,Sergio Herrera,17
156,,Mikel Vesga,36
157,,Antonio Rüdiger,33
158,,Chris Ramos,15
159,,Iñigo Ruiz de Galarreta,30
160,,Joseph Aidoo,35
161,,Javi Galán,37
162,,Brian Oliván,30
163,,Hugo Mallo,26
164,,Jose Antonio de la Rosa,2
165,,Rober González,2
166,,Sergio Camello,38
167,,Daniel Vivian,29
168,,Yannick Carrasco,35
169,,Fernando,22
170,,Víctor Ruiz,10
171,,Óscar Rodríguez,33
172,,Thomas Lemar,27
173,,Marcão,5
174,,Vinícius Souza,34
175,,Nacho Fernández,27
176,,Rodri Sánchez,30
177,,Nabil Fekir,15
178,,Jon Ander Olasagasti,3
179,,Diego Lopez,10
180,,Fernando Pacheco,17
181,,Valentin Castellanos,35
182,,Alfonso Espino,36
183,,Ansu Fati,36
184,,Jawad El Yamiq,25
185,,Giorgi Mamardashvili,38
186,,Gorka Guruzeta,30
187,,Raúl de Tomás,19
188,,Papu Gómez,19
189,,Rubén García,29
190,,Santi Comesaña,35
191,,Andrés Guardado,26
192,,Álex Moreno,15
193,,Franco Cervi,36
194,,Samu Castillejo,25
195,,Andriy Lunin,7
196,,Oihan Sancet,36
197,,Manu Morlanes,16
198,,Sergio Escudero,23
199,,Cenk Özkaçar,17
200,,Julen Agirrezabala,8
201,,El Bilal Touré,21
202,,Justin Kluivert,26
203,,Kiko Femenía,20
204,,Iván Sánchez,25
205,,Saúl Ñíguez,31
206,,Pablo Maffeo,35
207,,Nico Williams,36
208,,Kike Pérez,36
209,,Jesús Corona,4
210,,Alexander Isak,2
211,,Isco,12
212,,Jorge Cuenca,10
213,,Álvaro Odriozola,3
214,,Federico Fernández,1
215,,Dominik Greif,1
216,,Kike Barja,27
217,,Dani García,25
218,,Óscar de Marcos,37
219,,Jon Moncayola,37
220,,Ferran Torres,33
221,,Youssef En-Nesyri,31
222,,Omar Alderete,25
223,,Rodrigo Ely,36
224,,Luiz Felipe,23
225,,Arnau Martínez,33
226,,Samuel Costa,32
227,,Gabriel Paulista,21
228,,Unai Simón,31
229,,Álvaro Negredo,21
230,,Hugo Guillamón,25
231,,Pere Milla,31
232,,Fran García,38
233,,Kike Salas,6
234,,Paul Akouokou,12
235,,Javi Sánchez,32
236,,Álvaro Rodríguez,6
237,,Alfonso Pedraza,26
238,,Lucas Pérez,14
239,,Luis Pérez,18
240,,Domingos Duarte,31
241,,Jon Pacheco,17
242,,Ander Guevara,8
243,,Joaquín Fernández,27
244,,Asier Illarramendi,24
245,,Óscar Plano,33
246,,Lucas Torró,33
247,,Nemanja Maksimović,29
248,,Fran Beltrán,36
249,,Edinson Cavani,25
250,,Carlos Clerc,32
251,,Selim Amallah,7
252,,Axel Witsel,33
253,,Jesús Navas,32
254,,Daniel Carvajal,27
255,,Álex Sola,10
256,,Agustín Marchesín,19
257,,Zouhair Feddal,8
258,,Abdessamad Ezzalzouli,28
259,,Stole Dimitrievski,37
260,,Dani Rodríguez,35
261,,Juanmi Latasa,18
262,,Théo Bongonda,31
263,,Damián Suárez,28
264,,Munir El Haddadi,28
265,,Alexander Sørloth,34
266,,Léo Baptistão,28
267,,Joaquín,22
268,,Malcom Ares,8
269,,Curro,2
270,,Manu Bueno,2
271,,Jon Magunazelaia,2
272,,Williot Swedberg,4
273,,Lucas Rosa,17
274,,Yan Couto,25
275,,Ilaix Moriba,24
276,,Borja García,11
277,,Martin Braithwaite,31
278,,Íñigo Lekue,20
279,,Fali,25
280,,Joan Jordán,23
281,,Lucas Olaza,23
282,,Lisandro Magallán,14
283,,Óscar Valentín,34
284,,Ángel Correa,35
285,,Lucas Boyé,35
286,,Tete Morente,32
287,,Florian Lejeune,31
288,,Ramón Terrats,24
289,,Ander Barrenetxea,23
290,,Luis Javier Suárez,21
291,,Andoni Gorosabel,27
292,,Felipe,3
293,,Javier Hernández,25
294,,Lucas Ocampos,19
295,,Fernando Calero,27
296,,Gonzalo Melero,27
297,,Manu Vallejo,7
298,,Nicolás González,26
299,,Álex Centelles,15
300,,Cristhian Stuani,32
301,,Jørgen Strand Larsen,32
302,,Francis Coquelin,16
