#,Team,Name,Goals,Successful dribbles %,Total shots,Headed goals,Big chances missed,Set piece conversion %
1,,Antoine Griezmann,0.39,62.67,2.92,0.03,0.24,0
2,,Leo Román,0,0,0,0,0,0
3,,Karim Benzema,0.79,47.62,4.46,0.04,0.75,0.69
4,,Toni Kroos,0.07,47.37,1.03,0,0,0
5,,Aleix García,0.03,59.09,1.07,0,0.03,0
6,,David Gil,0,0,0,0,0,0
7,,Robert Lewandowski,0.68,53.57,3.97,0.03,0.79,0
8,,Gerónimo Rulli,0,0,0,0,0,0
9,,Pedri,0.23,62.07,0.85,0,0.12,0
10,,Raphinha,0.19,46.39,2.19,0.08,0.22,0
11,,Federico Valverde,0.21,75.61,1.85,0,0.09,0
12,,Dani Parejo,0.08,76.32,0.81,0,0.05,0
13,,Frenkie de Jong,0.06,63.64,0.55,0,0.06,0
14,,Éder Militão,0.15,64.71,0.67,0.15,0.06,0
15,,Sergio Busquets,0,78.57,0.3,0,0,0
16,,Marco Asensio,0.29,76.67,1.9,0,0.19,0
17,,Rodrigo de Paul,0.07,59.26,0.7,0,0,0
18,,Félix Garreta,0,0,0,0,0,0
19,,Iago Aspas,0.32,46.81,2.11,0,0.27,0
20,,Jordi Alba,0.08,50,0.54,0,0,0
21,,Ousmane Dembélé,0.2,50.98,1.96,0.04,0.24,0
22,,Sergi Darder,0.16,55.74,1.03,0,0,0
23,,Jeremías Ledesma,0,100,0.03,0,0,0
24,,José María Giménez,0.07,60,0.79,0.07,0.11,0
25,,José Luis Gayà,0.03,69.44,0.74,0,0.03,0
26,,Marc-André ter Stegen,0,0,0,0,0,0
27,,Claudio Bravo,0,0,0,0,0,0
28,,Enes Ünal,0.4,52.5,2.51,0.03,0.14,0.36
29,,Gerard Piqué,0,100,0.5,0,0,0
30,,Thibaut Courtois,0,100,0,0,0,0
31,,Gerard Gumbau,0.03,43.75,1.34,0,0.03,0
32,,Aurélien Tchouaméni,0,77.78,1.15,0,0.03,0
33,,Kang-in Lee,0.17,72.58,1.28,0,0.06,0
34,,Lucas Robertone,0.05,48.21,1,0.03,0.03,0
35,,Mikel Merino,0.06,57.89,1.27,0.03,0.15,0
36,,Rodrygo,0.26,54.36,2.88,0,0.53,0.37
37,,David López,0.15,100,0.55,0.05,0.05,0
38,,Jules Koundé,0.03,62.5,0.48,0.03,0.1,0
39,,Jorge Pascual,0.5,0,0.5,0,0,0
40,,Alvaro Aceves Catalina,0,0,0,0,0,0
41,,Giovani Lo Celso,0.09,59.46,1.36,0.05,0.14,0
42,,Joselu,0.47,45,2.71,0.09,0.35,0
43,,Moi Gómez,0.09,71.05,0.58,0,0.03,0
44,,Antonio Raíllo,0.06,66.67,0.42,0.03,0,0
45,,Guido Rodríguez,0.03,73.33,0.65,0.03,0.03,0
46,,Carlos Soler,0.33,100,1.67,0,0,0
47,,Aitor Fernández,0,0,0,0,0,0
