#,Team,Name,Tackles,Errors lead to goal,Interceptions,Penalty committed,Clearances,Dribbled past
1,,Antoine Griezmann,1.29,0,0.63,0,0.79,1.21
2,,Leo Román,0,0,0,0,0,0
3,,Karim Benzema,0.38,0,0.08,0,0.21,0.38
4,,Toni Kroos,1.7,0,0.8,0.03,0.23,1.53
5,,Aleix García,1.23,0,1.03,0,0.93,0.6
6,,David Gil,0,0,0,0,1.25,0
7,,Robert Lewandowski,0.5,0,0.06,0,0.41,0.21
8,,Gerónimo Rulli,0,0,0.07,0,0.71,0
9,,Pedri,1.5,0,0.5,0,0.27,1.23
10,,Raphinha,0.81,0,0.39,0,0.31,0.56
11,,Federico Valverde,0.91,0,0.5,0,0.44,0.38
12,,Dani Parejo,1.92,0.03,0.78,0.03,0.81,1.22
13,,Frenkie de Jong,1.39,0,1.06,0,0.64,0.73
14,,Éder Militão,1.39,0.03,1.24,0.03,3,0.21
15,,Sergio Busquets,1.93,0,0.9,0,1.03,0.73
16,,Marco Asensio,0.52,0,0.16,0.03,0.1,0.32
17,,Rodrigo de Paul,1.17,0,0.27,0,0.13,0.57
18,,Félix Garreta,1,0,1,0,4,0
19,,Iago Aspas,0.22,0,0.19,0,0.57,0.51
20,,Jordi Alba,1.04,0,0.46,0,0.58,0.67
21,,Ousmane Dembélé,0.76,0,0,0,0.04,0.44
22,,Sergi Darder,1.82,0,0.63,0,0.55,1.16
23,,Jeremías Ledesma,0.09,0.03,0.06,0.03,1.5,0.12
24,,José María Giménez,1.54,0,0.86,0.04,4.82,0.39
25,,José Luis Gayà,2.58,0,0.74,0,1.26,1
26,,Marc-André ter Stegen,0,0,0.03,0,0.61,0
27,,Claudio Bravo,0,0,0.17,0,0.67,0
28,,Enes Ünal,0.74,0,0.17,0,0.97,0.51
29,,Gerard Piqué,0.83,0,0.33,0,3.17,0
30,,Thibaut Courtois,0.03,0.03,0.1,0,0.32,0
31,,Gerard Gumbau,1.26,0,0.8,0,1.09,0.94
32,,Aurélien Tchouaméni,1.94,0,1.48,0,1.52,0.45
33,,Kang-in Lee,1.17,0,0.31,0,0.14,1.19
34,,Lucas Robertone,1.35,0,1.24,0,1.14,0.97
35,,Mikel Merino,2.33,0,0.61,0,1.52,0.94
36,,Rodrygo,0.5,0,0.24,0,0.12,0.56
37,,David López,1.55,0.05,0.7,0,3.15,0.4
38,,Jules Koundé,1.28,0.03,0.66,0,1.93,0.34
39,,Jorge Pascual,0,0,0,0,0,0
