#,Team,Name,Big chances created,Total passes,Assists,Accurate final third passes,Accurate passes %,Accurate long balls %
1,,Antoine Griezmann,0.63,38.32,0.42,11.63,82.49,66.02
2,,Leo Román,0,39,0,1,66.67,45.45
3,,Karim Benzema,0.58,44.04,0.13,20.38,87.04,70
4,,Toni Kroos,0.23,77.7,0.13,21.7,94.59,85.71
5,,Aleix García,0.4,48.4,0.17,11.47,88.91,67.81
6,,David Gil,0,28.5,0,3,44.74,34.74
7,,Robert Lewandowski,0.32,22.41,0.21,8.24,78.08,63.16
8,,Gerónimo Rulli,0,33.79,0,0.86,83.72,47.95
9,,Pedri,0.42,54.12,0.04,17.08,87.56,84.73
10,,Raphinha,0.47,28.97,0.19,10.36,79.87,64.58
11,,Federico Valverde,0.24,46.76,0.12,16.79,88.49,63.74
12,,Dani Parejo,0.19,65.14,0.11,17.16,90.62,74.26
13,,Frenkie de Jong,0.24,68.39,0.12,18.24,91.45,81.97
14,,Éder Militão,0.03,55.79,0,6.27,88.7,58.25
15,,Sergio Busquets,0.13,64.47,0.13,15.13,88.68,77.7
16,,Marco Asensio,0.29,22.87,0.19,9.19,87.87,74.42
17,,Rodrigo de Paul,0.4,44.9,0.23,12.3,84.19,65.36
18,,Félix Garreta,0,39,0,2,87.18,66.67
19,,Iago Aspas,0.24,31.49,0.08,12.3,78.97,75.32
20,,Jordi Alba,0.5,51.13,0.13,14.5,86.63,57.3
21,,Ousmane Dembélé,0.36,29.36,0.28,12.68,83.38,66.67
22,,Sergi Darder,0.42,37.55,0.08,10.03,78.49,44.6
23,,Jeremías Ledesma,0,28.62,0,2.76,46.76,33.29
24,,José María Giménez,0.04,47.39,0.04,3.04,88.77,63.78
25,,José Luis Gayà,0.32,39.48,0.1,10.94,80.96,39.16
26,,Marc-André ter Stegen,0,32.26,0,0.53,82.38,56.99
27,,Claudio Bravo,0,28.92,0,1,55.04,33.77
28,,Enes Ünal,0.17,20.74,0.09,5.71,60.88,36.84
29,,Gerard Piqué,0,63.83,0,8.33,92.17,73.17
30,,Thibaut Courtois,0.03,30.32,0,0.52,83.94,46.18
31,,Gerard Gumbau,0.29,36.23,0.17,7.86,81.7,59.28
32,,Aurélien Tchouaméni,0.12,51.06,0.12,10.12,93.53,74.07
33,,Kang-in Lee,0.39,24.36,0.17,7.36,80.27,44.44
34,,Lucas Robertone,0.35,32.65,0.19,7.19,82.45,55.78
