Name,Goals,Successful dribbles %,Total shots,Headed goals,Big chances missed,Set piece conversion %,Tackles,Errors lead to goal,Interceptions,Penalty committed,Clearances,Dribbled past,Big chances created,Total passes,Assists,Accurate final third passes,Accurate passes %,Accurate long balls %,Saves,Clean sheets,Penalties faced,Goals conceded inside the box,Penalties saved,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Was fouled,Fouls,Total duels won %,RangoEdad
Antoine Griezmann,0.39,62.67,2.92,0.03,0.24,0.0,1.29,0.0,0.63,0.0,0.79,1.21,0.63,38.32,0.42,11.63,82.49,66.02,0.0,0.13,0.0,0.71,0.0,0.05,0.05,0.0,45.16,1.08,0.58,50.15,3
Leo Román,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,66.67,45.45,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Karim Benzema,0.79,47.62,4.46,0.04,0.75,0.69,0.38,0.0,0.08,0.0,0.21,0.38,0.58,44.04,0.13,20.38,87.04,70.0,0.0,0.29,0.0,0.71,0.0,0.0,0.04,0.0,51.85,0.25,0.42,37.98,3
Toni Kroos,0.07,47.37,1.03,0.0,0.0,0.0,1.7,0.0,0.8,0.03,0.23,1.53,0.23,77.7,0.13,21.7,94.59,85.71,0.0,0.1,0.0,0.77,0.0,0.0,0.0,0.03,63.64,1.2,0.93,50.99,3
Aleix García,0.03,59.09,1.07,0.0,0.03,0.0,1.23,0.0,1.03,0.0,0.93,0.6,0.4,48.4,0.17,11.47,88.91,67.81,0.0,0.03,0.0,1.1,0.0,0.13,0.03,0.0,68.42,0.97,0.47,60.93,2
David Gil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,28.5,0.0,3.0,44.74,34.74,4.5,0.25,0.25,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2
Robert Lewandowski,0.68,53.57,3.97,0.03,0.79,0.0,0.5,0.0,0.06,0.0,0.41,0.21,0.32,22.41,0.21,8.24,78.08,63.16,0.0,0.47,0.0,0.5,0.0,0.09,0.06,0.03,53.06,1.35,1.15,47.23,3
Gerónimo Rulli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.71,0.0,0.0,33.79,0.0,0.86,83.72,47.95,3.29,0.5,0.0,0.57,0.0,0.14,0.07,0.0,100.0,0.07,0.0,100.0,3
Pedri,0.23,62.07,0.85,0.0,0.12,0.0,1.5,0.0,0.5,0.0,0.27,1.23,0.42,54.12,0.04,17.08,87.56,84.73,0.0,0.38,0.0,0.27,0.0,0.08,0.08,0.0,37.5,1.65,0.31,55.5,1
Raphinha,0.19,46.39,2.19,0.08,0.22,0.0,0.81,0.0,0.39,0.0,0.31,0.56,0.47,28.97,0.19,10.36,79.87,64.58,0.0,0.03,0.0,0.22,0.0,0.03,0.22,0.0,60.87,1.03,0.61,49.8,2
Federico Valverde,0.21,75.61,1.85,0.0,0.09,0.0,0.91,0.0,0.5,0.0,0.44,0.38,0.24,46.76,0.12,16.79,88.49,63.74,0.0,0.18,0.0,0.71,0.0,0.03,0.06,0.0,73.81,0.44,0.32,67.5,2
Dani Parejo,0.08,76.32,0.81,0.0,0.05,0.0,1.92,0.03,0.78,0.03,0.81,1.22,0.19,65.14,0.11,17.16,90.62,74.26,0.0,0.27,0.0,1.0,0.0,0.05,0.16,0.0,44.74,2.03,0.81,58.01,3
Frenkie de Jong,0.06,63.64,0.55,0.0,0.06,0.0,1.39,0.0,1.06,0.0,0.64,0.73,0.24,68.39,0.12,18.24,91.45,81.97,0.0,0.33,0.0,0.52,0.0,0.09,0.09,0.0,68.09,1.03,1.0,56.32,2
Éder Militão,0.15,64.71,0.67,0.15,0.06,0.0,1.39,0.03,1.24,0.03,3.0,0.21,0.03,55.79,0.0,6.27,88.7,58.25,0.0,0.3,0.0,0.85,0.0,0.03,0.12,0.0,64.0,1.15,1.06,64.9,2
Sergio Busquets,0.0,78.57,0.3,0.0,0.0,0.0,1.93,0.0,0.9,0.0,1.03,0.73,0.13,64.47,0.13,15.13,88.68,77.7,0.0,0.43,0.0,0.3,0.0,0.07,0.2,0.03,47.79,1.33,1.03,56.25,3
Marco Asensio,0.29,76.67,1.9,0.0,0.19,0.0,0.52,0.0,0.16,0.03,0.1,0.32,0.29,22.87,0.19,9.19,87.87,74.42,0.0,0.13,0.0,0.48,0.0,0.03,0.03,0.0,60.0,0.52,0.32,59.18,2
Rodrigo de Paul,0.07,59.26,0.7,0.0,0.0,0.0,1.17,0.0,0.27,0.0,0.13,0.57,0.4,44.9,0.23,12.3,84.19,65.36,0.0,0.03,0.0,0.63,0.0,0.03,0.17,0.0,46.67,1.63,1.1,56.99,2
Félix Garreta,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,39.0,0.0,2.0,87.18,66.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,2.0,50.0,1
Iago Aspas,0.32,46.81,2.11,0.0,0.27,0.0,0.22,0.0,0.19,0.0,0.57,0.51,0.24,31.49,0.08,12.3,78.97,75.32,0.0,0.16,0.0,0.97,0.0,0.27,0.11,0.0,40.79,1.59,0.43,44.44,3
Jordi Alba,0.08,50.0,0.54,0.0,0.0,0.0,1.04,0.0,0.46,0.0,0.58,0.67,0.5,51.13,0.13,14.5,86.63,57.3,0.0,0.17,0.0,0.29,0.0,0.04,0.17,0.04,34.78,0.17,0.46,43.62,3
Ousmane Dembélé,0.2,50.98,1.96,0.04,0.24,0.0,0.76,0.0,0.0,0.0,0.04,0.44,0.36,29.36,0.28,12.68,83.38,66.67,0.0,0.12,0.0,0.32,0.0,0.12,0.16,0.0,25.0,0.76,0.64,47.0,2
Sergi Darder,0.16,55.74,1.03,0.0,0.0,0.0,1.82,0.0,0.63,0.0,0.55,1.16,0.42,37.55,0.08,10.03,78.49,44.6,0.0,0.16,0.0,1.53,0.0,0.16,0.11,0.0,46.15,2.05,0.82,57.76,2
Jeremías Ledesma,0.0,100.0,0.03,0.0,0.0,0.0,0.09,0.03,0.06,0.03,1.5,0.12,0.0,28.62,0.0,2.76,46.76,33.29,3.97,0.35,0.26,1.21,0.03,0.21,0.06,0.0,76.92,0.21,0.03,73.33,2
José María Giménez,0.07,60.0,0.79,0.07,0.11,0.0,1.54,0.0,0.86,0.04,4.82,0.39,0.04,47.39,0.04,3.04,88.77,63.78,0.0,0.36,0.0,0.61,0.0,0.14,0.32,0.0,65.79,0.29,0.68,64.85,2
José Luis Gayà,0.03,69.44,0.74,0.0,0.03,0.0,2.58,0.0,0.74,0.0,1.26,1.0,0.32,39.48,0.1,10.94,80.96,39.16,0.0,0.1,0.0,1.1,0.0,0.1,0.13,0.0,53.33,0.87,0.42,64.2,2
Marc-André ter Stegen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.61,0.0,0.0,32.26,0.0,0.53,82.38,56.99,2.21,0.68,0.08,0.42,0.0,0.05,0.0,0.0,87.5,0.05,0.0,80.0,3
Claudio Bravo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.67,0.0,0.0,28.92,0.0,1.0,55.04,33.77,2.92,0.33,0.08,0.58,0.0,0.17,0.17,0.0,100.0,0.0,0.0,100.0,3
Enes Ünal,0.4,52.5,2.51,0.03,0.14,0.36,0.74,0.0,0.17,0.0,0.97,0.51,0.17,20.74,0.09,5.71,60.88,36.84,0.0,0.14,0.0,1.03,0.0,0.17,0.17,0.0,49.38,2.2,1.74,47.95,2
Gerard Piqué,0.0,100.0,0.5,0.0,0.0,0.0,0.83,0.0,0.33,0.0,3.17,0.0,0.0,63.83,0.0,8.33,92.17,73.17,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.17,76.92,0.33,1.17,66.67,3
Thibaut Courtois,0.0,100.0,0.0,0.0,0.0,0.0,0.03,0.03,0.1,0.0,0.32,0.0,0.03,30.32,0.0,0.52,83.94,46.18,2.9,0.32,0.16,0.9,0.03,0.03,0.0,0.0,100.0,0.1,0.0,100.0,3
Gerard Gumbau,0.03,43.75,1.34,0.0,0.03,0.0,1.26,0.0,0.8,0.0,1.09,0.94,0.29,36.23,0.17,7.86,81.7,59.28,0.0,0.09,0.0,1.34,0.0,0.2,0.31,0.0,42.31,0.6,1.46,41.23,2
Aurélien Tchouaméni,0.0,77.78,1.15,0.0,0.03,0.0,1.94,0.0,1.48,0.0,1.52,0.45,0.12,51.06,0.12,10.12,93.53,74.07,0.0,0.15,0.0,0.82,0.0,0.0,0.06,0.0,66.67,1.06,1.06,65.54,1
Kang-in Lee,0.17,72.58,1.28,0.0,0.06,0.0,1.17,0.0,0.31,0.0,0.14,1.19,0.39,24.36,0.17,7.36,80.27,44.44,0.0,0.08,0.0,0.75,0.0,0.14,0.28,0.0,28.4,1.69,1.42,48.76,1
Lucas Robertone,0.05,48.21,1.0,0.03,0.03,0.0,1.35,0.0,1.24,0.0,1.14,0.97,0.35,32.65,0.19,7.19,82.45,55.78,0.0,0.05,0.0,1.19,0.0,0.08,0.19,0.0,36.84,2.41,0.89,55.03,2
Mikel Merino,0.06,57.89,1.27,0.03,0.15,0.0,2.33,0.0,0.61,0.0,1.52,0.94,0.36,44.36,0.27,11.67,77.66,51.16,0.0,0.24,0.0,0.76,0.0,0.18,0.18,0.03,65.7,1.45,2.24,54.64,2
Rodrygo,0.26,54.36,2.88,0.0,0.53,0.37,0.5,0.0,0.24,0.0,0.12,0.56,0.29,29.74,0.24,13.41,89.61,81.82,0.0,0.12,0.0,0.76,0.0,0.03,0.12,0.0,37.84,1.44,0.53,50.47,1
David López,0.15,100.0,0.55,0.05,0.05,0.0,1.55,0.05,0.7,0.0,3.15,0.4,0.05,59.85,0.05,3.6,90.14,53.15,0.0,0.05,0.0,1.15,0.0,0.05,0.25,0.0,47.54,0.8,0.8,59.42,3
Jules Koundé,0.03,62.5,0.48,0.03,0.1,0.0,1.28,0.03,0.66,0.0,1.93,0.34,0.17,63.93,0.1,12.14,88.83,52.17,0.0,0.62,0.0,0.31,0.0,0.1,0.07,0.0,65.15,0.41,0.76,56.91,2
Jorge Pascual,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1
