#,Team,Name,Appearances
1,,Juan Brunetta,18
2,,Luis Cárdenas,1
3,,Hector Holguin,2
4,,Federico Mancuello,3
5,,Erick Sánchez,14
6,,Ángel Mena,19
7,,César López,2
8,,Guillermo Allison,12
9,,Álvaro Fidalgo,20
10,,Diego Valdés,16
11,,Sergio Canales,5
12,,Roberto Alvarado,15
13,,Julián Quiñones,20
14,,Dieter Villalpando,22
15,,Henry Martín,16
16,,Harold Preciado,19
17,,Avilés Hurtado,15
18,,Guillermo Martínez,17
19,,Tiago Volpi,17
20,,Uriel Antuna,14
21,,Antonio Rodríguez,13
22,,Diego Urtiaga,8
23,,Esteban Andrada,18
24,,Federico Viñas,16
25,,Hugo Gonzalez,17
26,,Luis Romo,16
27,,Nahuel Guzmán,22
28,,Unai Bilbao,22
29,,Brian Lozano,6
30,,Jaine Barreiro,9
31,,Jordan Silva,5
32,,Diego Valoyes,4
33,,Abraham Vargas,2
34,,André-Pierre Gignac,17
35,,Carlos Gonzalez,15
36,,Juan Manuel Sanabria,21
37,,Julio González,21
38,,Germán Berterame,10
39,,Marcel Ruíz,15
40,,Christian Rivera,15
41,,Ángel Sepúlveda,14
42,,Nico López,18
43,,Alfonso Blanco,1
44,,Stefan Medina,16
45,,Juan Dominguez,12
46,,Jordi Cortizo,12
47,,Alejandro Zendejas,21
48,,José Rivero,15
49,,Jesús Rodríguez,18
50,,Anderson Santamaría,9
51,,Leonardo Suárez,17
52,,Diego de Buen,18
53,,Josué Colmán,17
54,,Rafael Carioca,21
55,,Bryan Garnica,17
56,,Diego Lainez,16
57,,Fernando Beltran,19
58,,Richard Sánchez,21
59,,Brian García,16
60,,Miguel Barbieri,9
61,,Paul Bellón,10
62,,Arturo González,12
63,,Pablo Barrera,17
64,,Jesús Gallardo,15
65,,Néstor Araujo,2
66,,Israel Larios,1
67,,Óscar Jiménez,4
68,,César Bustos,4
69,,Gabriel Fernández,20
70,,Cesar Huerta,19
71,,Federico Lértora,16
72,,Luis Reyes,16
73,,Maximiliano Meza,17
74,,Elías Hernández,15
75,,Kevin Castañeda,14
76,,Abraham Bass,5
77,,Adrián Aldrete,19
78,,Aké Arnaud Loba,10
79,,Juan Zapata,15
80,,Javier Güemez,21
81,,Abraham Villegas Maciel,3
82,,Jesús Ricardo Angulo,17
83,,Brian Rodríguez,14
84,,Carlos Moreno,14
85,,Valber Huerta,16
86,,Javier Aquino,22
87,,Pablo Nicolás Ortíz,5
88,,Adrián Mora,2
89,,Luis Quiñones,19
90,,Jesús Angulo,22
91,,Jonathan Dos Santos,23
92,,Nicolás Díaz,16
93,,Alan Montes,17
94,,Félix Torres,18
95,,Ricardo Monreal,9
96,,Sebastián Vegas,15
97,,Victor Dávila,3
98,,Christian Oliva,10
99,,Facundo Batista,15
100,,Carlos Rotondi,15
101,,Andrés Mosquera,16
102,,Jesús Rivas,8
103,,Jonathan Rodríguez,17
104,,José Castillo,9
105,,Alejandro Andrade,6
106,,Brayan Angulo,18
107,,Nicolás Ibáñez,20
108,,Gilberto Sepúlveda,15
109,,Osvaldo Rodríguez,18
110,,Fernando Madrigal,15
111,,Igor Lichnovsky,16
112,,Ricardo Chávez,21
113,,Fidel Ambríz,14
114,,Lucas Rodríguez,15
115,,Fernando Gorriarán,22
116,,Gastón Silva,18
117,,Diego Barbosa,16
118,,Domingo Blanco,11
119,,Omar Govea,17
120,,Jean Meneses,15
121,,Rodrigo Dourado,21
122,,Maximiliano Araújo,17
123,,Edgar López,16
124,,Eduardo Salvio,20
125,,Kevin Velasco,17
126,,Raúl Zúñiga,12
127,,Carlos Rodríguez,13
128,,Sebastián Cáceres,15
129,,Ricardo Gutierrez,3
130,,Adonis Frías,20
131,,Andrés Gudiño,14
132,,Vitinho,21
133,,Miguel Layún,14
134,,Víctor López,10
135,,Fernando Arce Jr.,14
136,,Facundo Almada,18
137,,Kevin Álvarez,19
138,,José Rangel,2
139,,Néstor Vidrio,4
140,,Ezequiel Unsaín,8
141,,Lucas Di Yorio,15
142,,Sébastien Salles-Lamonge,13
143,,Hugo Nervo,17
144,,Victor Guzmán,15
145,,Fernando González,18
146,,Jesús Corona,11
147,,Nathan Silva,20
148,,Diego Reyes,13
149,,Tomás Belmonte,10
150,,Héctor Moreno,10
151,,Camilo Vargas,17
152,,Cristian Calderón,15
153,,Rogelio Funes Mori,17
154,,Jordy Caicedo,14
155,,Luis Fuentes,20
156,,José Caicedo,10
157,,Gustavo Cabral,16
158,,Pablo González,17
159,,Miguel Jiménez,18
160,,Pedro Aquino,15
161,,Aldo Rocha,14
162,,Willer Ditta,15
163,,Ricardo Marín,18
164,,José Alvarado,19
165,,Emanuel Gularte,17
166,,Bryan Colula,14
167,,Daniel Álvarez,15
168,,Lucas Romero,16
169,,Sergio Barreto,16
170,,Alan Mozo,17
171,,Sait Tlaxcalteco,1
172,,Julio Furch,2
173,,Haret Ortega,3
174,,Daniel Parra,1
175,,Ramón Pasquel,1
176,,Raúl Gudiño,10
177,,Luis Olivas,11
178,,José Abella,17
179,,Julio César Domínguez,20
180,,Miguel Rodriguez,17
181,,Carlos Acevedo,8
182,,Érick Gutiérrez,14
183,,Érick Aguirre,7
184,,Samir Caetano,19
185,,Yoel Bárcenas,11
186,,Jhon Murillo,21
187,,Lisandro Magallán,18
188,,Sebastian Olmedo,16
189,,Javier López,8
190,,Víctor Guzmán,14
191,,Isaac Brizuela,13
192,,Nicolás Benedetti,9
193,,Alexis Canelo,3
194,,Fabricio Formiliano,3
195,,Juan Vigón,23
196,,Rodrigo Huescas,16
197,,Luis Malagón,20
198,,Iván Moreno,19
199,,Bryan González,7
200,,Pedro Raul,14
201,,Jaziel Martínez,14
202,,Carlos Robles,7
203,,Borja Sánchez,10
204,,Carlos Salcedo,15
205,,Kevin Balanta,15
206,,Lucas Merolla,4
207,,Kevin Ortega,2
208,,Elias Montiel,11
209,,Diber Cambindo,16
210,,Jürgen Damm,17
211,,Alan Cervantes,19
212,,Ángel Zapata,12
213,,Juan Dinenno,20
214,,Aitor García,15
215,,Rodolfo Cota,20
216,,Erik Lira,13
217,,José Rodríguez,21
218,,Francisco Venegas,11
219,,Denzell Garcia,14
220,,Gustavo del Prete,18
221,,Byron Castillo,10
222,,Jefferson Intriago,18
223,,Claudio Baeza,15
224,,Antonio Briseño,13
225,,Arturo Ortiz,9
226,,Roberto de la Rosa,15
227,,Jesús Molina,13
228,,Guido Pizarro,22
229,,Camilo Sanvezzo,13
230,,Ismael Govea,12
231,,Juan Escobar,14
232,,Robert Morales,16
233,,Robert Ergas,16
234,,Israel Reyes,9
235,,Alexis Peña,17
236,,Marino Hinestroza,13
237,,Eduard Bello,15
238,,Gabriel Carabajal,6
239,,Alek Álvarez,1
240,,Jonathan Perlaza,4
241,,Daniel Vazquez,1
242,,Alan Zubiri,1
243,,Fernando González Peña,4
244,,Misael Domínguez,5
245,,Santiago Naveda,7
246,,Gaddi Aguirre,8
247,,Sergio Flores,16
248,,David Terans,11
249,,Ramón Juárez,11
250,,Alexis Vega,10
251,,Oussama Idrissi,7
252,,Sebastián Saucedo,13
253,,Joao Rojas,13
254,,Diego Gómez,6
255,,Silvio Martínez,14
256,,Juan Brigido,9
257,,Alfredo Talavera,17
258,,Ozziel Herrera,16
259,,Alexei Dominguez Figueroa,4
260,,Jorge Rodríguez,12
261,,Iker Moreno,7
262,,Jesús Hernández,10
263,,Carlos Baltazar,14
264,,Luís Rodríguez,16
265,,Edgar Méndez,15
266,,Sebastián Córdova,18
267,,Vicente Poggi,9
268,,Kevin Castaño,13
269,,Jhon Chancellor,5
270,,Ramiro Árciga,5
271,,Andres Montaño,9
272,,Pedro Pedraza,9
273,,William Tesillo,15
274,,Duván Vergara,19
275,,Israel Luna,2
276,,Carlos Rodríguez,2
277,,Everardo López,2
278,,Fernando Navarro,5
279,,Jesús Orozco,14
280,,Illian Hernandez,14
281,,Augusto Solari,11
282,,Francisco Contreras,11
283,,Mateo Klimowicz,18
284,,Brian Rubio,14
285,,Kevin Escamilla,14
286,,Eduardo Aguirre,12
287,,Aldo Lopez,17
288,,Braian Samudio,11
289,,Jahaziel Marchand,6
290,,Raúl López,15
291,,Sebastian Santos,5
292,,Léo Bonatini,21
293,,Omar Fernández,18
294,,Ulises Rivas,20
295,,Jorge Ruvalcaba,3
296,,Mateo García,12
297,,Jeremy Márquez,15
298,,Diego Chávez,16
299,,Santiago Trigos,14
300,,David Ramírez,18
301,,Agustín Oliveros,7
302,,Carlos Orrantia,9
303,,Jonathan Padilla,18
304,,Emilio Lara,5
305,,Raúl Martínez,5
306,,Moisés,17
307,,Omar Campos,19
308,,Amaury Escoto,10
309,,Jose Garcia,15
310,,Jesus Angel Garza Garcia,5
311,,Jonathan Gonzalez,15
312,,Christian Tabó,16
313,,Miguel Sansores,13
314,,Pablo Bennevendo,17
315,,Jorge Rodríguez,12
316,,Emerson Rodríguez,19
317,,Javier Correa,15
318,,Vladimir Loroña,8
319,,Hugo Rodríguez,7
320,,Gustavo Ferrareis,17
321,,Omar Mendoza,13
322,,Leonel Prieto,1
323,,Roberto Meraz,2
324,,Hiram Mier,1
325,,Edson Gutiérrez,1
326,,Benjamín Galdames,2
327,,Aarón Mejía,3
328,,Alberto García,6
329,,Agustín Urzi,11
330,,Jesus Venegas,11
331,,Nicolás Cordero,9
332,,Sebastián Pérez Bouquet,8
333,,Eduardo Águila,6
334,,Jordan Sierra,17
335,,Marcelo Flores,10
336,,Daniel Aguilar,5
337,,Andrés Sánchez,14
338,,Moises Mosquera,13
339,,Alan Torres,4
340,,Salvador Reyes,16
341,,Jorge Berlanga,7
342,,Rafael Guerrero,10
343,,Raymundo Fulgencio,15
344,,Augusto Lotti,3
345,,Alejandro Mayorga,7
346,,Celso Ortiz,14
347,,Raúl Camacho,10
348,,Diego Campillo,5
349,,Santiago Muñoz,12
350,,Jesús Sánchez,5
351,,Jesús Dueñas,6
352,,Rodrigo Godinez,6
353,,Heriberto De Jesus,12
354,,Luis Amarilla,15
355,,Marco García,8
356,,Paolo Yrizar,2
357,,Angel Jordan,4
358,,Fernando Ordonez,6
359,,Jaime Gomez,13
360,,Mauricio Andre Isais,9
361,,Emilio Martinez,9
362,,Rodrigo Lopez,14
363,,Eduardo Armenta,12
364,,Pavel Pérez,9
365,,Dória,9
366,,José Joaquín Esquivel,13
367,,Alan Medina,13
368,,Juan Castro,11
369,,Martín Barragán,17
370,,Santiago Ormeño,7
371,,Rogelio Cortéz Pineda,7
372,,José Lozano,11
373,,Omar Moreno Villegas,4
374,,Efrain Orona,8
375,,Alexis Gutiérrez,9
376,,Ventura Alvarado,5
377,,Owen González,5
378,,Andres Colorado,10
379,,Christopher Trejo,10
380,,Rodrigo Aguirre,7
381,,Jonathan Torres,1
382,,Luis Iturbide,1
383,,Raymundo Rubio,1
384,,Diego Zago Gravito,2
385,,José Galindo,1
