#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Juan Brunetta,0.56,0.11,62.22,3.61,0,0.43
2,,Luis Cárdenas,0,0,0,0,0,0
3,,Hector Holguin,0,0,0,0,0,0
4,,Federico Mancuello,0.33,0.33,60,2.33,0,0
5,,Erick Sánchez,0.29,0,62.07,1.79,0,0
6,,Ángel Mena,0.11,0.05,63.83,1.26,0,0
7,,César López,0.5,0,0,1,0,0
8,,Guillermo Allison,0,0,0,0,0,0
9,,Álvaro Fidalgo,0.05,0.1,64.86,0.9,0,0
10,,Diego Valdés,0.5,0.44,47.22,2.81,0,0
11,,Sergio Canales,0.6,0,85.71,1.8,0,0
12,,Roberto Alvarado,0.4,0.13,48.57,1.8,0,0
13,,Julián Quiñones,0.5,0.85,35.71,3.15,0.05,0
14,,Dieter Villalpando,0.14,0.18,61.54,2,0,0
15,,Henry Martín,0.5,0.31,38.1,1.56,0.13,0
16,,Harold Preciado,0.63,0.53,28.26,3.05,0.05,0
17,,Avilés Hurtado,0.4,0.13,48.15,1.47,0,0
18,,Guillermo Martínez,0.59,0.24,50,2.94,0.24,0
19,,Tiago Volpi,0.24,0,0,0.24,0,0
20,,Uriel Antuna,0.36,0.29,57.69,2.21,0,0
21,,Antonio Rodríguez,0,0,0,0,0,0
22,,Diego Urtiaga,0,0,0,0.13,0,0
23,,Esteban Andrada,0,0,50,0.06,0,0
24,,Federico Viñas,0.5,0.31,47.83,2.94,0.19,0
25,,Hugo Gonzalez,0,0,100,0,0,0
26,,Luis Romo,0,0,51.72,1.56,0,0
27,,Nahuel Guzmán,0,0,66.67,0,0,0
28,,Unai Bilbao,0.23,0.09,50,1.05,0.09,0
29,,Brian Lozano,0,0,33.33,2.83,0,0
30,,Jaine Barreiro,0.11,0.33,42.86,1.11,0.11,0
31,,Jordan Silva,0,0,0,1.2,0,0
32,,Diego Valoyes,0.25,0.25,44.44,1.5,0,0
33,,Abraham Vargas,0.5,0,0,1.5,0,0
34,,André-Pierre Gignac,0.65,0.29,45,3,0.12,0.74
35,,Carlos Gonzalez,0.6,0.13,40,1.93,0.13,0
36,,Juan Manuel Sanabria,0.05,0.1,64,0.76,0,0
37,,Julio González,0,0,0,0,0,0
38,,Germán Berterame,0.4,0.3,76.92,2,0.1,0
39,,Marcel Ruíz,0.07,0.13,35.71,1.53,0,0
40,,Christian Rivera,0.07,0,60,0.67,0,0
41,,Ángel Sepúlveda,0.64,0.36,60,2.21,0.07,0
42,,Nico López,0.22,0.06,56.25,2.72,0,0
43,,Alfonso Blanco,0,0,0,0,0,0
44,,Stefan Medina,0.06,0.06,52.94,0.81,0.06,0
45,,Juan Dominguez,0.33,0.25,50,2,0,0
46,,Jordi Cortizo,0.08,0,71.79,1.42,0,0
47,,Alejandro Zendejas,0.24,0.14,41.86,1.48,0,0
48,,José Rivero,0.07,0,50,1.6,0,0.83
49,,Jesús Rodríguez,0,0,0,0,0,0
50,,Anderson Santamaría,0,0,75,0.33,0,0
51,,Leonardo Suárez,0.12,0.06,33.33,1.41,0,0.84
52,,Diego de Buen,0.28,0.06,50,1.06,0.11,0
53,,Josué Colmán,0.18,0.18,63.93,2.06,0,0
54,,Rafael Carioca,0.05,0,60.71,0.52,0,0
55,,Bryan Garnica,0,0.18,58.54,0.82,0,0
56,,Diego Lainez,0.19,0,52.17,0.69,0,0
57,,Fernando Beltran,0.21,0.16,53.13,1.26,0,0
58,,Richard Sánchez,0.1,0.1,76.47,0.67,0,0
59,,Brian García,0,0.06,52.94,1.06,0,0
60,,Miguel Barbieri,0,0.33,100,0.67,0,0
61,,Paul Bellón,0.2,0,100,0.5,0.2,0
62,,Arturo González,0.08,0,80,1.17,0,0
63,,Pablo Barrera,0.12,0.12,40.82,1.12,0,0
64,,Jesús Gallardo,0.07,0.07,59.09,1.07,0,0
65,,Néstor Araujo,0,0,0,0,0,0
66,,Israel Larios,0,0,57.14,2,0,0
67,,Óscar Jiménez,0,0,0,0,0,0
68,,César Bustos,0,0,100,0.5,0,0
69,,Gabriel Fernández,0.35,0.4,39.58,2.35,0.15,0
70,,Cesar Huerta,0.47,0.42,38.1,2.47,0,0
71,,Federico Lértora,0.06,0.06,47.37,1.06,0.06,0
72,,Luis Reyes,0,0,46.67,0.75,0,0
73,,Maximiliano Meza,0.18,0.12,55.56,1.65,0.06,0
74,,Elías Hernández,0,0,47.83,1.07,0,0
75,,Kevin Castañeda,0.14,0.21,60,2.36,0,1.43
76,,Abraham Bass,0,0,100,0.8,0,0
77,,Adrián Aldrete,0,0,100,0.32,0,0
78,,Aké Arnaud Loba,0.6,0,30,1.3,0.1,0
79,,Juan Zapata,0.27,0.07,45.45,2.13,0.07,3.33
80,,Javier Güemez,0.05,0,56.52,0.76,0,0
81,,Abraham Villegas Maciel,0.33,0,0,1,0,0
82,,Jesús Ricardo Angulo,0.18,0.12,48,1.18,0,0
83,,Brian Rodríguez,0.29,0.21,50,1.29,0,0
84,,Carlos Moreno,0,0,0,0,0,0
85,,Valber Huerta,0,0,100,0.81,0,0
86,,Javier Aquino,0,0,71.88,0.55,0,0
87,,Pablo Nicolás Ortíz,0,0,100,0,0,0
88,,Adrián Mora,0,0,0,0,0,0
