#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Juan Brunetta,1,0.22,0,0.28,0,0.28
2,,Luis Cárdenas,0,0,0,4,0,0
3,,Hector Holguin,0,0,0,1,0,0
4,,Federico Mancuello,1.33,1,0,1.33,0,1
5,,Erick Sánchez,1.86,1.07,0,1.14,0,1.21
6,,Ángel Mena,1.37,0.47,0,0.47,0,0.47
7,,César López,0,0,0,0,0,0
8,,Guillermo Allison,0,0,0.08,0.33,0.08,0.08
9,,Álvaro Fidalgo,1.1,0.75,0,0.6,0.05,0.85
10,,Diego Valdés,0.44,0.75,0,0.5,0,0.56
11,,Sergio Canales,0.8,0,0,0.2,0,1
12,,Roberto Alvarado,1.2,0.53,0,0.4,0,0.67
13,,Julián Quiñones,0.6,0.4,0,0.4,0,0.1
14,,Dieter Villalpando,1.55,0.32,0,0.05,0,1.09
15,,Henry Martín,0.81,0.31,0,0.44,0,0.5
16,,Harold Preciado,0.37,0.05,0,1,0,0.21
17,,Avilés Hurtado,0.93,0.4,0,0.4,0.07,0.53
18,,Guillermo Martínez,0.35,0.06,0,1.12,0,0.29
19,,Tiago Volpi,0,0,0,1.41,0.12,0
20,,Uriel Antuna,0.5,0.57,0,0.14,0,0.14
21,,Antonio Rodríguez,0,0,0,0.54,0,0
22,,Diego Urtiaga,0,0,0,1,0,0
23,,Esteban Andrada,0.11,0,0,1,0.06,0
24,,Federico Viñas,1.06,0.06,0,0.88,0,0.19
25,,Hugo Gonzalez,0,0,0,0.53,0,0.06
26,,Luis Romo,2,0.69,0,0.69,0,0.88
27,,Nahuel Guzmán,0,0,0,0.73,0.09,0
28,,Unai Bilbao,0.68,0.68,0,6,0,0.27
29,,Brian Lozano,1.83,0.5,0,0,0,0.67
30,,Jaine Barreiro,2,1,0.11,3.11,0,0.22
31,,Jordan Silva,0.8,0.8,0,2.6,0,0.4
32,,Diego Valoyes,1.25,0.25,0,0.25,0,1
33,,Abraham Vargas,4,0.5,0,1.5,0,2.5
34,,André-Pierre Gignac,0,0.18,0,0.59,0,0.35
35,,Carlos Gonzalez,0.4,0.27,0,0.6,0,0.07
36,,Juan Manuel Sanabria,2.24,1.14,0,2.43,0,1.05
37,,Julio González,0.05,0.05,0.1,1.48,0,0
38,,Germán Berterame,0.4,0.4,0,0.6,0,0.6
39,,Marcel Ruíz,2.2,0.67,0,1.07,0,1
40,,Christian Rivera,4.73,1.33,0.07,0.87,0,1.73
41,,Ángel Sepúlveda,0.57,0,0,0.29,0,0.29
42,,Nico López,0.72,0.22,0,0.17,0,0.17
43,,Alfonso Blanco,0,0,0,0,0,0
44,,Stefan Medina,2.5,1.13,0,2.63,0,0.69
45,,Juan Dominguez,0.92,0.33,0,0.17,0,0.75
46,,Jordi Cortizo,1.75,0.5,0,0,0,1.42
47,,Alejandro Zendejas,1.86,0.71,0,0.29,0,0.52
48,,José Rivero,2.2,0.6,0.07,1.8,0,2.2
49,,Jesús Rodríguez,0,0,0.11,0.56,0.06,0.17
50,,Anderson Santamaría,2.56,1.78,0,3.67,0,0.44
51,,Leonardo Suárez,0.82,0.35,0,0.12,0,0.53
52,,Diego de Buen,1.72,1.28,0.06,2.28,0,0.94
53,,Josué Colmán,0.76,0.41,0,0.47,0,0.65
54,,Rafael Carioca,2.33,0.86,0,0.67,0.05,0.9
55,,Bryan Garnica,0.76,0.47,0,0.59,0,0.71
56,,Diego Lainez,1.5,0.63,0,0.56,0,0.75
57,,Fernando Beltran,1.95,0.79,0,0.11,0,1.11
58,,Richard Sánchez,0.86,0.29,0,0.43,0,0.95
59,,Brian García,1.56,1.38,0,1.63,0,1
60,,Miguel Barbieri,1.89,1.78,0,6.11,0,0.67
61,,Paul Bellón,1.8,1.5,0,3.4,0.1,1
62,,Arturo González,1.08,0.33,0,0.17,0,0.25
63,,Pablo Barrera,1.35,0.65,0,0,0,0.88
64,,Jesús Gallardo,2.47,0.73,0,1.6,0.07,1
65,,Néstor Araujo,2,2,0,5,0,0
66,,Israel Larios,0,0,0,0,0,1
67,,Óscar Jiménez,0.25,0,0,0,0,0
68,,César Bustos,2.5,0.5,0,0.75,0,0.5
69,,Gabriel Fernández,0.7,0.15,0,0.95,0,0.4
70,,Cesar Huerta,2.79,0.53,0,0,0,1.21
71,,Federico Lértora,2.13,1.44,0,1.88,0,1.5
72,,Luis Reyes,2.44,1.38,0.13,1.44,0,0.75
73,,Maximiliano Meza,1.82,0.71,0,0.53,0,1.24
74,,Elías Hernández,1,0.4,0,0.07,0,0.4
75,,Kevin Castañeda,0.79,0.21,0,0.14,0,0.5
76,,Abraham Bass,1.6,1.4,0,1,0,0.8
77,,Adrián Aldrete,1.05,1.16,0,2.63,0,0.53
78,,Aké Arnaud Loba,0.4,0,0,0.6,0,0.3
79,,Juan Zapata,1.6,0.47,0,0.4,0,0.53
80,,Javier Güemez,2.1,0.62,0,1.48,0,1.1
81,,Abraham Villegas Maciel,5.33,0,0,1.33,0,2.33
82,,Jesús Ricardo Angulo,1,0.12,0,0,0.06,0.24
83,,Brian Rodríguez,0.43,0.14,0,0.07,0,0.29
84,,Carlos Moreno,0.07,0.07,0.07,0.64,0.21,0.07
85,,Valber Huerta,1.5,0.94,0.06,3.44,0,0.5
86,,Javier Aquino,2.5,1.23,0.09,1.23,0,1
87,,Pablo Nicolás Ortíz,1.8,0.8,0,1.2,0,1
88,,Adrián Mora,0,1.5,0,3,0,0.5
89,,Luis Quiñones,1.58,0.47,0,0.79,0,1.58
90,,Jesús Angulo,2.59,1.23,0.05,1.73,0,0.68
91,,Jonathan Dos Santos,1.83,1.43,0,0.65,0,1.09
92,,Nicolás Díaz,2.25,1.63,0,4.06,0.06,0.19
93,,Alan Montes,1.94,1.47,0,4.06,0,0.41
94,,Félix Torres,1.06,2.28,0.06,4.5,0,0.17
95,,Ricardo Monreal,0.56,0.11,0,0.22,0,0.56
96,,Sebastián Vegas,1.27,1.13,0,3.27,0,1.13
97,,Victor Dávila,0.33,0,0,0.33,0,0.67
98,,Christian Oliva,1.3,0.2,0,0.6,0,0.7
99,,Facundo Batista,0.33,0,0,1.4,0,0.53
100,,Carlos Rotondi,3.07,0.8,0,1.93,0,1.4
101,,Andrés Mosquera,1.38,0.94,0,3.94,0,0.44
102,,Jesús Rivas,2.5,0.63,0,1.88,0,0.63
103,,Jonathan Rodríguez,0.76,0.06,0,0.41,0,0.35
104,,José Castillo,2.33,0.89,0,2.22,0,0.22
105,,Alejandro Andrade,1.5,0.33,0.17,0.5,0,0.5
106,,Brayan Angulo,1.72,1.11,0,1,0,0.94
107,,Nicolás Ibáñez,0.4,0.05,0,0.4,0,0.25
108,,Gilberto Sepúlveda,0.87,1.73,0,2.6,0,0.27
109,,Osvaldo Rodríguez,2,1.11,0,1.89,0,0.56
110,,Fernando Madrigal,0.93,0.33,0,0.4,0,0.8
111,,Igor Lichnovsky,0.56,1.44,0,3.56,0.06,0.13
112,,Ricardo Chávez,1.9,1.05,0.05,2.52,0,0.71
113,,Fidel Ambríz,1.43,0.29,0,0.36,0,1
114,,Lucas Rodríguez,2.07,0.6,0,0.13,0,0.73
115,,Fernando Gorriarán,1.32,0.32,0,0.68,0,0.77
116,,Gastón Silva,2.11,1.06,0.06,4.28,0,1
117,,Diego Barbosa,4.5,1,0,1.81,0,1.38
118,,Domingo Blanco,2.45,0.64,0,0,0,0.27
119,,Omar Govea,0.88,0.76,0.06,0.53,0,0.41
120,,Jean Meneses,1.13,0.4,0,0.07,0,0.47
121,,Rodrigo Dourado,3.1,1.29,0,1.67,0,1.19
122,,Maximiliano Araújo,1.24,0.59,0,0.47,0,0.76
