#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Juan Brunetta,0.28,0,31.82,50.92,1.67,0.78
2,,Luis Cárdenas,0,0,100,100,0,0
3,,Hector Holguin,0.5,0,0,0,0,0
4,,Federico Mancuello,0,0,0,41.18,0,0.67
5,,Erick Sánchez,0.29,0,41.67,54.49,2.29,1.36
6,,Ángel Mena,0.26,0,38.1,55.29,1.63,1.05
7,,César López,0,0,100,50,0,0.5
8,,Guillermo Allison,0.08,0,50,42.86,0.17,0.17
9,,Álvaro Fidalgo,0.05,0,58.33,56.85,1.55,0.2
10,,Diego Valdés,0,0,30,43.79,1.94,0.75
11,,Sergio Canales,0,0,28.57,54.05,1.6,0.4
12,,Roberto Alvarado,0.33,0,53.85,47.29,1.53,1.07
13,,Julián Quiñones,0.15,0,38.1,39.49,1.7,1.2
14,,Dieter Villalpando,0.18,0,22.22,55.16,2.05,0.5
15,,Henry Martín,0.06,0,37.7,42.38,1.25,1.06
16,,Harold Preciado,0.26,0,51.46,44.07,1.68,1.16
17,,Avilés Hurtado,0.2,0.07,38.46,50.71,2.27,1
18,,Guillermo Martínez,0.35,0,64.17,50.4,1.82,2
19,,Tiago Volpi,0.18,0,71.43,70,0.12,0
20,,Uriel Antuna,0.14,0,28.57,50.5,1.64,0.36
21,,Antonio Rodríguez,0,0,100,100,0.08,0
22,,Diego Urtiaga,0.25,0,100,100,0.25,0
23,,Esteban Andrada,0.22,0,92.86,88.89,0.39,0
24,,Federico Viñas,0.19,0,48.57,52.5,1.38,0.75
25,,Hugo Gonzalez,0.24,0,100,85.71,0.12,0
26,,Luis Romo,0.13,0,64.58,56.95,0.56,0.69
27,,Nahuel Guzmán,0.18,0.05,100,84.62,0.18,0.05
28,,Unai Bilbao,0.14,0,64.52,63.43,0.41,0.32
29,,Brian Lozano,0.17,0.17,33.33,46.88,1.67,1.33
30,,Jaine Barreiro,0.44,0,73.68,58.11,0.89,1.78
31,,Jordan Silva,0,0,68,68.75,0.2,0
32,,Diego Valoyes,0.25,0,66.67,52.83,2.75,2.25
33,,Abraham Vargas,0.5,0,100,52.63,0.5,1.5
34,,André-Pierre Gignac,0.29,0,35.9,37.11,0.76,0.65
35,,Carlos Gonzalez,0,0.07,50.99,49.36,1.53,0.8
36,,Juan Manuel Sanabria,0.19,0,68.89,58.52,0.43,0.9
37,,Julio González,0.14,0,100,84.62,0.14,0.1
38,,Germán Berterame,0.1,0,40,53.42,1.3,0.5
39,,Marcel Ruíz,0.2,0,46.67,58.33,1.67,0.73
40,,Christian Rivera,0.27,0.07,57.78,58.59,1.8,2.27
41,,Ángel Sepúlveda,0.29,0,52.99,49.45,0.86,0.93
42,,Nico López,0.17,0,0,43.75,0.61,0.5
43,,Alfonso Blanco,0,0,0,0,0,0
44,,Stefan Medina,0.13,0,63.04,60.65,1,1.19
45,,Juan Dominguez,0.08,0.08,26.67,41.46,1.42,0.75
46,,Jordi Cortizo,0.5,0,42.86,57.45,2.42,1.25
47,,Alejandro Zendejas,0.14,0,23.53,50.28,1.38,0.95
48,,José Rivero,0.33,0,40,45.16,1.53,1.33
49,,Jesús Rodríguez,0.17,0,0,20,0.06,0.11
50,,Anderson Santamaría,0.44,0.11,55,60.87,0.89,1.33
51,,Leonardo Suárez,0.18,0,25,49.21,0.71,0.24
52,,Diego de Buen,0.17,0,65.08,57.76,0.83,0.72
53,,Josué Colmán,0.06,0,58.33,51.13,0.59,0.41
54,,Rafael Carioca,0.19,0,20,54.8,1.38,1.05
55,,Bryan Garnica,0.18,0,35.71,50.35,1.47,0.41
