#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Juan Brunetta,0.94,0.61,35.89,81.27,12.44,64.38
2,,Luis Cárdenas,0,0,53,86.79,1,53.33
3,,Hector Holguin,0,0,23.5,68.09,3,48.28
4,,Federico Mancuello,0.33,0.33,49,84.35,9.33,38.46
5,,Erick Sánchez,0.14,0.14,50.07,79.46,15,60.98
6,,Ángel Mena,0.58,0.26,38.58,89.09,15.53,72.5
7,,César López,0,0,0,0,0,0
8,,Guillermo Allison,0,0,26.83,57.14,3.33,44.31
9,,Álvaro Fidalgo,0.3,0.2,80.8,92.2,19.8,67.74
10,,Diego Valdés,0.19,0.13,38.69,83.36,13.25,78.79
11,,Sergio Canales,0,0,35.2,81.82,15.4,42.86
12,,Roberto Alvarado,0.4,0.07,38.87,78.22,13.8,55.56
13,,Julián Quiñones,0.45,0.25,24,78.96,7.5,67.74
14,,Dieter Villalpando,0.36,0.23,47.59,86.06,14.09,74.76
15,,Henry Martín,0.56,0.31,18.94,76.57,6.31,54.55
16,,Harold Preciado,0.05,0.16,19.63,71.31,7.11,80
17,,Avilés Hurtado,0.33,0.2,28.13,79.38,9.53,51.43
18,,Guillermo Martínez,0.12,0,18.24,70.32,5.29,73.91
19,,Tiago Volpi,0,0,30.29,73.79,1.53,43.78
20,,Uriel Antuna,0.14,0.29,31.36,83.83,8.57,53.85
21,,Antonio Rodríguez,0,0,31.92,72.53,1.62,48.65
22,,Diego Urtiaga,0,0,23.75,78.42,0.38,39.06
23,,Esteban Andrada,0,0,35.33,78.93,0.78,49.22
24,,Federico Viñas,0.13,0.13,10.94,69.71,3.81,25
25,,Hugo Gonzalez,0,0,31.76,67.22,1.47,47.26
26,,Luis Romo,0.19,0.13,59.75,84.1,14.56,62.07
27,,Nahuel Guzmán,0,0,39.09,77.44,0.95,50.55
28,,Unai Bilbao,0.05,0.05,54.77,90.12,3.27,66.48
29,,Brian Lozano,0.67,0.33,35.17,77.25,9,67.57
30,,Jaine Barreiro,0.11,0.11,45.44,82.4,9.11,51.95
31,,Jordan Silva,0,0,36.4,92.31,2.6,82.35
32,,Diego Valoyes,0.25,0.5,14,78.57,4.75,100
33,,Abraham Vargas,0,0,38,89.47,6.5,0
34,,André-Pierre Gignac,0.18,0.24,16.65,75.97,4.47,68.97
35,,Carlos Gonzalez,0.13,0.07,24.07,60.94,6.2,57.89
36,,Juan Manuel Sanabria,0.29,0.24,42.29,79.39,7.19,36.97
37,,Julio González,0,0,25.81,63.84,1.48,44.15
38,,Germán Berterame,0.1,0.1,18.7,81.82,5.6,36.36
39,,Marcel Ruíz,0.27,0.27,49.2,87.26,9.87,64.58
40,,Christian Rivera,0.07,0,54.2,87.33,7.33,66.35
41,,Ángel Sepúlveda,0.14,0,19.64,67.64,5.93,68.75
42,,Nico López,0.44,0.06,18.28,75.68,6.28,40
43,,Alfonso Blanco,0,0,15,93.33,0,66.67
