#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Juan Brunetta,0,0.06,0,0,1.61,0.33
2,,Luis Cárdenas,3,1,0,0,0,0
3,,Hector Holguin,5.5,0,0.5,0.5,1.5,0
4,,Federico Mancuello,0,0,0,0,2.33,0
5,,Erick Sánchez,0,0.07,0,0,1.29,0.14
6,,Ángel Mena,0,0.11,0,0,1.05,0.11
7,,César López,0,0,0,0,0,0
8,,Guillermo Allison,4.58,0.33,0.25,0,1.33,0.08
9,,Álvaro Fidalgo,0,0.45,0,0,0.55,0.15
10,,Diego Valdés,0,0.13,0,0,0.81,0.13
11,,Sergio Canales,0,0,0,0,1.2,0.2
12,,Roberto Alvarado,0,0.27,0,0,1.13,0.33
13,,Julián Quiñones,0,0.05,0,0,0.65,0.15
14,,Dieter Villalpando,0,0,0,0,1.18,0.18
15,,Henry Martín,0,0.25,0,0,0.31,0.13
16,,Harold Preciado,0,0.05,0,0,1.47,0.26
17,,Avilés Hurtado,0,0,0,0,1.47,0.2
18,,Guillermo Martínez,0,0.12,0,0,1.47,0.18
19,,Tiago Volpi,3.94,0.29,0.06,0,0.94,0.18
20,,Uriel Antuna,0,0.07,0,0,1.21,0.36
21,,Antonio Rodríguez,3.69,0.15,0.08,0.08,1.23,0.15
22,,Diego Urtiaga,3.88,0.38,0.13,0,1.25,0
23,,Esteban Andrada,3,0.33,0.22,0.06,0.89,0.06
24,,Federico Viñas,0,0,0,0,1.19,0.06
25,,Hugo Gonzalez,3.47,0.24,0.18,0.12,1.12,0.35
26,,Luis Romo,0,0.13,0,0,0.94,0.06
27,,Nahuel Guzmán,3.36,0.32,0.14,0.05,0.82,0.23
28,,Unai Bilbao,0,0.23,0,0,1.27,0.23
29,,Brian Lozano,0,0.17,0,0,0.33,0
30,,Jaine Barreiro,0,0.11,0,0,1,0.11
31,,Jordan Silva,0,0.2,0,0,0.8,0
32,,Diego Valoyes,0,0,0,0,1.25,0.5
33,,Abraham Vargas,0,0,0,0,0,0.5
34,,André-Pierre Gignac,0,0.18,0,0,0.71,0.18
35,,Carlos Gonzalez,0,0.07,0,0,1.07,0.2
36,,Juan Manuel Sanabria,0,0.29,0,0,1.24,0.24
37,,Julio González,3.14,0.29,0.19,0.1,0.81,0.19
38,,Germán Berterame,0,0.1,0,0,0.3,0
39,,Marcel Ruíz,0,0.07,0,0,0.73,0.13
40,,Christian Rivera,0,0.13,0,0,1.13,0.13
41,,Ángel Sepúlveda,0,0.14,0,0,0.93,0
42,,Nico López,0,0,0,0,0.72,0
43,,Alfonso Blanco,3,0,1,0,1,0
44,,Stefan Medina,0,0.31,0,0,0.94,0.06
45,,Juan Dominguez,0,0.17,0,0,0.75,0.17
46,,Jordi Cortizo,0,0,0,0,0.83,0.08
47,,Alejandro Zendejas,0,0.14,0,0,0.48,0
48,,José Rivero,0,0.13,0,0,1.27,0.2
49,,Jesús Rodríguez,4.17,0.11,0.33,0.06,1.5,0.17
50,,Anderson Santamaría,0,0.33,0,0,0.78,0.22
51,,Leonardo Suárez,0,0,0,0,0.24,0.12
52,,Diego de Buen,0,0.11,0,0,1.5,0.17
53,,Josué Colmán,0,0.12,0,0,0.94,0.29
54,,Rafael Carioca,0,0.29,0,0,0.86,0.24
55,,Bryan Garnica,0,0.12,0,0,1.06,0.29
56,,Diego Lainez,0,0.06,0,0,0.63,0.13
57,,Fernando Beltran,0,0.26,0,0,0.95,0.21
58,,Richard Sánchez,0,0.1,0,0,0.33,0.05
59,,Brian García,0,0.13,0,0,0.81,0.13
60,,Miguel Barbieri,0,0.33,0,0,1,0.11
61,,Paul Bellón,0,0.3,0,0,1.1,0.1
62,,Arturo González,0,0.08,0,0,0.58,0
63,,Pablo Barrera,0,0,0,0,1.47,0.06
64,,Jesús Gallardo,0,0.27,0,0,0.93,0.07
65,,Néstor Araujo,0,0.5,0,0,0.5,0.5
66,,Israel Larios,0,0,0,0,1,0
67,,Óscar Jiménez,3.25,0.5,0,0,0.5,0.25
68,,César Bustos,0,0.5,0,0,0.25,0
69,,Gabriel Fernández,0,0,0,0,0.55,0.2
70,,Cesar Huerta,0,0.26,0,0,0.84,0.16
71,,Federico Lértora,0,0.25,0,0,1.56,0.06
72,,Luis Reyes,0,0.25,0,0,0.94,0.44
