#,Team,Name
1,,Luis Cárdenas
2,,Hector Holguin
3,,Guillermo Allison
4,,Tiago Volpi
5,,Antonio Rodríguez
6,,Diego Urtiaga
7,,Esteban Andrada
8,,Hugo Gonzalez
9,,Nahuel Guzmán
10,,Julio González
11,,Alfonso Blanco
12,,Jesús Rodríguez
13,,Óscar Jiménez
14,,Carlos Moreno
15,,Ricardo Gutierrez
16,,Andrés Gudiño
17,,José Rangel
18,,Ezequiel Unsaín
19,,Camilo Vargas
20,,Miguel Jiménez
21,,Ramón Pasquel
22,,Raúl Gudiño
23,,Carlos Acevedo
24,,Luis Malagón
25,,Rodolfo Cota
26,,Alfredo Talavera
27,,Carlos Rodríguez
28,,Andrés Sánchez
29,,Gibran Lajud
30,,Fernando Tapia
31,,Jesús Corona
32,,Óscar Ustari
33,,Sebastián Jurado
