#,Team,Name
1,,Federico Mancuello
2,,Ángel Mena
3,,Guillermo Allison
4,,Sergio Canales
5,,Dieter Villalpando
6,,Henry Martín
7,,Avilés Hurtado
8,,Tiago Volpi
9,,Antonio Rodríguez
10,,Esteban Andrada
11,,Hugo Gonzalez
12,,Nahuel Guzmán
13,,André-Pierre Gignac
14,,Julio González
15,,Ángel Sepúlveda
16,,Alfonso Blanco
17,,Stefan Medina
18,,José Rivero
19,,Anderson Santamaría
20,,Diego de Buen
21,,Rafael Carioca
22,,Pablo Barrera
23,,Néstor Araujo
24,,Óscar Jiménez
25,,Federico Lértora
26,,Luis Reyes
27,,Maximiliano Meza
28,,Elías Hernández
29,,Adrián Aldrete
30,,Javier Güemez
31,,Javier Aquino
32,,Luis Quiñones
33,,Jonathan Dos Santos
34,,Andrés Mosquera
35,,Brayan Angulo
36,,Fernando Madrigal
37,,Eduardo Salvio
38,,Miguel Layún
39,,Néstor Vidrio
40,,Hugo Nervo
41,,Diego Reyes
42,,Héctor Moreno
43,,Camilo Vargas
44,,Rogelio Funes Mori
45,,Luis Fuentes
46,,Gustavo Cabral
47,,Pablo González
48,,Miguel Jiménez
49,,Aldo Rocha
50,,Julio Furch
51,,Julio César Domínguez
52,,Isaac Brizuela
53,,Alexis Canelo
54,,Juan Vigón
55,,Jürgen Damm
56,,Rodolfo Cota
57,,Arturo Ortiz
58,,Jesús Molina
59,,Guido Pizarro
60,,Camilo Sanvezzo
61,,Gabriel Carabajal
62,,Alfredo Talavera
63,,Luís Rodríguez
64,,Edgar Méndez
65,,Jhon Chancellor
66,,William Tesillo
67,,Carlos Rodríguez
68,,Fernando Navarro
69,,Augusto Solari
70,,Carlos Orrantia
71,,Amaury Escoto
72,,Miguel Sansores
73,,Javier Correa
74,,Hugo Rodríguez
75,,Omar Mendoza
76,,Hiram Mier
77,,Celso Ortiz
78,,Jesús Sánchez
79,,Jesús Dueñas
80,,Rodrigo Godinez
81,,Juan Castro
82,,Martín Barragán
83,,Ventura Alvarado
84,,José Madueña
85,,Mario Osuna
86,,Braian Romero
87,,Jesús Corona
88,,Óscar Ustari
