Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Juan Brunetta,0.56,0.11,62.22,3.61,0,0.43,1,0.22,0,0.28,0,0.28,0.94,0.61,35.89,81.27,12.44,64.38,0,0.06,0,0,1.61,0.33,0.28,0,31.82,50.92,1.67,0.78,18
Luis Cárdenas,0,0,0,0,0,0,0,0,0,4,0,0,0,0,53,86.79,1,53.33,3,1,0,0,0,0,0,0,100,100,0,0,1
Hector Holguin,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23.5,68.09,3,48.28,5.5,0,0.5,0.5,1.5,0,0.5,0,0,0,0,0,2
Federico Mancuello,0.33,0.33,60,2.33,0,0,1.33,1,0,1.33,0,1,0.33,0.33,49,84.35,9.33,38.46,0,0,0,0,2.33,0,0,0,0,41.18,0,0.67,3
Erick Sánchez,0.29,0,62.07,1.79,0,0,1.86,1.07,0,1.14,0,1.21,0.14,0.14,50.07,79.46,15,60.98,0,0.07,0,0,1.29,0.14,0.29,0,41.67,54.49,2.29,1.36,14
Ángel Mena,0.11,0.05,63.83,1.26,0,0,1.37,0.47,0,0.47,0,0.47,0.58,0.26,38.58,89.09,15.53,72.5,0,0.11,0,0,1.05,0.11,0.26,0,38.1,55.29,1.63,1.05,19
César López,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0.5,2
Guillermo Allison,0,0,0,0,0,0,0,0,0.08,0.33,0.08,0.08,0,0,26.83,57.14,3.33,44.31,4.58,0.33,0.25,0,1.33,0.08,0.08,0,50,42.86,0.17,0.17,12
Álvaro Fidalgo,0.05,0.1,64.86,0.9,0,0,1.1,0.75,0,0.6,0.05,0.85,0.3,0.2,80.8,92.2,19.8,67.74,0,0.45,0,0,0.55,0.15,0.05,0,58.33,56.85,1.55,0.2,20
Diego Valdés,0.5,0.44,47.22,2.81,0,0,0.44,0.75,0,0.5,0,0.56,0.19,0.13,38.69,83.36,13.25,78.79,0,0.13,0,0,0.81,0.13,0,0,30,43.79,1.94,0.75,16
Sergio Canales,0.6,0,85.71,1.8,0,0,0.8,0,0,0.2,0,1,0,0,35.2,81.82,15.4,42.86,0,0,0,0,1.2,0.2,0,0,28.57,54.05,1.6,0.4,5
Roberto Alvarado,0.4,0.13,48.57,1.8,0,0,1.2,0.53,0,0.4,0,0.67,0.4,0.07,38.87,78.22,13.8,55.56,0,0.27,0,0,1.13,0.33,0.33,0,53.85,47.29,1.53,1.07,15
Julián Quiñones,0.5,0.85,35.71,3.15,0.05,0,0.6,0.4,0,0.4,0,0.1,0.45,0.25,24,78.96,7.5,67.74,0,0.05,0,0,0.65,0.15,0.15,0,38.1,39.49,1.7,1.2,20
Dieter Villalpando,0.14,0.18,61.54,2,0,0,1.55,0.32,0,0.05,0,1.09,0.36,0.23,47.59,86.06,14.09,74.76,0,0,0,0,1.18,0.18,0.18,0,22.22,55.16,2.05,0.5,22
Henry Martín,0.5,0.31,38.1,1.56,0.13,0,0.81,0.31,0,0.44,0,0.5,0.56,0.31,18.94,76.57,6.31,54.55,0,0.25,0,0,0.31,0.13,0.06,0,37.7,42.38,1.25,1.06,16
Harold Preciado,0.63,0.53,28.26,3.05,0.05,0,0.37,0.05,0,1,0,0.21,0.05,0.16,19.63,71.31,7.11,80,0,0.05,0,0,1.47,0.26,0.26,0,51.46,44.07,1.68,1.16,19
Avilés Hurtado,0.4,0.13,48.15,1.47,0,0,0.93,0.4,0,0.4,0.07,0.53,0.33,0.2,28.13,79.38,9.53,51.43,0,0,0,0,1.47,0.2,0.2,0.07,38.46,50.71,2.27,1,15
Guillermo Martínez,0.59,0.24,50,2.94,0.24,0,0.35,0.06,0,1.12,0,0.29,0.12,0,18.24,70.32,5.29,73.91,0,0.12,0,0,1.47,0.18,0.35,0,64.17,50.4,1.82,2,17
Tiago Volpi,0.24,0,0,0.24,0,0,0,0,0,1.41,0.12,0,0,0,30.29,73.79,1.53,43.78,3.94,0.29,0.06,0,0.94,0.18,0.18,0,71.43,70,0.12,0,17
Uriel Antuna,0.36,0.29,57.69,2.21,0,0,0.5,0.57,0,0.14,0,0.14,0.14,0.29,31.36,83.83,8.57,53.85,0,0.07,0,0,1.21,0.36,0.14,0,28.57,50.5,1.64,0.36,14
Antonio Rodríguez,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,31.92,72.53,1.62,48.65,3.69,0.15,0.08,0.08,1.23,0.15,0,0,100,100,0.08,0,13
Diego Urtiaga,0,0,0,0.13,0,0,0,0,0,1,0,0,0,0,23.75,78.42,0.38,39.06,3.88,0.38,0.13,0,1.25,0,0.25,0,100,100,0.25,0,8
Esteban Andrada,0,0,50,0.06,0,0,0.11,0,0,1,0.06,0,0,0,35.33,78.93,0.78,49.22,3,0.33,0.22,0.06,0.89,0.06,0.22,0,92.86,88.89,0.39,0,18
Federico Viñas,0.5,0.31,47.83,2.94,0.19,0,1.06,0.06,0,0.88,0,0.19,0.13,0.13,10.94,69.71,3.81,25,0,0,0,0,1.19,0.06,0.19,0,48.57,52.5,1.38,0.75,16
Hugo Gonzalez,0,0,100,0,0,0,0,0,0,0.53,0,0.06,0,0,31.76,67.22,1.47,47.26,3.47,0.24,0.18,0.12,1.12,0.35,0.24,0,100,85.71,0.12,0,17
Luis Romo,0,0,51.72,1.56,0,0,2,0.69,0,0.69,0,0.88,0.19,0.13,59.75,84.1,14.56,62.07,0,0.13,0,0,0.94,0.06,0.13,0,64.58,56.95,0.56,0.69,16
Nahuel Guzmán,0,0,66.67,0,0,0,0,0,0,0.73,0.09,0,0,0,39.09,77.44,0.95,50.55,3.36,0.32,0.14,0.05,0.82,0.23,0.18,0.05,100,84.62,0.18,0.05,22
Unai Bilbao,0.23,0.09,50,1.05,0.09,0,0.68,0.68,0,6,0,0.27,0.05,0.05,54.77,90.12,3.27,66.48,0,0.23,0,0,1.27,0.23,0.14,0,64.52,63.43,0.41,0.32,22
Brian Lozano,0,0,33.33,2.83,0,0,1.83,0.5,0,0,0,0.67,0.67,0.33,35.17,77.25,9,67.57,0,0.17,0,0,0.33,0,0.17,0.17,33.33,46.88,1.67,1.33,6
