#,Team,Name,Appearances
1,,Amahl Pellegrino,29
2,,Zlatko Tripić,29
3,,Jarik Sundling,1
4,,Gjermund Åsen,30
5,,Patrick Berg,30
6,,Gustav Valsvik,30
7,,Victor Torp,30
8,,Herman Stengel,28
9,,Mathias Rasmussen,12
10,,Joachim Soltvedt,29
11,,Akor Adams,15
12,,Emil Frederiksen,12
13,,Jesper Taaje,26
14,,Sivert Heltne Nilsen,29
15,,Magnus Wolff Eikrem,20
16,,Jonas Torsvik,4
17,,Espen Ruud,24
18,,Bård Finne,29
19,,Kristoffer Haugen,19
20,,Eirik Haugan,20
21,,Emil Breivik,28
22,,Andrej Ilić,13
23,,Anders Hartveit Ryste,3
24,,Magnus Brondbo,1
25,,Albert Grønbæk,28
26,,Jostein Gundersen,26
27,,Carlo Holse,16
28,,Franklin Tebo,9
29,,Filip Ottosson,30
30,,Viljar Myhra,30
31,,Bjorn Utvik,27
32,,Egil Selvik,29
33,,Diogo Tomas,24
34,,Lars Christopher Vilsvik,24
35,,Niklas Sandberg,22
36,,Ole Christian Saeter,12
37,,Mikkel Maigaard,29
38,,Leopold Wahlstedt,17
39,,Nicolai Naess,29
40,,Niklas Castro,20
41,,Odin Luras Bjortuft,25
42,,Ruben Kristiansen,13
43,,Espen Bjørnsen Garnås,27
44,,Christopher Baah,12
45,,Henrik Heggheim,9
46,,Kevin Martin Krygard,26
47,,David Brekalo,23
48,,Conrad Wallem,12
49,,Ramon Pascal Lundqvist,30
50,,Casper Öyvann,23
51,,Fredrik André Bjørkan,25
52,,Amund Wichne,2
53,,Vegard Erlien,30
54,,Benjamin Hansen,14
55,,Sondre Solholm Johansen,18
56,,Brede Moe,24
57,,Sivert Mannsverk,16
58,,Japhet Sery Larsen,24
59,,Ole Didrik Blomberg,17
60,,Henrik Wendel Meister,3
61,,Stefan Strandberg,25
62,,Ruben Gabrielsen,26
63,,Joel Mugisha Mvuka,12
64,,Sander Tangvik,9
65,,Sander Svendsen,30
66,,Thomas Lehne Olsen,26
67,,Faris Pemi Moumbagna,28
68,,Sakarias Opsahl,28
69,,Kent-Are Antonsen,29
70,,Ola Brynhildsen,15
