#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Amahl Pellegrino,0.83,0.72,60,3.66,0.07,0.43
2,,Zlatko Tripić,0.45,0.07,30.23,1.86,0,0.43
3,,Jarik Sundling,0,0,0,0,0,0
4,,Gjermund Åsen,0.13,0,39.29,1.23,0.03,1.11
5,,Patrick Berg,0.1,0,69.57,2.2,0,0
6,,Gustav Valsvik,0.17,0.1,62.5,1.87,0.1,0
7,,Victor Torp,0.2,0.03,72.6,2.7,0.03,0
8,,Herman Stengel,0.21,0.04,56.25,1.21,0,0
9,,Mathias Rasmussen,0,0,61.11,1.92,0,0
10,,Joachim Soltvedt,0.17,0,63.16,1.38,0,0.49
11,,Akor Adams,1,0.67,38.71,5.13,0.27,0
12,,Emil Frederiksen,0.17,0.17,63.41,3.17,0,0
13,,Jesper Taaje,0.12,0.04,100,1.23,0.08,0
14,,Sivert Heltne Nilsen,0.31,0.1,83.33,1.17,0.1,0
15,,Magnus Wolff Eikrem,0.3,0.05,50,1.5,0,1.43
16,,Jonas Torsvik,0.25,0,85.71,1.75,0,0
17,,Espen Ruud,0.13,0.13,50,0.92,0,0
18,,Bård Finne,0.55,0.38,59.26,4.52,0,0.43
19,,Kristoffer Haugen,0.21,0.11,38.1,1.05,0,2.63
20,,Eirik Haugan,0,0,83.33,0.45,0,0
21,,Emil Breivik,0.25,0.11,50,1.86,0,0
22,,Andrej Ilić,0.69,0.38,42.86,3,0.38,0
23,,Anders Hartveit Ryste,0,0,0,0,0,0
24,,Magnus Brondbo,0,0,0,0,0,0
25,,Albert Grønbæk,0.32,0.18,56.1,2.5,0,0
26,,Jostein Gundersen,0.08,0,50,0.85,0.08,0
27,,Carlo Holse,0.19,0.31,55.56,3,0.06,0
28,,Franklin Tebo,0,0,71.43,0.56,0,0
29,,Filip Ottosson,0.07,0,71.43,0.9,0,1.11
30,,Viljar Myhra,0,0,0,0,0,0
31,,Bjorn Utvik,0.15,0.04,80,0.93,0.15,0
32,,Egil Selvik,0,0,0,0,0,0
33,,Diogo Tomas,0.04,0.08,57.14,0.5,0.04,0
34,,Lars Christopher Vilsvik,0.04,0,57.14,1.08,0,0
35,,Niklas Sandberg,0.23,0,70.59,1.18,0,2.27
36,,Ole Christian Saeter,0.67,0.42,52.63,2.42,0.08,0
37,,Mikkel Maigaard,0.31,0.14,44.83,2.31,0.17,0
38,,Leopold Wahlstedt,0,0,0,0,0,0
39,,Nicolai Naess,0.03,0.07,68.42,0.86,0,0
40,,Niklas Castro,0.35,0,41.46,1.45,0,0
41,,Odin Luras Bjortuft,0,0.04,90,0.44,0,0
42,,Ruben Kristiansen,0,0,92.31,0,0,0
43,,Espen Bjørnsen Garnås,0.11,0.07,62.5,0.85,0.11,0
44,,Christopher Baah,0.08,0.08,71.08,1.92,0,0
45,,Henrik Heggheim,0,0,80,0.56,0,0
46,,Kevin Martin Krygard,0.04,0,73.33,0.31,0,0
47,,David Brekalo,0.13,0.17,100,0.91,0.13,0
48,,Conrad Wallem,0.08,0,68.57,0.5,0.08,0
49,,Ramon Pascal Lundqvist,0.2,0.2,52.94,2.33,0.1,0
50,,Casper Öyvann,0,0.04,85.71,0.48,0,0
51,,Fredrik André Bjørkan,0.04,0.08,69.15,0.56,0,0
52,,Amund Wichne,0,0,0,0,0,0
53,,Vegard Erlien,0.5,0.1,39.58,2.27,0.07,0
54,,Benjamin Hansen,0.07,0.07,0,0.14,0.07,0
55,,Sondre Solholm Johansen,0.11,0.06,75,0.33,0.11,0
56,,Brede Moe,0.04,0.13,60,0.46,0,0
57,,Sivert Mannsverk,0.19,0.06,78.95,2.06,0,0
58,,Japhet Sery Larsen,0,0.13,63.64,0.67,0,0
59,,Ole Didrik Blomberg,0.06,0.12,52.75,1.65,0,0
60,,Henrik Wendel Meister,0.33,0,80,0.33,0,0
61,,Stefan Strandberg,0.12,0.04,100,0.36,0,0
62,,Ruben Gabrielsen,0.04,0.08,77.78,0.69,0,0
63,,Joel Mugisha Mvuka,0.25,0.08,53.57,1.17,0,0
64,,Sander Tangvik,0,0,0,0,0,0
65,,Sander Svendsen,0.17,0,59.38,1.6,0.03,0
66,,Thomas Lehne Olsen,0.54,0.54,40,3.27,0.08,0
67,,Faris Pemi Moumbagna,0.54,0.61,50,2.36,0.14,0
68,,Sakarias Opsahl,0.04,0.04,67.35,1.21,0,0
69,,Kent-Are Antonsen,0.03,0,40,0.72,0,0
70,,Ola Brynhildsen,0.47,0.4,39.29,2.67,0,0
71,,Hilmir Rafn Mikaelsson,0,0,0,1,0,0
72,,Erlend Dahl Reitan,0,0.05,60,0.3,0,0
73,,Marius Lode,0,0,100,0,0,0
74,,Vetle Walle Egeli,0.04,0.04,60.61,1.19,0,0
75,,Vebjørn Hoff,0,0,68,0.59,0,0
76,,Ole Selnaes,0,0.11,66.67,0.22,0,0
77,,Fredrik Knudsen,0.04,0.04,80,0.37,0,0
78,,Hugo Vetlesen,0.27,0.27,65,2.64,0.09,0
79,,Lars Ranger,0,0.06,56.25,1.25,0,0
80,,Morten Bjorlo,0.12,0,46.15,0.58,0,1.92
81,,Danilo Al-Saed,0.38,0.17,48.88,2.38,0,0
82,,Andreas Skovgaard,0,0,66.67,0.24,0,0
83,,Martin Linnes,0.24,0.05,51.61,0.9,0,0
84,,Peter Therkildsen,0.1,0.17,55.77,0.93,0,0
85,,Sander Erik Kartum,0.25,0.08,20,1.58,0,0
86,,Morten Agnes Konradsen,0,0,100,1,0,0
87,,Lars-Jørgen Salvesen,0.34,0.45,57.5,3,0.1,0
88,,Anders Baertelsen,0.03,0,80.65,0.55,0,0
89,,Moonga Simba,0,0,76.92,0.63,0,0
90,,Bent Sormo,0,0,50,0.5,0,0
91,,Isak Pettersson,0,0,0,0.03,0,0
92,,Markus Henriksen,0.08,0.08,72.73,0.62,0,0
93,,Magnus Holte,0.33,0,0,0.67,0,0
94,,Solomon Owusu,0.04,0,60,0.89,0,0.62
95,,Ruben Jenssen,0.07,0.03,52.94,0.72,0,0
96,,Ulrik Saltnes,0.33,0.06,54.55,2.11,0.06,0
97,,Tobias Fjeld Gulliksen,0.22,0.04,64.18,1.43,0,0
98,,Fredrik Jensen,0,0,77.78,0.46,0,0
99,,Nicholas D'Agostino,0.14,0.48,30,2.33,0.05,0
100,,Frederik Børsting,0.17,0.24,53.13,1.03,0,0
101,,Brice Wembangomo,0.05,0.05,74.63,0.27,0,0
102,,Sondre Klingen Langås,0.1,0.1,0,0.6,0.1,0
103,,Jesper Svenungsen Skau,0.25,0,0,0.5,0,0
104,,Jakob Haugaard,0,0,0,0,0,0
105,,Christophe Psyche,0.04,0.04,50,0.46,0,0
106,,Mikael Ingebrigtsen,0.25,0.21,48.78,1.75,0,0
107,,Jens Martin Gammelby,0.08,0,70.59,1.63,0,0
108,,Filip Rønningen Jørgensen,0.25,0.32,50,1.5,0.07,0
109,,Eneo Bitri,0.09,0,66.67,0.82,0.09,0
110,,Eric Kitolano,0.17,0.22,48.28,1.04,0.04,0
111,,Ulrik Mathisen,0.11,0.26,38.78,1.11,0,0
112,,Christian Dahle Borchgrevink,0.08,0.15,37.5,0.62,0,0
113,,Jo Inge Berget,0.43,0.29,66.67,2.57,0.14,0
114,,Pål Alexander Kirkevold,0.21,0.21,55.38,1.96,0.04,0
115,,Eirik Wichne,0.07,0,55.81,0.97,0,0
116,,Fredrik Kristensen Dahl,0,0,88.46,0.03,0,0
117,,Niklas Vesterlund,0.17,0.23,38.89,0.7,0,0
118,,Eirik Hestad,0.27,0,85.71,0.64,0.09,0
119,,Curtis Edwards,0.07,0,64.52,0.75,0,0
120,,Henrik Bjørdal,0.11,0.18,52.24,1.54,0,0
121,,Nino Žugelj,0.17,0.33,45.16,2.33,0,0
122,,Julian Bakkeli Gonstad,0,0,33.33,0,0,0
