#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Amahl Pellegrino,0.66,0.48,0,0.14,0,0.55
2,,Zlatko Tripić,1.38,0.28,0,0.41,0.03,0.93
3,,Jarik Sundling,0,1,0,1,0,0
4,,Gjermund Åsen,0.93,0.43,0,1.2,0,0.47
5,,Patrick Berg,2.63,1.17,0,0.83,0,1.73
6,,Gustav Valsvik,1.17,1.97,0,8.8,0,0.47
7,,Victor Torp,1.9,1.33,0,0.63,0,0.9
8,,Herman Stengel,0.86,1.25,0,1.57,0,0.36
9,,Mathias Rasmussen,1.92,1.75,0.08,1.33,0,1.08
10,,Joachim Soltvedt,1.31,0.66,0,1.76,0,0.83
11,,Akor Adams,0.33,0.07,0,0.27,0,0.6
12,,Emil Frederiksen,1.33,0.58,0,0.25,0,0.75
13,,Jesper Taaje,1.5,1.35,0.04,6.96,0.04,0.54
14,,Sivert Heltne Nilsen,3.17,1.59,0,0.97,0,1.76
15,,Magnus Wolff Eikrem,0,0.25,0,0.1,0,0.25
16,,Jonas Torsvik,2.25,1.5,0,0.5,0,1
17,,Espen Ruud,1.29,0.92,0.04,1.75,0,0.54
18,,Bård Finne,0.52,0.17,0,0.24,0,0.52
19,,Kristoffer Haugen,0.95,0.58,0.05,0.89,0,0.63
20,,Eirik Haugan,2.5,2.05,0,3.6,0,0.9
21,,Emil Breivik,1.64,0.82,0,0.5,0,1.32
22,,Andrej Ilić,1.31,0.38,0,1.38,0,0.23
23,,Anders Hartveit Ryste,0,0,0,0,0,0
24,,Magnus Brondbo,0,0,0,0,0,0
25,,Albert Grønbæk,1.82,0.43,0,0.29,0,1.57
26,,Jostein Gundersen,2.54,1.27,0,4.15,0,0.85
27,,Carlo Holse,2.06,0.56,0,0.19,0,0.75
28,,Franklin Tebo,1.67,2.67,0,5.56,0.11,0.22
29,,Filip Ottosson,1.97,1.67,0,1.6,0,1.33
30,,Viljar Myhra,0,0,0,1.13,0.1,0
31,,Bjorn Utvik,1.07,1.07,0.07,4.59,0.04,0.3
32,,Egil Selvik,0.03,0,0,1.45,0,0
33,,Diogo Tomas,1.5,0.88,0.04,4.13,0,0.46
34,,Lars Christopher Vilsvik,2.13,1.42,0,1.96,0,1.25
35,,Niklas Sandberg,1.32,0.45,0,0.14,0,0.41
36,,Ole Christian Saeter,0.08,0.33,0,0.5,0,0.25
37,,Mikkel Maigaard,0.55,0.9,0.03,1.03,0,0.76
38,,Leopold Wahlstedt,0.06,0,0.06,1.29,0,0
39,,Nicolai Naess,1.28,1.59,0.1,3.52,0.03,0.59
40,,Niklas Castro,0.65,0.15,0,0.1,0,0.45
41,,Odin Luras Bjortuft,0.8,0.84,0,2.6,0.04,0.32
42,,Ruben Kristiansen,1.77,0.77,0,1.77,0,0.23
43,,Espen Bjørnsen Garnås,1.78,1.52,0,3.7,0,0.81
44,,Christopher Baah,2.08,0.92,0,0.33,0,0.67
45,,Henrik Heggheim,1.56,1.78,0,3.44,0,0.67
46,,Kevin Martin Krygard,2,1.73,0.04,2.42,0,1.15
47,,David Brekalo,1.35,1.35,0.04,3.48,0.04,0.3
48,,Conrad Wallem,1.42,0.83,0,1.92,0,1.67
49,,Ramon Pascal Lundqvist,0.77,0.3,0,0.4,0,0.37
50,,Casper Öyvann,1.61,1.22,0.09,3.22,0,0.43
51,,Fredrik André Bjørkan,1.8,0.96,0,0.92,0,0.64
52,,Amund Wichne,0,0,0,0.5,0,0
53,,Vegard Erlien,1.17,0.13,0,0.53,0,0.7
54,,Benjamin Hansen,1.36,0.5,0,2.36,0,0.43
55,,Sondre Solholm Johansen,1.22,1.06,0,4.89,0,0.44
56,,Brede Moe,0.71,1.04,0,2,0,0.29
57,,Sivert Mannsverk,1.13,0.81,0,1.13,0,0.94
58,,Japhet Sery Larsen,1.42,1.46,0,3.75,0.04,0.38
59,,Ole Didrik Blomberg,1.18,0.29,0,0.29,0,0.59
60,,Henrik Wendel Meister,0,0,0,0,0,0
61,,Stefan Strandberg,0.88,0.96,0,4.08,0,0.4
62,,Ruben Gabrielsen,1.04,1.19,0,3.5,0.04,0.31
63,,Joel Mugisha Mvuka,1.33,0.67,0,0,0,1.08
64,,Sander Tangvik,0,0,0.11,1.22,0,0
65,,Sander Svendsen,0.5,0.33,0,0.33,0,0.4
66,,Thomas Lehne Olsen,0.5,0.27,0.04,0.96,0,0.62
67,,Faris Pemi Moumbagna,0.21,0.18,0,0.82,0,0.5
68,,Sakarias Opsahl,1.75,1.07,0,0.54,0,1.75
69,,Kent-Are Antonsen,1.62,1,0.03,1.41,0,1.28
70,,Ola Brynhildsen,0.4,0.13,0,0.2,0,0.07
71,,Hilmir Rafn Mikaelsson,0.67,0.67,0,1.33,0,0.67
72,,Erlend Dahl Reitan,1.55,1.35,0,2.45,0,0.35
73,,Marius Lode,0.6,0.35,0,1.4,0,0.25
74,,Vetle Walle Egeli,2.85,1.7,0.07,3.11,0,1.37
75,,Vebjørn Hoff,2.48,1.72,0,0.83,0.07,1.72
76,,Ole Selnaes,1.67,0.78,0.22,2.22,0,1.22
77,,Fredrik Knudsen,1.3,0.59,0.04,4.26,0,0.52
78,,Hugo Vetlesen,0.64,0.18,0,0.45,0,0.82
79,,Lars Ranger,2.31,0.75,0,1.63,0,0.75
80,,Morten Bjorlo,0.77,0.77,0,0.73,0,0.5
81,,Danilo Al-Saed,1.41,0.45,0,0.59,0,0.76
82,,Andreas Skovgaard,1.94,1.24,0,3.29,0,0.29
83,,Martin Linnes,0.62,0.48,0,1.14,0,0.67
84,,Peter Therkildsen,2.83,1.34,0,2.83,0,1.9
85,,Sander Erik Kartum,2.67,0.25,0,0.5,0,0.67
86,,Morten Agnes Konradsen,0.67,0,0,0.33,0,0.33
87,,Lars-Jørgen Salvesen,0.69,0.24,0,0.97,0,0.79
88,,Anders Baertelsen,1.59,1.41,0,2.72,0,0.45
89,,Moonga Simba,1.13,0.38,0,0.5,0,0
90,,Bent Sormo,1.9,1.5,0,3.1,0,0.2
91,,Isak Pettersson,0,0,0,0.97,0,0.03
92,,Markus Henriksen,1.69,1.69,0,3.77,0,0.54
93,,Magnus Holte,0,0,0,0,0,0
94,,Solomon Owusu,1.3,1.63,0.04,2.96,0,0.56
95,,Ruben Jenssen,1.55,0.59,0,0.76,0,1.24
