#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Amahl Pellegrino,0.14,0,26.09,49.69,0.9,0.24
2,,Zlatko Tripić,0.21,0,48.98,53.61,2.24,0.9
3,,Jarik Sundling,0,0,0,100,1,0
4,,Gjermund Åsen,0,0,58.62,56.76,1.23,0.37
5,,Patrick Berg,0.1,0,50,52.05,0.4,0.87
6,,Gustav Valsvik,0.1,0,72.13,68.8,1.23,0.7
7,,Victor Torp,0.1,0,57.5,61.26,1.73,0.93
8,,Herman Stengel,0.14,0,32.26,41.18,0.21,0.79
9,,Mathias Rasmussen,0,0,43.33,52.85,1.5,0.58
10,,Joachim Soltvedt,0.03,0,36,50.54,0.79,0.83
11,,Akor Adams,0.07,0.07,46.55,39.22,1.07,1.2
12,,Emil Frederiksen,0.08,0,30.77,53.1,1.17,0.42
13,,Jesper Taaje,0.15,0,70.68,69.79,0.46,0.65
14,,Sivert Heltne Nilsen,0.17,0,61.54,53.49,1.24,1.97
15,,Magnus Wolff Eikrem,0.1,0.05,33.33,40,0.25,0.05
16,,Jonas Torsvik,0.25,0,0,59.38,1,0.5
17,,Espen Ruud,0.29,0,27.59,47.86,1.04,1.21
18,,Bård Finne,0.07,0.03,31.25,34.29,0.55,0.93
19,,Kristoffer Haugen,0.05,0,43.84,47.65,0.68,0.53
20,,Eirik Haugan,0.15,0.05,55.26,61.75,0.85,0.75
21,,Emil Breivik,0.14,0,32.35,43.58,0.93,0.93
22,,Andrej Ilić,0,0,50.45,48.77,0.23,1
23,,Anders Hartveit Ryste,0,0,0,0,0,0
24,,Magnus Brondbo,0,0,0,0,0,0
25,,Albert Grønbæk,0.14,0,55.56,53.75,1.5,0.68
26,,Jostein Gundersen,0.23,0,67.54,61.31,0.73,1.12
27,,Carlo Holse,0,0,60,58.57,0.88,0.38
28,,Franklin Tebo,0.11,0,65.22,64.04,0.78,1.11
29,,Filip Ottosson,0.1,0,51.43,53.72,0.47,0.53
30,,Viljar Myhra,0.07,0,93.33,95,0.13,0
31,,Bjorn Utvik,0.04,0,62.11,65.41,0.48,0.3
32,,Egil Selvik,0.07,0,83.33,86.36,0.07,0
