#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Amahl Pellegrino,0.59,0.48,32.97,78.77,14.9,70.15
2,,Zlatko Tripić,0.69,0.34,35.86,72.5,13.66,46.27
3,,Jarik Sundling,0,0,24,70.83,2,53.33
4,,Gjermund Åsen,0.8,0.3,29.37,75.03,10.37,44.78
5,,Patrick Berg,0.13,0.2,65.63,91.16,18.4,69.4
6,,Gustav Valsvik,0.2,0.03,49.03,73.49,4.7,41.18
7,,Victor Torp,0.17,0.07,42.27,82.1,13.7,62.2
8,,Herman Stengel,0.21,0.18,47.25,84.28,12.5,59.75
9,,Mathias Rasmussen,0.33,0.25,60.83,81.1,23.42,59.7
10,,Joachim Soltvedt,0.31,0.24,54.24,77.5,13.83,42.24
11,,Akor Adams,0.07,0.13,16,70.83,4.47,42.86
12,,Emil Frederiksen,0.42,0.25,25.75,70.87,8.17,39.13
13,,Jesper Taaje,0.04,0,57.35,80.75,5.42,53.05
14,,Sivert Heltne Nilsen,0.1,0,76.03,85.62,21.21,66.9
15,,Magnus Wolff Eikrem,0.3,0.35,19.3,75.13,8.7,50
16,,Jonas Torsvik,0,0,46,85.33,12.75,20
17,,Espen Ruud,0.33,0.25,53.54,85.76,13.63,51.22
18,,Bård Finne,0.41,0.31,16.66,63.98,7.1,38.46
19,,Kristoffer Haugen,0.63,0.37,31.21,77.07,9.32,34.15
20,,Eirik Haugan,0.1,0.1,69.7,90.1,9.6,48.78
21,,Emil Breivik,0.25,0.21,42.39,83.74,13.82,58.7
22,,Andrej Ilić,0,0,12.92,52.38,3,55.56
23,,Anders Hartveit Ryste,0.33,0.33,0,0,0,0
24,,Magnus Brondbo,0,0,22,54.55,0,33.33
25,,Albert Grønbæk,0.43,0.25,26.57,76.88,9.86,70.27
26,,Jostein Gundersen,0.04,0.08,54.12,83.72,7.54,44.2
27,,Carlo Holse,0.44,0.13,41.44,80.24,13.69,63.93
28,,Franklin Tebo,0,0,68.56,89.79,6.78,66.13
29,,Filip Ottosson,0.13,0.2,56.07,82.28,12.77,48.15
30,,Viljar Myhra,0,0,31.73,57.77,1.3,38.09
31,,Bjorn Utvik,0.04,0.04,68.67,84.47,13.22,46.5
32,,Egil Selvik,0,0,33.34,67.53,1.28,42.08
33,,Diogo Tomas,0.08,0.04,53.08,86.81,5.04,63.7
34,,Lars Christopher Vilsvik,0.46,0.21,35.75,73.43,9.75,35
35,,Niklas Sandberg,0.18,0.09,16.73,73.91,5.68,53.85
36,,Ole Christian Saeter,0.17,0,13.42,57.14,2.17,52.94
37,,Mikkel Maigaard,0.28,0.24,34.38,76.83,12.62,61.05
38,,Leopold Wahlstedt,0,0,39.41,68.51,2.06,37.8
