#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Amahl Pellegrino,0,0.1,0,0,0.86,0.28
2,,Zlatko Tripić,0,0.17,0,0,1.28,0.17
3,,Jarik Sundling,3,1,0,0,0,0
4,,Gjermund Åsen,0,0.1,0,0,1.33,0.17
5,,Patrick Berg,0,0.33,0,0,1,0.27
6,,Gustav Valsvik,0,0.27,0,0,0.87,0.3
7,,Victor Torp,0,0.1,0,0,1.37,0.17
8,,Herman Stengel,0,0.25,0,0,0.89,0.32
9,,Mathias Rasmussen,0,0.17,0,0,1.17,0.08
10,,Joachim Soltvedt,0,0.28,0,0,1.17,0.1
11,,Akor Adams,0,0.13,0,0,1.2,0.13
12,,Emil Frederiksen,0,0,0,0,1.75,0
13,,Jesper Taaje,0,0.27,0,0,1.58,0.23
14,,Sivert Heltne Nilsen,0,0.31,0,0,1.03,0.07
15,,Magnus Wolff Eikrem,0,0,0,0,0.8,0.05
16,,Jonas Torsvik,0,0.25,0,0,1,0
17,,Espen Ruud,0,0.21,0,0,1.38,0.08
18,,Bård Finne,0,0.1,0,0,0.97,0.03
19,,Kristoffer Haugen,0,0.11,0,0,1.16,0.05
20,,Eirik Haugan,0,0.25,0,0,0.85,0.15
21,,Emil Breivik,0,0.04,0,0,1.07,0.11
22,,Andrej Ilić,0,0.15,0,0,1.31,0.23
23,,Anders Hartveit Ryste,0,0,0,0,0.33,0
24,,Magnus Brondbo,2,1,0,0,0,0
25,,Albert Grønbæk,0,0.18,0,0,0.89,0.29
26,,Jostein Gundersen,0,0.31,0,0,0.88,0.08
27,,Carlo Holse,0,0.25,0,0,1.06,0.19
28,,Franklin Tebo,0,0,0,0,1.67,0.33
29,,Filip Ottosson,0,0.27,0,0,1.6,0.23
30,,Viljar Myhra,3.8,0.27,0.03,0,0.87,0.3
31,,Bjorn Utvik,0,0.22,0,0,1.37,0.19
32,,Egil Selvik,3.69,0.21,0.1,0.03,1.14,0.17
33,,Diogo Tomas,0,0.25,0,0,1.17,0.08
34,,Lars Christopher Vilsvik,0,0.33,0,0,0.63,0.33
35,,Niklas Sandberg,0,0.05,0,0,0.41,0.09
36,,Ole Christian Saeter,0,0.08,0,0,0.83,0
37,,Mikkel Maigaard,0,0.17,0,0,1.34,0.14
38,,Leopold Wahlstedt,3.06,0.47,0.24,0.06,1,0.12
39,,Nicolai Naess,0,0.17,0,0,1.38,0.17
40,,Niklas Castro,0,0,0,0,0.6,0
41,,Odin Luras Bjortuft,0,0.36,0,0,0.72,0.28
42,,Ruben Kristiansen,0,0.31,0,0,0.77,0.08
43,,Espen Bjørnsen Garnås,0,0.19,0,0,1.33,0.15
44,,Christopher Baah,0,0.17,0,0,0.67,0.08
45,,Henrik Heggheim,0,0.22,0,0,1.44,0.11
46,,Kevin Martin Krygard,0,0.12,0,0,1.19,0.19
47,,David Brekalo,0,0.22,0,0,1.13,0.22
48,,Conrad Wallem,0,0.5,0,0,0.92,0.17
49,,Ramon Pascal Lundqvist,0,0.13,0,0,1.5,0.17
50,,Casper Öyvann,0,0.26,0,0,1.04,0.09
51,,Fredrik André Bjørkan,0,0.12,0,0,1.04,0.24
52,,Amund Wichne,4,0,0,0,1,0
53,,Vegard Erlien,0,0.13,0,0,0.8,0.07
54,,Benjamin Hansen,0,0.21,0,0,0.64,0.14
55,,Sondre Solholm Johansen,0,0.22,0,0,0.94,0
56,,Brede Moe,0,0.17,0,0,1.04,0.21
57,,Sivert Mannsverk,0,0.25,0,0,1.13,0.13
58,,Japhet Sery Larsen,0,0.29,0,0,1.13,0.08
59,,Ole Didrik Blomberg,0,0.18,0,0,1.24,0.06
60,,Henrik Wendel Meister,0,0,0,0,0.67,0
61,,Stefan Strandberg,0,0.16,0,0,1.12,0.36
62,,Ruben Gabrielsen,0,0.19,0,0,1.46,0.19
63,,Joel Mugisha Mvuka,0,0.17,0,0,0.75,0.08
64,,Sander Tangvik,4.33,0,0.44,0.22,1.89,0
65,,Sander Svendsen,0,0,0,0,0.73,0.13
66,,Thomas Lehne Olsen,0,0.19,0,0,1.35,0.19
67,,Faris Pemi Moumbagna,0,0.07,0,0,0.93,0.25
68,,Sakarias Opsahl,0,0.04,0,0,1,0.07
69,,Kent-Are Antonsen,0,0.24,0,0,1,0.07
70,,Ola Brynhildsen,0,0,0,0,1.07,0.13
