#,Team,Name
1,,Jarik Sundling
2,,Magnus Brondbo
3,,Viljar Myhra
4,,Egil Selvik
5,,Leopold Wahlstedt
6,,Amund Wichne
7,,Sander Tangvik
8,,Isak Pettersson
9,,Jakob Haugaard
10,,Peder Nygaard Klausen
11,,Oliver Petersen
12,,Nikita Haikin
13,,Matias Dyngeland
14,,Marcus Sandberg
15,,Hugo Keto
16,,Leander Øy
17,,Lars Jendal
18,,Per Kristian Bråtveit
19,,Mads Christiansen
20,,Magnus Smelhus Sjøeng
21,,Patrik Sigurdur Gunnarsson
22,,Jakob Karlstrom
23,,André Hansen
24,,Sten Grytebust
25,,Julian Faye Lund
26,,Eirik Johansen
27,,Jacob Storevik
28,,Kjetil Haug
29,,Anders Kristiansen
30,,Simon Thomas
31,,Michael Lansing
