#,Team,Name
1,,Amahl Pellegrino
2,,Zlatko Tripić
3,,Gjermund Åsen
4,,Sivert Heltne Nilsen
5,,Magnus Wolff Eikrem
6,,Espen Ruud
7,,Lars Christopher Vilsvik
8,,Ruben Kristiansen
9,,Brede Moe
10,,Stefan Strandberg
11,,Ruben Gabrielsen
12,,Thomas Lehne Olsen
13,,Martin Linnes
14,,Markus Henriksen
15,,Ruben Jenssen
16,,Ulrik Saltnes
17,,Jakob Haugaard
18,,Christophe Psyche
19,,Jo Inge Berget
20,,Pål Alexander Kirkevold
21,,Amin Nouri
22,,Kristian Opseth
23,,Yann-Erik de Lanlay
24,,Jeppe Andersen
25,,Marcus Sandberg
26,,Steffen Hagen
27,,Serge-Junior Martinsson Ngouali
28,,Eirik Andersen
29,,Simen Wangberg
30,,Mushaga Bakenga
31,,Alexander Ruud Tveter
32,,Kristoffer Løkberg
33,,David Fällman
34,,Omar Elabdellaoui
35,,Alexander Søderlund
36,,Martin Bjørnbak
37,,Fredrik Haugen
38,,Alexander Juel Andersen
39,,Aleksander Melgalvis
40,,André Hansen
41,,Fredrik Gulbrandsen
42,,Birkir Bjarnason
43,,Alexander Stolaas
44,,Vegar Eggen Hedenstad
45,,Sten Grytebust
46,,Leonard Žuta
47,,Jonas Enkerud
48,,Amidou Diop
49,,Erling Knudtzon
50,,Torgeir Børven
51,,Eirik Johansen
52,,Anders Kristiansen
53,,Mathis Bolly
54,,Per Ciljan Skjelbred
55,,Simon Thomas
