#,Team,Name,Appearances
1,,Ismael Quispe,1
2,,Christofer Gonzáles,12
3,,Bruno Portugal,2
4,,Kevin Sandoval,34
5,,Delio Ojeda,1
6,,Alex Valera,17
7,,Franco Saravia,8
8,,Víctor Cedrón,31
9,,Martín Távara,27
10,,Diego Romero,5
11,,Edson Aubert,32
12,,Bernardo Cuesta,32
13,,Andy Polar,34
14,,Pablo Lavandeira,35
15,,Luis Benites,34
16,,Marcos Lliuya,34
17,,Luis Urruti,9
18,,Cristian Techera,23
19,,Donald Millán,26
20,,Jorge Cabezudo,4
21,,Hernán Barcos,33
22,,Luis Haquín,1
23,,Angel Azurin,1
24,,Roberto Ovelar,26
25,,Carlos Ross,33
26,,Alexis Arias,36
27,,Jairo Vélez,28
28,,Gino Peruzzi,17
29,,Nelson Cabanillas,26
30,,Joel Pinto,2
31,,Matías Pérez García,32
32,,Paolo Reyna,34
33,,Sebastian Cavero,6
34,,Ricardo Lagos,31
35,,Horacio Calcaterra,32
36,,Adrián Fernández,24
37,,Yordi Vílchez,31
38,,Manuel Heredia,27
39,,Hernán Novick,20
40,,Jesús Castillo,29
41,,William Mimbela,5
42,,Jimmy Valoyes,29
43,,Irven Ávila,35
44,,Joel López Pisano,23
45,,Jairo Concha,31
46,,Yoshimar Yotún,16
47,,Fernando Márquez,6
48,,Patricio Arce,4
49,,Leonardo Rugel,5
50,,Facundo Peraza,33
51,,Rodrigo Salinas,22
52,,Jersson Vásquez,32
53,,Róger Torres,30
54,,Edy Renteria,9
55,,Alejandro Ramos,32
56,,Nicolás Marotta,25
57,,José Carvallo,30
58,,Federico Alonso,26
59,,Raúl Fernández,22
60,,Ángelo Campos,27
61,,Carlos Grados,33
62,,Alejandro Hohberg,32
63,,Federico Ramos,6
64,,Alejandro Duarte,25
65,,Yonatan Murillo,32
66,,Gaspar Gentile,31
67,,Josué Estrada,31
68,,Janio Pósito,26
69,,Paolo Fuentes,16
70,,Diego Buonanotte,19
71,,Robert Ardiles,28
72,,Pablo Míguez,25
73,,Omar Merlo,33
74,,Jhon Narvaez,27
75,,Luis Iberico,35
76,,Adrián Ugarriza,28
77,,Sebastián Gularte,13
78,,Patricio Álvarez,31
79,,Martín Pérez Guedes,37
80,,Yorleys Mena,26
81,,Piero Quispe,34
82,,Josepmir Ballón,34
83,,Ricardo Salcedo,29
84,,Jostin Alarcón,28
85,,Leonel Galeano,27
