#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Ismael Quispe,0,0,0,0,0,0
2,,Christofer Gonzáles,0.58,0.42,54.17,2.75,0,4.17
3,,Bruno Portugal,0.5,0,0,0.5,0.5,0
4,,Kevin Sandoval,0.32,0.06,48.1,3.35,0,0.32
5,,Delio Ojeda,0,0,0,0,0,0
6,,Alex Valera,0.71,0.24,38.1,3,0.35,0
7,,Franco Saravia,0,0,0,0,0,0
8,,Víctor Cedrón,0.16,0.06,60,2.55,0.03,0
9,,Martín Távara,0.15,0,60,1.52,0,0.23
10,,Diego Romero,0,0,0,0,0,0
11,,Edson Aubert,0.09,0.06,76.47,2.91,0,0.39
12,,Bernardo Cuesta,0.44,0.16,61.11,2.97,0,0
13,,Andy Polar,0.15,0.03,45.57,2.35,0,0.25
14,,Pablo Lavandeira,0.31,0.11,41.46,1.74,0.06,0
15,,Luis Benites,0.56,0.06,46.88,2.32,0,0
16,,Marcos Lliuya,0.03,0.03,66.67,1.74,0,0
17,,Luis Urruti,0,0,33.33,1.67,0,0
18,,Cristian Techera,0.43,0.22,46.51,3.04,0.04,0.4
19,,Donald Millán,0.23,0.04,71.43,1.5,0,0
20,,Jorge Cabezudo,0,0,0,0,0,0
21,,Hernán Barcos,0.55,0.24,46,2.82,0.09,0
22,,Luis Haquín,0,0,0,1,0,0
23,,Angel Azurin,0,0,0,0,0,0
24,,Roberto Ovelar,0.42,0.23,54.39,2.85,0,0
25,,Carlos Ross,0.12,0.12,43.48,1.67,0,0.43
26,,Alexis Arias,0.03,0.11,55.56,1.25,0,0
27,,Jairo Vélez,0.32,0.11,44.78,2.75,0.11,0
28,,Gino Peruzzi,0.06,0,14.29,0.35,0,0
29,,Nelson Cabanillas,0,0,51.72,0.38,0,0
30,,Joel Pinto,0,0,0,0,0,0
31,,Matías Pérez García,0.06,0.06,64.29,0.84,0,0
32,,Paolo Reyna,0.06,0.06,56.67,0.85,0.06,0
33,,Sebastian Cavero,0,0,66.67,0.17,0,0
34,,Ricardo Lagos,0.03,0,45,0.87,0,0
35,,Horacio Calcaterra,0.03,0,57.14,1.06,0,0
36,,Adrián Fernández,0.38,0.08,36.84,2.54,0.21,0
37,,Yordi Vílchez,0.03,0,88.89,0.55,0.03,0
38,,Manuel Heredia,0,0,0,0,0,0
39,,Hernán Novick,0.15,0.1,63.64,1.15,0,0
40,,Jesús Castillo,0.03,0.03,71.43,1.07,0,0
41,,William Mimbela,0.4,0,80,1.8,0,0
42,,Jimmy Valoyes,0.03,0.03,80.49,1.03,0,0
43,,Irven Ávila,0.29,0.17,44.23,1.8,0.03,0
44,,Joel López Pisano,0.26,0.04,67.8,1.43,0.04,1.09
45,,Jairo Concha,0.19,0.03,59.65,1.45,0,0
