#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Ismael Quispe,1,0,0,2,0,0
2,,Christofer Gonzáles,1.08,0.5,0,0.25,0,0.58
3,,Bruno Portugal,0,0,0,0.5,0,0
4,,Kevin Sandoval,0.91,0.59,0,0.24,0,0.5
5,,Delio Ojeda,3,4,0,9,0,0
6,,Alex Valera,0.65,0.06,0,0.94,0,0.18
7,,Franco Saravia,0,0,0,0.25,0,0
8,,Víctor Cedrón,1.23,0.42,0,0.32,0,0.58
9,,Martín Távara,2.15,1.22,0,1.44,0,0.81
10,,Diego Romero,0,0,0.2,1,0,0
11,,Edson Aubert,2.22,1.13,0.03,1.84,0,1.53
12,,Bernardo Cuesta,0.5,0.13,0,0.34,0,0.28
13,,Andy Polar,1.53,0.38,0,0.15,0,0.38
14,,Pablo Lavandeira,1.06,0.63,0,0.26,0,0.54
15,,Luis Benites,0.5,0.24,0,0.09,0,0.21
16,,Marcos Lliuya,0.68,0.15,0,0.03,0,0.59
17,,Luis Urruti,0.44,0.33,0,0.22,0,0
18,,Cristian Techera,0.35,0.26,0,0.13,0,0.48
19,,Donald Millán,1.46,0.27,0,0.81,0,0.77
20,,Jorge Cabezudo,0.5,0,0,0.25,0,0
21,,Hernán Barcos,0.73,0.18,0,1.61,0,0.52
22,,Luis Haquín,1,0,0,7,0,0
23,,Angel Azurin,0,0,0,0,0,0
24,,Roberto Ovelar,0.58,0.15,0,0.81,0.04,0.42
25,,Carlos Ross,0.09,0.09,0,0.58,0,0.12
26,,Alexis Arias,0.75,0.39,0,0.33,0,0.39
27,,Jairo Vélez,1.54,0.5,0,0.21,0,0.75
28,,Gino Peruzzi,2,1,0,2.53,0,0.53
29,,Nelson Cabanillas,2,1.65,0,1.38,0,0.65
30,,Joel Pinto,0,0,0,0.5,0,0
31,,Matías Pérez García,2.63,0.66,0.03,0.63,0,0.53
32,,Paolo Reyna,3.03,2.06,0,1.35,0,0.71
33,,Sebastian Cavero,4.33,1.67,0,2,0,0.5
34,,Ricardo Lagos,2.35,1.97,0,2.16,0,0.94
35,,Horacio Calcaterra,2.06,1.13,0,0.47,0,1.25
36,,Adrián Fernández,0.33,0.04,0,1.63,0,0.33
37,,Yordi Vílchez,1.77,2.35,0,3,0,0.55
38,,Manuel Heredia,0.04,0.04,0,1.48,0,0.04
39,,Hernán Novick,0.15,0.3,0,0,0,0.2
40,,Jesús Castillo,3.24,1.93,0,1.76,0,0.72
41,,William Mimbela,1.2,0.2,0,0.2,0,0.4
42,,Jimmy Valoyes,1.38,1.38,0,3.34,0.1,0.28
43,,Irven Ávila,0.51,0.09,0,0.06,0,0.37
44,,Joel López Pisano,1.7,0.43,0,0.26,0,0.91
45,,Jairo Concha,1.71,0.94,0,0.52,0,0.9
46,,Yoshimar Yotún,1.56,0.88,0,0.25,0,1.25
47,,Fernando Márquez,2,0.5,0,0.17,0,1
48,,Patricio Arce,1.25,0.25,0,0,0,0.5
49,,Leonardo Rugel,1.6,1.4,0,3,0,1.2
50,,Facundo Peraza,0.42,0.09,0,0.48,0,0.18
51,,Rodrigo Salinas,0.59,0.09,0,0.82,0,0.36
52,,Jersson Vásquez,1.09,1.53,0.03,2.28,0,0.53
53,,Róger Torres,0.53,0.3,0,0.07,0,0.53
54,,Edy Renteria,2.44,2.11,0,2.89,0,0.78
55,,Alejandro Ramos,1.69,1.31,0,1.03,0,0.34
56,,Nicolás Marotta,1,1.56,0.04,4.4,0,0.4
57,,José Carvallo,0,0.03,0,0.67,0,0
58,,Federico Alonso,2,1.73,0,2.31,0.04,0.62
59,,Raúl Fernández,0,0.05,0.05,1.14,0,0
60,,Ángelo Campos,0,0,0,0.7,0,0
61,,Carlos Grados,0.03,0.09,0,0.79,0,0.03
