#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Ismael Quispe,0,0,0,100,0,0
2,,Christofer Gonzáles,0.25,0,47.06,49.17,2.08,1.67
3,,Bruno Portugal,0,0,50,33.33,0.5,1
4,,Kevin Sandoval,0.12,0,31.25,48.26,1.76,0.56
5,,Delio Ojeda,1,0,50,46.15,0,4
6,,Alex Valera,0.12,0,50,41.78,0.71,1.76
7,,Franco Saravia,0,0,100,100,0.63,0
8,,Víctor Cedrón,0.19,0.03,50,50.48,2,1.16
9,,Martín Távara,0.19,0,51.06,53.91,1.3,1.59
10,,Diego Romero,0.4,0,0,0,0,0.2
11,,Edson Aubert,0.31,0,56.76,48.34,0.88,1.69
12,,Bernardo Cuesta,0.38,0,43.4,41.75,0.63,1.28
13,,Andy Polar,0.12,0,36.36,60.39,3.53,0.82
14,,Pablo Lavandeira,0.09,0,34.92,44.01,1.91,1.26
15,,Luis Benites,0.15,0,38.46,49.66,1.03,0.47
16,,Marcos Lliuya,0.03,0,16.67,43.75,1.06,0.29
17,,Luis Urruti,0.11,0,50,57.5,1.44,0.44
18,,Cristian Techera,0.22,0,22.73,41.99,1.87,1.22
19,,Donald Millán,0.27,0,50,55.65,1.62,1.08
20,,Jorge Cabezudo,0,0,50,83.33,0.5,0
21,,Hernán Barcos,0.27,0,51.08,43.92,1.27,1.42
22,,Luis Haquín,0,0,100,100,0,0
23,,Angel Azurin,0,0,0,0,0,0
24,,Roberto Ovelar,0.27,0.04,62.26,53.82,1.92,1
25,,Carlos Ross,0.03,0,17.65,29.89,0.3,0.39
26,,Alexis Arias,0.14,0,51.52,57.95,1.36,0.67
27,,Jairo Vélez,0.32,0,42.86,40.55,1.86,1.89
28,,Gino Peruzzi,0.24,0,56.25,58.14,1.82,1.47
29,,Nelson Cabanillas,0.19,0,50,60.1,1.73,1.12
30,,Joel Pinto,0,0.5,0,0,0,0
31,,Matías Pérez García,0.22,0.03,39.13,62.66,2.44,1.28
32,,Paolo Reyna,0.26,0,60.56,58.72,0.85,1.38
33,,Sebastian Cavero,0.33,0,33.33,67.86,0.83,0.67
34,,Ricardo Lagos,0.16,0,42.37,50,0.42,1.19
35,,Horacio Calcaterra,0.34,0,51.52,54.48,1.97,1.53
36,,Adrián Fernández,0.38,0,54.49,46.88,1.46,1.54
37,,Yordi Vílchez,0.39,0,45.54,50,0.29,1.29
38,,Manuel Heredia,0.07,0,80,84.62,0.3,0
39,,Hernán Novick,0.15,0,22.22,62.5,1.4,0.15
40,,Jesús Castillo,0.52,0.03,53.25,63.55,3.55,2.17
41,,William Mimbela,0.6,0,0,58.06,1.6,1
42,,Jimmy Valoyes,0.38,0.03,73.08,64.12,1.31,1.62
43,,Irven Ávila,0.09,0,39.18,40.86,1.29,1.37
44,,Joel López Pisano,0.22,0.04,44.44,53.77,0.87,0.83
45,,Jairo Concha,0.16,0.03,64.29,53.29,1.84,1.13
46,,Yoshimar Yotún,0.38,0,63.64,53.72,1.63,1
47,,Fernando Márquez,0.5,0.33,50,51.52,1.17,1.33
48,,Patricio Arce,0.25,0,60,41.38,0.75,0.75
49,,Leonardo Rugel,0.2,0,44.44,44.12,0.6,1.8
50,,Facundo Peraza,0.09,0,40.54,51.5,2.73,0.79
51,,Rodrigo Salinas,0.18,0,56.67,48.79,0.91,0.82
52,,Jersson Vásquez,0.19,0,56.9,52.48,0.94,0.88
53,,Róger Torres,0.1,0,25.93,32.48,0.53,1.03
54,,Edy Renteria,0.33,0,63.89,61.7,1.33,1.44
55,,Alejandro Ramos,0.19,0,66.67,53.33,0.38,1.06
56,,Nicolás Marotta,0.36,0,56.7,52.97,0.56,1.2
57,,José Carvallo,0.1,0,66.67,87.5,0.13,0
58,,Federico Alonso,0.31,0,73.21,66.47,0.42,0.88
59,,Raúl Fernández,0.14,0.05,50,66.67,0.14,0.05
60,,Ángelo Campos,0.19,0.04,66.67,92.31,0.37,0
61,,Carlos Grados,0.12,0,92.86,91.67,0.27,0.03
62,,Alejandro Hohberg,0.06,0.03,46.15,51.3,0.63,0.41
63,,Federico Ramos,0,0,33.33,57.14,1.83,0.5
64,,Alejandro Duarte,0.16,0,75,83.33,0.16,0
65,,Yonatan Murillo,0.19,0,61.76,60.39,0.41,1.03
66,,Gaspar Gentile,0.13,0,25.93,42.61,2.03,0.81
67,,Josué Estrada,0.29,0.03,58.33,47.24,0.39,1.13
68,,Janio Pósito,0.04,0.08,34.83,38.66,1.27,1.23
69,,Paolo Fuentes,0.44,0,60.42,56.84,0.81,1.31
70,,Diego Buonanotte,0.11,0,25,54.29,1.16,0.32
71,,Robert Ardiles,0.29,0,23.81,49.37,1.5,0.46
72,,Pablo Míguez,0.24,0,60.27,59.29,0.6,0.84
73,,Omar Merlo,0.15,0.03,50,53.8,0.45,0.33
74,,Jhon Narvaez,0.44,0.04,64.62,61.15,0.48,1.78
75,,Luis Iberico,0.11,0,45.95,41.96,1.31,1.49
76,,Adrián Ugarriza,0.18,0.04,47.37,48.55,2.11,1.04
77,,Sebastián Gularte,0.15,0,45.59,50.41,2.08,1.08
78,,Patricio Álvarez,0.03,0,83.33,76.92,0.13,0
79,,Martín Pérez Guedes,0.11,0,58.54,49.45,0.65,0.7
80,,Yorleys Mena,0.23,0.04,34.78,30.49,0.92,1.5
81,,Piero Quispe,0.09,0,14.29,55.49,2.35,1
82,,Josepmir Ballón,0.21,0,69.7,53.39,0.59,1.68
83,,Ricardo Salcedo,0.21,0.03,40.63,55.41,1.31,1.97
84,,Jostin Alarcón,0.21,0.04,23.81,47.86,2,0.89
85,,Leonel Galeano,0.33,0,68.35,57.93,0.37,1.07
86,,Fernando Guerrero,0.14,0,52.63,58.28,1.07,0.86
87,,Edhu Oliva,0.1,0,38.46,48.57,1.6,0.95
88,,Ángel Zamudio,0.03,0,75,87.5,0.18,0
89,,Pedro Ynamine,0,0,100,100,0,0
90,,Diego Penny,0.17,0.03,88.89,86.67,0.23,0
91,,Fernando Melgar,0,0,37.5,43.33,0.13,0.63
92,,Carlos Cáceda,0.06,0,100,88.89,0.18,0
93,,Renzo Garces,0.29,0.04,62.39,54.94,1,1.75
94,,Nicolás Rinaldi,0.2,0.03,60.53,55.17,0.97,1.53
95,,Rodrigo Pastorini,0.09,0.03,49.26,46.25,0.72,0.88
96,,Diego Enríquez,0.09,0,100,81.82,0.06,0
97,,Danilo Carando,0.09,0,60.71,53.13,0.61,0.7
98,,Maximiliano Amondarain,0.23,0,57.94,52.6,0.5,1.19
99,,Alejandro Ramirez,0.05,0,50,48.62,0.3,0.6
100,,Aldo Corzo,0.23,0,44.44,47.56,1,1.85
101,,Christian Gonzalo Limousin,0.12,0,90,90,0.27,0.03
102,,Nelinho Quina,0.24,0.03,62.38,58.03,0.55,1.03
103,,Rafael Lutiger,0.19,0,57.14,53.77,0.57,0.86
104,,Jack Durán,0.2,0,33.33,47.79,1.04,0.72
105,,Matías Succar,0.14,0,55.26,48.18,1.86,1.71
106,,Andy Polo,0.07,0,18.18,42.94,1.11,0.41
107,,Frank Ysique,0.17,0,38.46,52.88,1.33,1.5
108,,Facundo Rodríguez,0.22,0,26.67,35.96,1.44,1.89
109,,Andy Vidal,0,0,71.43,70,0.04,0
110,,Alberto Quintero,0.13,0,36.36,53.2,1.97,0.63
111,,Miguel Vargas,0.07,0,50,60,0.1,0
112,,Alec Deneumostier,0.27,0.1,62.62,63.04,0.33,1.03
113,,Diego Saffadi,0.22,0,40,49.59,2.04,1.07
114,,Leandro Fleitas,0.24,0,60.22,53.98,0.41,1.14
115,,Jesús Castillo,0.21,0,68,54.55,0.59,1.14
116,,Sebastián Ramírez,0.6,0.1,60,62.3,1,1.2
117,,Gianfranco Chávez,0.29,0,49.12,56.43,0.68,0.93
118,,Leandro Sosa,0.03,0,37.5,52.11,1.11,0.23
119,,Jhon Marchán,0.32,0,35.71,48.76,0.63,0.84
120,,Hugo Ángeles,0.18,0,56.25,57.96,0.86,1
121,,Marcio Valverde,0.21,0.04,45.83,43.48,0.5,0.46
122,,Minzun Quina,0.3,0,56.44,54.63,0.53,1.2
