#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Ismael Quispe,0,0,24,62.5,3,52.63
2,,Christofer Gonzáles,0.42,0.08,37.5,87.33,15.42,85.71
3,,Bruno Portugal,0.5,0.5,7.5,86.67,2,0
4,,Kevin Sandoval,0.47,0.32,27.85,80.46,9.21,48.75
5,,Delio Ojeda,0,0,25,76,0,37.5
6,,Alex Valera,0.12,0.06,24.71,70.95,7.53,55.56
7,,Franco Saravia,0,0,20.75,63.25,1,49.14
8,,Víctor Cedrón,0.39,0.26,39.1,77.89,13.65,58.04
9,,Martín Távara,0.19,0.22,40.74,84.27,7.63,64.21
10,,Diego Romero,0,0,25.2,40.48,1.8,27.88
11,,Edson Aubert,0.03,0.13,61.63,81.39,12.84,61.87
12,,Bernardo Cuesta,0.25,0.19,21.06,71.22,7.5,65.22
13,,Andy Polar,0.24,0.21,31.56,84.81,11.74,70.49
14,,Pablo Lavandeira,0.26,0.29,26.31,70.03,7.46,43.53
15,,Luis Benites,0.18,0.18,22.74,80.47,7.91,56.94
16,,Marcos Lliuya,0.21,0.21,62.41,84.26,25.76,72.5
17,,Luis Urruti,0.22,0.44,10.11,68.13,4.11,58.33
18,,Cristian Techera,0.22,0.17,19.26,79.46,6.43,64.38
19,,Donald Millán,0.15,0.23,40.38,77.71,11.77,51.7
20,,Jorge Cabezudo,0,0,24.75,75.76,1.5,51.11
21,,Hernán Barcos,0.27,0.15,23.73,63.22,6.82,53.85
22,,Luis Haquín,0,0,27,81.48,3,72.73
23,,Angel Azurin,0,0,22,72.73,0,28.57
24,,Roberto Ovelar,0.23,0.19,28,76.65,8.04,78.26
25,,Carlos Ross,0.48,0.33,25.03,81.6,11.03,56.25
26,,Alexis Arias,0.22,0.17,30.89,75.99,9.83,53.1
27,,Jairo Vélez,0.21,0.25,32.43,71.92,10.11,51.9
28,,Gino Peruzzi,0.24,0.24,29.71,82.38,5.18,51.61
29,,Nelson Cabanillas,0.12,0.15,32.62,76.65,5.92,42.03
30,,Joel Pinto,0,0,23.5,78.72,0.5,56.52
31,,Matías Pérez García,0.13,0.06,33.06,82.42,8.06,59.5
32,,Paolo Reyna,0.18,0.12,33.44,75.46,7.47,41.67
33,,Sebastian Cavero,0,0,19.83,74.79,3,38.89
34,,Ricardo Lagos,0.13,0.03,40.81,75.34,7.68,38.57
35,,Horacio Calcaterra,0.38,0.22,47.94,83.64,13.03,76.11
36,,Adrián Fernández,0.25,0.08,16.25,61.79,3.63,47.83
37,,Yordi Vílchez,0.16,0.1,48.42,77.22,4.97,44.59
38,,Manuel Heredia,0,0,21.33,51.39,0.96,40.09
39,,Hernán Novick,0.3,0.15,21.5,79.07,5,49.09
40,,Jesús Castillo,0.03,0,32.59,77.78,7.17,43.36
41,,William Mimbela,0.2,0.4,13,73.85,4,54.55
42,,Jimmy Valoyes,0.07,0.1,56.14,77.76,7.93,57.74
43,,Irven Ávila,0.37,0.31,26.57,80.54,9.51,72.73
44,,Joel López Pisano,0.09,0.48,35.3,76.97,8.91,58.06
45,,Jairo Concha,0.1,0.03,41.94,82,11.84,59.86
46,,Yoshimar Yotún,0.19,0.06,48.63,88.69,13.69,78.48
47,,Fernando Márquez,0.33,0.33,20.17,67.77,4,50
48,,Patricio Arce,0,0,49,79.08,12.5,52.94
49,,Leonardo Rugel,0,0,47.6,87.39,3,57.78
50,,Facundo Peraza,0.09,0.15,15.7,65.83,4.27,52
51,,Rodrigo Salinas,0.09,0.36,23.23,63.99,5.86,31.25
52,,Jersson Vásquez,0.22,0.22,36.25,77.93,6.38,51.83
53,,Róger Torres,0.37,0.33,26.17,71.46,7.2,43.62
54,,Edy Renteria,0,0,26.33,77.22,2.89,53.19
55,,Alejandro Ramos,0.09,0.03,38.38,81.76,9.56,58.16
56,,Nicolás Marotta,0.04,0.04,32.12,77.71,1.68,48.47
57,,José Carvallo,0,0,21.77,67.84,0.57,40.82
58,,Federico Alonso,0,0,40.65,77.01,3.15,43.57
59,,Raúl Fernández,0,0,23.32,71.15,0.73,42.63
60,,Ángelo Campos,0.04,0,23.22,56.62,1.78,41.94
61,,Carlos Grados,0,0,26.15,66.86,1.12,40.22
62,,Alejandro Hohberg,0.06,0.06,16.34,78.59,5.47,67.35
63,,Federico Ramos,0.17,0,17,72.55,4.83,42.86
64,,Alejandro Duarte,0,0,20.28,71.79,0.92,46.97
65,,Yonatan Murillo,0.03,0.03,34.09,77.73,2.56,43.12
66,,Gaspar Gentile,0.23,0.19,21.71,72.51,7.48,44.19
67,,Josué Estrada,0.19,0.23,29.65,76.5,6.58,49.68
68,,Janio Pósito,0.04,0.08,16.08,74.64,4.88,58.33
69,,Paolo Fuentes,0.13,0.06,35.38,83.57,2.63,58.7
70,,Diego Buonanotte,0,0.11,18.47,83.76,6.16,66.67
71,,Robert Ardiles,0.14,0.14,25.68,76.63,9.07,57.33
