#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Ismael Quispe,9,0,0,0,1,0
2,,Christofer Gonzáles,0,0.17,0,0,1,0.25
3,,Bruno Portugal,0,0,0,0,0,0
4,,Kevin Sandoval,0,0.15,0,0,0.79,0.24
5,,Delio Ojeda,0,1,0,0,0,0
6,,Alex Valera,0,0.35,0,0,0.82,0.06
7,,Franco Saravia,3.38,0.75,0.13,0,0.38,0
8,,Víctor Cedrón,0,0.06,0,0,0.74,0.16
9,,Martín Távara,0,0.37,0,0,0.67,0.04
10,,Diego Romero,5.6,0,0.2,0,1,0.2
11,,Edson Aubert,0,0.31,0,0,0.75,0.25
12,,Bernardo Cuesta,0,0.34,0,0,0.5,0.03
13,,Andy Polar,0,0.24,0,0,0.62,0.18
14,,Pablo Lavandeira,0,0.2,0,0,0.37,0.09
15,,Luis Benites,0,0,0,0,0.47,0.06
16,,Marcos Lliuya,0,0.15,0,0,0.76,0.15
17,,Luis Urruti,0,0,0,0,0.22,0
18,,Cristian Techera,0,0,0,0,1.35,0.22
19,,Donald Millán,0,0.08,0,0,1.27,0.12
20,,Jorge Cabezudo,3.75,0.5,0,0,1,0.25
21,,Hernán Barcos,0,0.36,0,0,0.58,0.12
22,,Luis Haquín,0,0,0,0,1,0
23,,Angel Azurin,2,1,0,0,0,0
24,,Roberto Ovelar,0,0.04,0,0,1.58,0.19
25,,Carlos Ross,0,0.09,0,0,0.82,0.15
26,,Alexis Arias,0,0.08,0,0,0.53,0.06
27,,Jairo Vélez,0,0.11,0,0,0.71,0.11
28,,Gino Peruzzi,0,0.53,0,0,0.41,0.12
29,,Nelson Cabanillas,0,0.38,0,0,0.58,0.04
30,,Joel Pinto,2.5,0.5,0,0,0.5,0
31,,Matías Pérez García,0,0.09,0,0,1.09,0.13
32,,Paolo Reyna,0,0.5,0,0,0.62,0.06
33,,Sebastian Cavero,0,0.33,0,0,1.33,0
34,,Ricardo Lagos,0,0.52,0,0,0.58,0.1
35,,Horacio Calcaterra,0,0.25,0,0,1,0.13
36,,Adrián Fernández,0,0.13,0,0,0.58,0.21
37,,Yordi Vílchez,0,0.48,0,0,0.45,0.06
38,,Manuel Heredia,3.67,0.22,0.3,0.15,1.19,0.22
39,,Hernán Novick,0,0,0,0,0.25,0.05
