Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Ismael Quispe,0,0,0,0,0,0,1,0,0,2,0,0,0,0,24,62.5,3,52.63,9,0,0,0,1,0,0,0,0,100,0,0,1
Christofer Gonzáles,0.58,0.42,54.17,2.75,0,4.17,1.08,0.5,0,0.25,0,0.58,0.42,0.08,37.5,87.33,15.42,85.71,0,0.17,0,0,1,0.25,0.25,0,47.06,49.17,2.08,1.67,12
Bruno Portugal,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0.5,7.5,86.67,2,0,0,0,0,0,0,0,0,0,50,33.33,0.5,1,2
Kevin Sandoval,0.32,0.06,48.1,3.35,0,0.32,0.91,0.59,0,0.24,0,0.5,0.47,0.32,27.85,80.46,9.21,48.75,0,0.15,0,0,0.79,0.24,0.12,0,31.25,48.26,1.76,0.56,34
Delio Ojeda,0,0,0,0,0,0,3,4,0,9,0,0,0,0,25,76,0,37.5,0,1,0,0,0,0,1,0,50,46.15,0,4,1
Alex Valera,0.71,0.24,38.1,3,0.35,0,0.65,0.06,0,0.94,0,0.18,0.12,0.06,24.71,70.95,7.53,55.56,0,0.35,0,0,0.82,0.06,0.12,0,50,41.78,0.71,1.76,17
Franco Saravia,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,20.75,63.25,1,49.14,3.38,0.75,0.13,0,0.38,0,0,0,100,100,0.63,0,8
Víctor Cedrón,0.16,0.06,60,2.55,0.03,0,1.23,0.42,0,0.32,0,0.58,0.39,0.26,39.1,77.89,13.65,58.04,0,0.06,0,0,0.74,0.16,0.19,0.03,50,50.48,2,1.16,31
Martín Távara,0.15,0,60,1.52,0,0.23,2.15,1.22,0,1.44,0,0.81,0.19,0.22,40.74,84.27,7.63,64.21,0,0.37,0,0,0.67,0.04,0.19,0,51.06,53.91,1.3,1.59,27
Diego Romero,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,25.2,40.48,1.8,27.88,5.6,0,0.2,0,1,0.2,0.4,0,0,0,0,0.2,5
Edson Aubert,0.09,0.06,76.47,2.91,0,0.39,2.22,1.13,0.03,1.84,0,1.53,0.03,0.13,61.63,81.39,12.84,61.87,0,0.31,0,0,0.75,0.25,0.31,0,56.76,48.34,0.88,1.69,32
Bernardo Cuesta,0.44,0.16,61.11,2.97,0,0,0.5,0.13,0,0.34,0,0.28,0.25,0.19,21.06,71.22,7.5,65.22,0,0.34,0,0,0.5,0.03,0.38,0,43.4,41.75,0.63,1.28,32
Andy Polar,0.15,0.03,45.57,2.35,0,0.25,1.53,0.38,0,0.15,0,0.38,0.24,0.21,31.56,84.81,11.74,70.49,0,0.24,0,0,0.62,0.18,0.12,0,36.36,60.39,3.53,0.82,34
Pablo Lavandeira,0.31,0.11,41.46,1.74,0.06,0,1.06,0.63,0,0.26,0,0.54,0.26,0.29,26.31,70.03,7.46,43.53,0,0.2,0,0,0.37,0.09,0.09,0,34.92,44.01,1.91,1.26,35
Luis Benites,0.56,0.06,46.88,2.32,0,0,0.5,0.24,0,0.09,0,0.21,0.18,0.18,22.74,80.47,7.91,56.94,0,0,0,0,0.47,0.06,0.15,0,38.46,49.66,1.03,0.47,34
Marcos Lliuya,0.03,0.03,66.67,1.74,0,0,0.68,0.15,0,0.03,0,0.59,0.21,0.21,62.41,84.26,25.76,72.5,0,0.15,0,0,0.76,0.15,0.03,0,16.67,43.75,1.06,0.29,34
