#,Team,Name,Appearances
1,,Josué,32
2,,Fábio Sturgeon,1
3,,Ivi López,27
4,,Valeriane Gvilia,1
5,,Damian Dąbrowski,32
6,,Joel Pereira,31
7,,Erik Janža,32
8,,Lukas Podolski,29
9,,Filip Mladenović,26
10,,Zoran Arsenić,31
11,,Damian Michalski,6
12,,Dani Pacheco,28
13,,Pedro Rebocho,19
14,,Marc Gual,31
15,,Filip Dagerstål,20
16,,Damian Kądzior,21
17,,Leonardo Rocha,13
18,,Kamil Grosicki,34
19,,Łukasz Łakomy,34
20,,Bartłomiej Pawłowski,32
21,,Daniel Bielica,24
22,,Michał Skóraś,32
23,,Dominik Furman,33
24,,Filipe Nascimento,13
25,,Maurides,16
26,,Roberto Alves,32
27,,Rafał Janicki,16
28,,Bartosz Nowak,31
29,,Said Hamulić,17
30,,Nika Kvekveskiri,28
31,,Stratos Svarnas,29
32,,Leonardo Koutris,16
33,,Sławomir Abramowicz,3
34,,David Jablonsky,15
35,,Ronaldo Deaconu,27
36,,Patryk Dziczek,23
37,,Jesús Imaz,33
38,,Rafał Wolski,30
39,,Piotr Wlazło,33
40,,Deian Sorescu,11
41,,Matej Rodin,14
42,,Mateusz Matras,31
43,,Mario Maloča,26
44,,Davo,18
45,,Paweł Wszołek,34
46,,Michał Nalepa,23
47,,Tomáš Petrášek,13
48,,Dimitar Velkovski,14
49,,Michał Chrapek,30
50,,Jan Grzesik,30
51,,Dominik Hładun,7
52,,Aleks Ławniczak,27
53,,Bartosz Slisz,32
54,,Boris Sekulić,11
55,,Virgil Ghiță,34
56,,Erik Expósito,29
57,,Patryk Makuch,32
58,,Thabo Cele,20
59,,Robert Ivanov,31
60,,Dominick Zator,17
61,,Jesper Karlström,31
62,,Bartlomiej Gradecki,14
63,,Richard Jensen,29
64,,Artur Jędrzejczyk,26
65,,Nené,30
66,,Krystian Getinger,34
67,,Bartosz Mrozek,34
68,,Daisuke Yokota,13
69,,Karol Knap,30
70,,Ariel Mosór,28
71,,Raphael Rossi,30
72,,Gabriel Kobylak,29
73,,Grzegorz Tomasiewicz,32
74,,Maik Nawrocki,25
75,,Taras Romanczuk,24
76,,Ľubomír Šatka,13
77,,Lukáš Hroššo,3
78,,Henrich Ravas,33
79,,Bartosz Kopacz,28
80,,Filip Bednarek,32
81,,Konrad Matuszewski,31
82,,Emil Bergström,25
83,,Vladyslav Kochergin,33
84,,Patryk Stępiński,33
85,,Matías Nahuel,29
86,,Vladan Kovačević,28
87,,Kanji Okunuki,26
88,,Adam Zreľák,31
89,,Zlatan Alomerović,32
90,,Dawid Abramowicz,31
91,,John Yeboah,32
92,,Barry Douglas,16
93,,Mateusz Abramowicz,20
94,,Jani Atanasov,15
95,,Kamil Kruk,20
96,,Radosław Murawski,31
97,,Dušan Kuciak,29
98,,Martin Kreuzriegler,30
99,,Benedikt Zech,30
100,,Aleksander Paluszek,17
101,,Chuca,30
102,,Bartosz Salamon,10
103,,Sokratis Dioudis,14
104,,Mikael Ishak,23
105,,Patrick Olsen,27
106,,Maxime Dominguez,29
107,,Marcin Flis,26
108,,Mateusz Żyro,30
109,,Pontus Almqvist,27
110,,Krzysztof Kubica,4
111,,Antonio Milić,23
112,,Fran Tudor,31
113,,Jarosław Kubicki,30
114,,Jarosław Jach,25
115,,Israel Puerto,26
116,,Jean Carlos,31
117,,Yevhen Konoplyanka,26
118,,Serafin Szota,27
119,,Filip Majchrowicz,3
120,,Rafał Augustyniak,25
121,,Piotr Malarczyk,17
122,,Damjan Bohar,24
123,,Marko Poletanović,24
124,,Dimitrios Stavropoulos,31
125,,Mateusz Szwoch,28
126,,Kamil Wilczek,27
127,,Constantin Reiner,12
128,,Milan Rundić,18
129,,Dawid Szymonowicz,33
130,,Adrian Lis,29
131,,Krzysztof Kamiński,20
132,,Marius Briceag,17
133,,Igor Drapinski,7
134,,Giannis Papanikolaou,31
135,,Jakub Czerwiński,32
136,,Miłosz Szczepański,27
137,,Miłosz Trojak,33
138,,Petr Schwarz,25
139,,Bartosz Śpiączka,30
140,,Marek Hanousek,30
141,,Karol Niemczycki,31
142,,Maciej Domański,34
143,,Tom Hateley,31
144,,Piotr Tomasik,27
145,,Rafał Pietrzak,33
146,,Vahan Bichakhchyan,31
147,,Alexandros Katranis,29
148,,Kacper Tobiasz,27
149,,Ernest Muçi,32
150,,Damian Rasak,29
151,,Szymon Matuszek,14
152,,Jakub Jugas,26
153,,Alexander Gorgon,17
154,,Lindsay Rose,17
155,,Jakub Łukowski,34
156,,Adam Deja,19
157,,Mateusz Kupczak,19
158,,Linus Wahlqvist,12
159,,Michał Mokrzycki,3
160,,Dante Stipica,30
161,,Bartłomiej Wdowik,26
162,,Norbert Wojtuszek,18
163,,Fabian Piasecki,23
164,,Patryk Kun,24
165,,Kristoffer Velde,30
166,,Guram Giorbelidze,15
167,,Łukasz Zwoliński,27
168,,Francisco Ramos,9
169,,Łukasz Sekulski,27
170,,Otar Kakabadze,27
171,,Arkadiusz Kasperkiewicz,27
172,,Michal Sáček,14
173,,Mateusz Wieteska,2
174,,František Plach,33
175,,Stefan Savić,15
176,,Joel Abu Hanna,15
177,,Artur Sobiech,15
178,,Bartosz Kapustka,29
179,,Victor Garcia Marin,29
180,,Jakub Bartkowski,29
181,,Kristers Tobers,26
182,,Alex Vallejo,14
183,,Steve Kapuadi,26
184,,Konrad Forenc,20
185,,Kamil Pestka,6
186,,Kacper Chodyna,33
187,,Patryk Lipski,10
188,,Bogdan Țîru,15
189,,Mathias Hebo Rasmussen,12
190,,Szymon Czyż,8
191,,Alasana Manneh,4
192,,Marcel Zapytowski,14
193,,Daníel Leó Grétarsson,28
194,,Jakub Kałuziński,23
195,,Konrad Poprawa,29
196,,Juliusz Letniowski,31
197,,Takuto Oshima,32
198,,Andrzej Niewulis,16
199,,Bozhidar Chorbadzhiyski,11
200,,Damian Jakubik,19
201,,Mattias Johansson,11
202,,Mateusz Grzybek,32
203,,Afonso Sousa,24
204,,Mateusz Łęgowski,26
205,,Filip Starzyński,32
206,,Sebastian Kowalczyk,34
207,,Ernest Terpiłowski,25
208,,Kacper Smoliński,3
209,,Carlos Julio Martínez,12
210,,Bojan Nastić,21
211,,Michal Stachera,1
212,,Emmanuel Agbor,1
213,,Michał Kucharczyk,10
214,,Szymon Włodarczyk,30
215,,Cornel Râpă,26
216,,Yuri Ribeiro,24
217,,Kajetan Szmyt,31
218,,Martin Pospisil,16
219,,Miguel Luís,28
220,,Benjamin Källman,34
221,,Vladislavs Gutkovskis,32
222,,Dawid Kurminowski,14
223,,Karol Danielak,14
224,,Fábio Nunes,14
225,,Diogo Verdasca,21
226,,Kryspin Szcześniak,14
227,,Tomáš Pekhart,13
228,,Marco Terrazzino,26
229,,Michał Rakoczy,30
230,,Paweł Lenarcik,10
231,,Filip Marchwiński,27
232,,Mateusz Skrzypczak,26
233,,Ilkay Durmus,24
234,,Flávio Paixão,26
235,,Nemanja Mijušković,28
236,,Andrejs Cigaņiks,15
237,,Michał Szromnik,14
238,,Kyrylo Petrov,26
239,,Jordi Sánchez,29
240,,Mike Cestor,16
241,,Piotr Krawczyk,24
242,,Patryk Janasik,19
243,,Maciej Gajos,29
244,,Maciej Rosołek,34
245,,Damian Tront,10
246,,Hubert Matynia,22
247,,Alan Czerwiński,22
248,,Arttu Hoskonen,11
249,,Bogdan Racovițan,13
250,,Michał Pazdan,14
251,,Kacper Bieszczad,15
252,,Konstantinos Triantafyllopoulos,23
253,,Jakub Żubrowski,2
254,,Tiago Matos,3
255,,Mariusz Malec,24
256,,Fedor Černych,16
257,,Martin Konczkowski,23
258,,Filip Szymczak,21
259,,Rafał Adamski,19
260,,Ángelo Henríquez,29
261,,Rafał Kurzawa,17
262,,Yevgeni Shikavka,31
263,,Enis Destan,21
264,,Fabian Hiszpański,31
265,,Christos Donis,15
266,,Marcel Wedrychowski,21
267,,Filip Lesniak,29
268,,Cheikhou Dieng,6
269,,Mateusz Cichocki,22
270,,Henrik Castegren,7
271,,Luka Zahović,32
272,,Dominik Kun,33
273,,Kristoffer Normann Hansen,23
274,,Marcin Cebula,13
275,,Jacek Podgórski,28
276,,Jakub Świerczok,5
277,,Miguel Muñoz,5
278,,Robert Dadok,28
279,,Jean Jules Mvondo,27
280,,Adriel D'Avila Ba Loua,20
281,,Jorge Félix,28
282,,Fryderyk Gerbowski,22
283,,Makana Baku,22
284,,Aleksander Pawlak,23
285,,Dominykas Barauskas,8
286,,Berto Cayarga,16
287,,Jakub Rzeźniczak,25
288,,Dawid Błanik,27
289,,Tomasz Makowski,28
290,,Michał Feliks,10
291,,Jakub Kiełb,19
292,,Michael Ameyaw,26
293,,Luís Mata,16
294,,Damian Warchoł,20
295,,Ben Lederman,24
296,,Luís Machado,28
297,,Lisandro Semedo,32
298,,Jakub Myszor,20
299,,Carlitos,21
300,,Frank Castañeda,12
301,,Florian Loshaj,15
302,,Michał Kaput,16
303,,Jakub Antczak,1
304,,Tomáš Huk,1
305,,Igor Sapała,1
306,,Maciej Twarowski,1
307,,Tobiasz Kubik,1
308,,Filip Wilak,3
309,,Filip Kocaba,3
310,,Filip Zawadzki,3
311,,Grzegorz Szymusik,7
312,,Danijel Lončar,8
313,,Luizão,11
314,,Tomasz Mokwa,11
315,,Pedro Justiniano,12
316,,Juljan Shehu,24
317,,Marko Kolar,26
318,,Paweł Stolarski,16
319,,Giannis Masouras,14
320,,Michał Kopczyński,28
321,,Leândro,15
322,,Igor Strzalek,13
323,,Luciano Narsingh,29
324,,Jakub Holúbek,21
325,,Oskar Sewerzyński,15
326,,Daniel Łukasik,9
327,,Arkadiusz Pyrka,32
328,,Giorgi Tsitaishvili,12
329,,Łukasz Sierpina,6
330,,Levent Gülen,27
331,,João Amaral,21
332,,Paweł Zieliński,23
333,,Martin Doležal,20
334,,Michał Buchalik,5
335,,Joeri de Kamps,10
336,,Tomasz Pieńko,31
337,,Mario Zebić,8
338,,Jurgen Çelhaka,8
339,,Marcus Godinho,15
340,,Alberto Toril Domingo,11
341,,Wiktor Pleśnierowicz,15
342,,Tomasz Kupisz,16
343,,Marcin Szpakowski,21
344,,Jurich Carolina,23
345,,Dariusz Pawłowski,13
346,,Łukasz Zjawiński,20
347,,Rauno Sappinen,25
348,,Koldo Obieta Alberdi,29
349,,Filip Balaj,6
350,,Adrian Przyborek,3
351,,Arkadiusz Wozniak,11
352,,Wojciech Łaski,12
353,,Tomas Prikryl,30
354,,Gabriel Kirejczyk,10
355,,Janusz Nojszewski,5
356,,Adam Chrzanowski,17
357,,Bartłomiej Ciepiela,17
358,,Olaf Kobacki,24
359,,Anthony van den Hurk,6
360,,Dawid Drachal,16
361,,Wiktor Kaminski,2
362,,Mateusz Stawny,2
363,,Kacper Smiglewski,3
364,,Bartosz Kwiecień,5
365,,Kevin Broll,10
366,,Paweł Olkowski,26
367,,Michal Siplak,21
368,,Kristián Vallo,22
369,,Aurelien Nguiamba,11
370,,Maciej Żurawski,31
371,,Kamil Koscielny,19
372,,Jasmin Burić,5
373,,Bartosz Klebaniuk,5
374,,Mato Miloš,24
375,,Gustav Berggren,25
376,,Jonatan Kotzke,16
377,,Mateusz Wdowiak,30
378,,Łukasz Bejger,21
379,,Mateusz Bochnak,16
380,,Miłosz Matysik,15
381,,Dariusz Stalmach,3
382,,Tomasz Walczak,3
383,,Filip Koperski,7
384,,Adam Frączczak,9
385,,Michael Kostka,27
386,,Mateusz Lewandowski,16
387,,Nono,16
388,,Jakub Nowakowski,15
389,,Kacper Kostorz,13
390,,Mikołaj Lebedyński,27
391,,Paweł Żyra,19
392,,Kamil Drygas,29
393,,Mateusz Mak,25
394,,Róbert Pich,17
395,,Santiago Naveda,17
396,,Camilo Mena,7
397,,Kevin Friesenbichler,12
398,,Rafał Leszczyński,20
399,,Jacek Kiełb,21
400,,Bassekou Diabate,23
401,,Maciej Bortniczuk,10
402,,Mateusz Kowalski,11
403,,Paweł Jaroszyński,21
404,,Anton Krivotsyuk,9
405,,Blaž Kramer,12
406,,Artur Rudko,1
407,,David Poreba,1
