#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Josué,0.38,0.13,60.42,2.38,0,0.57
2,,Fábio Sturgeon,0,0,100,2,0,0
3,,Ivi López,0.33,0.07,59.46,3.19,0,0.16
4,,Valeriane Gvilia,0,0,0,4,0,0
5,,Damian Dąbrowski,0.13,0,72,1.44,0,0.63
6,,Joel Pereira,0,0,73.08,0.23,0,0
7,,Erik Janža,0.06,0.03,50,0.5,0,0
8,,Lukas Podolski,0.21,0.17,53.85,2.93,0.03,0.86
9,,Filip Mladenović,0.23,0.08,53.85,1.23,0,0
10,,Zoran Arsenić,0,0.13,70.83,0.55,0,0
11,,Damian Michalski,0,0,0,0.83,0,0
12,,Dani Pacheco,0.07,0,66.67,1.18,0,0
13,,Pedro Rebocho,0,0,56,0.68,0,0
14,,Marc Gual,0.52,0.23,51.16,3.39,0,0
15,,Filip Dagerstål,0,0,57.14,0.25,0,0
16,,Damian Kądzior,0.14,0.05,46.15,1.48,0,0
17,,Leonardo Rocha,0.46,0.31,50,3.15,0.23,0
18,,Kamil Grosicki,0.38,0.35,49.37,3.09,0,0
19,,Łukasz Łakomy,0.12,0.03,60.56,1.85,0,0
20,,Bartłomiej Pawłowski,0.31,0.22,50,3.09,0.06,0.39
21,,Daniel Bielica,0,0,100,0,0,0
22,,Michał Skóraś,0.28,0.03,61.11,2.34,0,0
23,,Dominik Furman,0,0.03,68.18,0.64,0,0
24,,Filipe Nascimento,0.23,0,62.5,1.77,0,0
25,,Maurides,0.25,0.31,53.85,2.38,0,0
26,,Roberto Alves,0.09,0.13,62.79,1.31,0,0
27,,Rafał Janicki,0,0.13,100,0.88,0,0
28,,Bartosz Nowak,0.32,0.16,44.44,1.42,0.06,0
29,,Said Hamulić,0.53,0.24,42.86,3,0.24,0
30,,Nika Kvekveskiri,0.07,0,75,1.29,0,0
31,,Stratos Svarnas,0.1,0.14,42.86,0.69,0.03,0
32,,Leonardo Koutris,0.13,0,58.82,0.63,0,0
33,,Sławomir Abramowicz,0,0,0,0,0,0
34,,David Jablonsky,0.07,0.13,75,0.67,0.07,0
35,,Ronaldo Deaconu,0.07,0,57.14,2.11,0,0
36,,Patryk Dziczek,0.13,0.09,56.52,1.04,0,0
37,,Jesús Imaz,0.42,0.39,42.86,2.7,0.03,0
38,,Rafał Wolski,0.23,0.07,50.49,2,0,0
39,,Piotr Wlazło,0.12,0.06,73.91,1.12,0.03,0
40,,Deian Sorescu,0.18,0.09,66.67,0.73,0,0
41,,Matej Rodin,0.07,0.14,0,0.93,0,0
42,,Mateusz Matras,0.06,0.06,85.71,0.48,0.06,0
43,,Mario Maloča,0.04,0,50,0.27,0,0
44,,Davo,0.5,0.22,43.14,2.28,0,0
45,,Paweł Wszołek,0.21,0.15,52.5,0.74,0.12,0
46,,Michał Nalepa,0.09,0,100,0.91,0,0
47,,Tomáš Petrášek,0.08,0,100,0.77,0.08,0
48,,Dimitar Velkovski,0,0,52,0.64,0,0
49,,Michał Chrapek,0.13,0.07,62.16,1.43,0,0
50,,Jan Grzesik,0.13,0.03,47.83,0.97,0.07,0
51,,Dominik Hładun,0,0,100,0,0,0
52,,Aleks Ławniczak,0,0,100,0.37,0,0
53,,Bartosz Slisz,0,0.03,53.57,0.91,0,0
54,,Boris Sekulić,0.09,0.09,58.82,0.45,0,0
55,,Virgil Ghiță,0.09,0.09,50,1.18,0.06,0
56,,Erik Expósito,0.24,0.28,61.9,2.59,0.07,0.43
57,,Patryk Makuch,0.19,0.09,57.58,2,0.03,0
58,,Thabo Cele,0,0,70,0.4,0,0
59,,Robert Ivanov,0.03,0,62.5,0.77,0,0
60,,Dominick Zator,0.06,0.06,55.56,0.82,0.06,0
61,,Jesper Karlström,0.03,0.03,75,0.9,0,0
62,,Bartlomiej Gradecki,0,0,100,0,0,0
63,,Richard Jensen,0.03,0.03,83.33,0.62,0,0
64,,Artur Jędrzejczyk,0,0.12,75,0.35,0,0
65,,Nené,0.17,0.03,63.46,1.23,0,0
66,,Krystian Getinger,0,0,50,0.82,0,0
67,,Bartosz Mrozek,0,0,0,0,0,0
68,,Daisuke Yokota,0.15,0.23,65.96,1.15,0,0
69,,Karol Knap,0.07,0.03,57.69,1,0,0
70,,Ariel Mosór,0,0,100,0.61,0,0
71,,Raphael Rossi,0.07,0.1,60,0.8,0.07,0
72,,Gabriel Kobylak,0,0,0,0,0,0
73,,Grzegorz Tomasiewicz,0.09,0.09,51.28,1.06,0,0
74,,Maik Nawrocki,0.16,0.08,56.25,0.96,0.12,0
75,,Taras Romanczuk,0.04,0,58.82,0.58,0.04,0
76,,Ľubomír Šatka,0.08,0,80,0.23,0,0
77,,Lukáš Hroššo,0,0,100,0,0,0
78,,Henrich Ravas,0,0,100,0,0,0
79,,Bartosz Kopacz,0.04,0.04,46.67,0.54,0.04,0
80,,Filip Bednarek,0,0,0,0,0,0
81,,Konrad Matuszewski,0,0.06,61.76,0.52,0,0
82,,Emil Bergström,0.08,0,50,0.44,0.08,0
83,,Vladyslav Kochergin,0.24,0.03,52.46,1.79,0,0
84,,Patryk Stępiński,0,0.03,100,0.3,0,0
85,,Matías Nahuel,0.1,0,66.67,1.17,0,0
86,,Vladan Kovačević,0,0,100,0,0,0
87,,Kanji Okunuki,0.15,0.15,55.32,1.27,0,0
88,,Adam Zreľák,0.26,0.32,55.56,2.1,0.03,0
89,,Zlatan Alomerović,0,0,0,0,0,0
90,,Dawid Abramowicz,0.13,0.1,52.78,1.32,0,0
91,,John Yeboah,0.31,0.19,59.7,1.75,0.03,0
92,,Barry Douglas,0,0.13,57.14,0.56,0,0
93,,Mateusz Abramowicz,0,0,0,0,0,0
94,,Jani Atanasov,0.07,0.07,50,1.2,0,0
95,,Kamil Kruk,0.1,0,50,0.7,0.1,0
96,,Radosław Murawski,0.03,0,70,0.45,0,0
97,,Dušan Kuciak,0,0,0,0,0,0
98,,Martin Kreuzriegler,0.1,0,86.67,0.5,0,0
99,,Benedikt Zech,0,0,80,0.23,0,0
100,,Aleksander Paluszek,0.18,0.06,100,0.59,0.12,0
101,,Chuca,0.2,0,56.1,1.67,0,0
102,,Bartosz Salamon,0,0,0,1,0,0
103,,Sokratis Dioudis,0,0,0,0,0,0
104,,Mikael Ishak,0.48,0.74,66.67,2.65,0.04,0
105,,Patrick Olsen,0.11,0.04,63.89,0.85,0,0
106,,Maxime Dominguez,0.03,0.1,48.1,1,0,0
107,,Marcin Flis,0,0,66.67,0.81,0,0
108,,Mateusz Żyro,0,0.07,81.82,0.47,0,0
109,,Pontus Almqvist,0.19,0.15,65.96,1.56,0.04,0
110,,Krzysztof Kubica,0,0.5,66.67,1.75,0,0
111,,Antonio Milić,0.04,0.09,75,0.74,0.04,0
112,,Fran Tudor,0.06,0.06,43.06,0.42,0,1.61
113,,Jarosław Kubicki,0.07,0,56,0.9,0,0
114,,Jarosław Jach,0.04,0.04,66.67,0.56,0.04,0
115,,Israel Puerto,0,0.04,0,0.62,0,0
116,,Jean Carlos,0.13,0.03,69.05,0.81,0,0
117,,Yevhen Konoplyanka,0.08,0.12,54.84,0.85,0,3.85
118,,Serafin Szota,0,0.07,37.5,0.41,0,0
119,,Filip Majchrowicz,0,0,0,0,0,0
120,,Rafał Augustyniak,0.16,0,52.94,0.6,0.04,0
121,,Piotr Malarczyk,0.18,0.24,0,1,0.12,0
122,,Damjan Bohar,0.13,0.17,53.49,1.96,0,4.17
123,,Marko Poletanović,0.04,0,63.64,0.33,0,0
124,,Dimitrios Stavropoulos,0.06,0,71.43,0.42,0.03,0
125,,Mateusz Szwoch,0.07,0,48.65,1.36,0,0.89
126,,Kamil Wilczek,0.33,0.26,34.62,2.59,0.07,0
127,,Constantin Reiner,0.17,0,0,0.5,0.08,0
128,,Milan Rundić,0,0.11,50,0.33,0,0
129,,Dawid Szymonowicz,0.03,0.09,70.59,0.39,0,0
130,,Adrian Lis,0,0,0,0.03,0,0
131,,Krzysztof Kamiński,0,0,100,0,0,0
132,,Marius Briceag,0,0,68.75,0.65,0,0
133,,Igor Drapinski,0,0,0,0.14,0,0
134,,Giannis Papanikolaou,0.03,0.06,56.25,0.55,0,0
135,,Jakub Czerwiński,0.03,0.13,75,0.56,0.03,0
136,,Miłosz Szczepański,0.15,0.11,40,1.19,0,0
137,,Miłosz Trojak,0.03,0,68.42,0.48,0.03,0
138,,Petr Schwarz,0.12,0.12,45.16,1.28,0,0
139,,Bartosz Śpiączka,0.2,0.17,44.44,1.97,0.1,0
140,,Marek Hanousek,0.07,0.03,68.97,1.07,0,0
141,,Karol Niemczycki,0,0,0,0,0,0
142,,Maciej Domański,0.12,0.03,36.11,1.29,0,0.37
143,,Tom Hateley,0,0,53.85,0.1,0,0
144,,Piotr Tomasik,0,0,46.67,0.59,0,0
145,,Rafał Pietrzak,0,0,35.71,0.36,0,0
146,,Vahan Bichakhchyan,0.19,0.06,54.9,1.84,0,0
147,,Alexandros Katranis,0,0,52.94,0.45,0,0
148,,Kacper Tobiasz,0,0,0,0,0,0
149,,Ernest Muçi,0.16,0.16,50.7,2.28,0.03,0
150,,Damian Rasak,0.07,0.1,47.83,1.31,0,0
151,,Szymon Matuszek,0.07,0.07,50,0.5,0.07,0
152,,Jakub Jugas,0.04,0.04,62.5,0.58,0,0
153,,Alexander Gorgon,0.18,0.24,53.33,1.24,0,0
154,,Lindsay Rose,0.06,0,75,0.41,0,0
155,,Jakub Łukowski,0.35,0.09,41.86,2.12,0,0
156,,Adam Deja,0,0,61.54,0.53,0,0
157,,Mateusz Kupczak,0,0.05,70,0.74,0,0
158,,Linus Wahlqvist,0,0,75,1,0,0
159,,Michał Mokrzycki,0,0,0,0.67,0,0
160,,Dante Stipica,0,0,0,0.03,0,0
161,,Bartłomiej Wdowik,0,0,39.47,0.73,0,0
162,,Norbert Wojtuszek,0,0.11,64.29,0.44,0,0
163,,Fabian Piasecki,0.26,0.39,63.64,2.09,0,0
164,,Patryk Kun,0.08,0.04,48.08,0.83,0,0
165,,Kristoffer Velde,0.27,0.2,51.55,1.83,0.07,0
166,,Guram Giorbelidze,0,0,66.67,0.8,0,0
167,,Łukasz Zwoliński,0.33,0.15,44.12,2,0.11,0
168,,Francisco Ramos,0,0,60,0.78,0,0
169,,Łukasz Sekulski,0.22,0.11,66.67,1.26,0.04,0
170,,Otar Kakabadze,0.04,0,51.32,1.3,0,0
171,,Arkadiusz Kasperkiewicz,0.04,0,58.33,0.41,0,0
172,,Michal Sáček,0,0,62.5,0.29,0,0
173,,Mateusz Wieteska,0,0,0,0,0,0
174,,František Plach,0,0,100,0,0,0
175,,Stefan Savić,0.2,0,54.84,0.4,0,0
176,,Joel Abu Hanna,0,0.07,100,0.33,0,0
177,,Artur Sobiech,0.2,0.07,33.33,0.87,0,0
178,,Bartosz Kapustka,0.07,0.03,70,1.28,0,0
179,,Victor Garcia Marin,0,0,35,0.28,0,0
180,,Jakub Bartkowski,0.07,0.03,42.31,0.48,0.07,0
181,,Kristers Tobers,0,0,71.43,0.58,0,0
182,,Alex Vallejo,0,0,50,0.57,0,0
183,,Steve Kapuadi,0,0.15,75,0.58,0,0
184,,Konrad Forenc,0,0,0,0.05,0,0
185,,Kamil Pestka,0,0.17,28.57,0.67,0,0
186,,Kacper Chodyna,0.21,0.21,50.98,2.06,0,0
187,,Patryk Lipski,0.2,0,100,0.8,0.1,0
188,,Bogdan Țîru,0,0,50,0.07,0,0
189,,Mathias Hebo Rasmussen,0.08,0,75,0.83,0,0
190,,Szymon Czyż,0,0,88.89,0.38,0,0
191,,Alasana Manneh,0,0,25,0.5,0,0
192,,Marcel Zapytowski,0,0,0,0,0,0
193,,Daníel Leó Grétarsson,0.04,0.04,85.71,0.5,0.04,0
194,,Jakub Kałuziński,0,0,55.56,0.7,0,0
195,,Konrad Poprawa,0,0,100,0.38,0,0
196,,Juliusz Letniowski,0.03,0.06,60.32,1.19,0,0
197,,Takuto Oshima,0.03,0,62.16,0.56,0,0
198,,Andrzej Niewulis,0.06,0.06,100,0.56,0,0
199,,Bozhidar Chorbadzhiyski,0,0,100,0.09,0,0
200,,Damian Jakubik,0,0,45.95,0.68,0,0
201,,Mattias Johansson,0.09,0,50,0.55,0,0
202,,Mateusz Grzybek,0.06,0.09,54.17,0.53,0,0
203,,Afonso Sousa,0.17,0.17,55.56,1.42,0,0
